Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_DSDMA,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,cophases
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.995,0,0,0,0,0.005,1.10445,144.8997,22.82356186,1.189806,46.93985,181,26226.8457,215.354886,0.254723642,0.244374352,10,7,0,0,70,ACVA,0,1,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.995,0,0,0,0,0.005,1.10445,144.8997,22.82356186,1.189806,46.93985,121,17532.8637,143.966526,0.338302192,0.326042719,10,7,0,0,70,ACVA,1,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.995,0,0,0,0,0.005,1.10445,144.8997,22.82356186,1.189806,46.93985,161,23328.8517,191.558766,0.277582862,0.266637095,10,7,0,0,70,ACVA,1,1,0,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.995,0,0,0,0,0.005,1.10445,144.8997,22.82356186,1.189806,46.93985,201,29124.8397,239.151006,0.235342922,0.225542761,10,7,0,0,70,ACVA,0,1,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.995,0,0,0,0,0.005,1.10445,144.8997,22.82356186,1.189806,46.93985,261,37818.8217,310.539366,0.191607411,0.183192165,10,7,0,0,70,ACVA,0,1,1,0,1
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.995,0,0,0,0,0.005,1.10445,144.8997,22.82356186,1.189806,46.93985,302,43759.7094,359.321412,0.170017127,0.162359665,10,7,0,0,70,ACVA,0,0,1,0,0
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.99,0,0,0,0,0.01,1.1089,145.7194,22.91960772,1.194612,47.3497,181,26375.2114,216.224772,0.253654225,0.24363074,10,7,0,0,70,ACVA,1,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.99,0,0,0,0,0.01,1.1089,145.7194,22.91960772,1.194612,47.3497,222,32349.7068,265.203864,0.216972478,0.207994561,10,7,0,0,70,ACVA,1,1,0,0,1
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.99,0,0,0,0,0.01,1.1089,145.7194,22.91960772,1.194612,47.3497,273,39781.3962,326.129076,0.18389295,0.175976187,10,7,0,0,70,ACVA,1,1,1,0,1
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,56,8963.92,69.6472,0,0,0,0,0,0,0.995,0,0,0,0,0.005,1.10445,144.8997,22.82356186,1.189806,46.93985,171,24777.8487,203.456826,0.265662422,0.255020774,10,7,0,0,70,ACVA,0,1,0,0,0
