rule,type,coef,support,importance
dp_corona<= 62.5 & ratio_mass> 0.21242094784975052 & temp> 47.0 & core_mw_total> 5835.239990234375 & ratio_vol> 0.215293787419796 & core_mv_total> 95.00925064086914,rule,0.002148130329170477,0.29918032786885246,0.000983626647696867
ratio_mass<= 0.6377715170383453 & core_EGDMA<= 0.007499999832361937,rule,0.6760156603874566,0.9836065573770492,0.08584253752314853
dp_corona<= 28.5 & temp> 47.0 & dp_core<= 311.0,rule,0.9341781263299085,0.10245901639344263,0.283290446909232
core_HPMA> 0.5 & ratio_mass> 0.284612700343132 & conc> 16.5,rule,0.361136472595277,0.04918032786885246,0.07809372537879843
conc<= 21.25 & mon_corona_apol> 27.40010166168213 & ratio_vol<= 0.20270363241434097 & dp_corona<= 55.5,rule,1.3440883628637261,0.13934426229508196,0.4654650751974829
corona_CysMA<= 0.5 & ratio_vol<= 0.3003617376089096 & mon_core_mw> 144.0270004272461,rule,1.988356812838404,0.7336065573770492,0.8789975997357763
charged> 0.5 & mon_core_mw> 143.93306732177734 & core_EGDMA<= 0.007499999832361937,rule,0.3235283799604531,0.4426229508196721,0.16069556415299402
corona_mv_total<= 81.68804931640625 & dp_core<= 104.0 & corona_mv_total> 46.47684860229492,rule,1.444453744818181,0.09016393442622951,0.4137153554479295
conc> 6.25 & ratio_vol> 0.17702996730804443 & temp> 47.0 & corona_mw_total<= 11545.81982421875,rule,0.004050060566096191,0.5122950819672131,0.00202441794669773
core_mv_total> 100.13249969482422 & core_mw_total<= 16161.47509765625,rule,0.7277106878759282,0.14754098360655737,0.2580785113612948
corona_mv_total<= 120.012451171875 & ratio_vol<= 0.3585227280855179 & dp_core> 108.5 & conc<= 16.100000381469727,rule,0.7217148910109714,0.36475409836065575,0.34740550193310654
core_mw_total> 22116.2802734375 & core_EGDMA<= 0.004999999888241291 & core_mw_total> 25205.6953125,rule,0.3416731353541503,0.6352459016393442,0.1644681695821659
ratio_vol> 0.31153184175491333 & ratio_vol<= 0.6271736919879913 & mon_core_mw> 144.0270004272461,rule,0.32528002112741233,0.1762295081967213,0.12393666901853045
core_EGDMA<= 0.0062500000931322575 & core_mv_total> 78.70605087280273,rule,0.9828507303703985,0.9221311475409836,0.2633696932542855
core_mw_total<= 16319.11474609375 & ratio_vol<= 0.6134999692440033 & clogp_corona<= -0.019999995827674866,rule,0.4578628125456697,0.11065573770491803,0.14363401298537645
corona_mw_total<= 12760.52978515625 & corona_mw_total<= 8984.10009765625 & conc<= 16.5 & corona_mv_total<= 78.27899932861328 & clogp_core<= 1.3700000047683716 & charged> 0.5 & dp_core> 104.0,rule,0.08093390830757394,0.036885245901639344,0.015254426072921884
clogp_core<= 1.3700000047683716 & dp_corona> 64.5 & ratio_vol> 0.14579516649246216,rule,0.6839843161876468,0.16393442622950818,0.25322197775802374
dp_corona<= 62.5 & mon_corona_mv<= 1.3440499901771545 & conc<= 14.5 & core_EGDMA<= 0.007499999832361937,rule,0.2702429028761448,0.20081967213114754,0.10826294000496701
clogp_core> 0.6649999916553497 & corona_CysMA<= 0.5,rule,1.0322714573117218,0.9631147540983607,0.19456256298542535
clogp_core> 0.6649999916553497 & ratio_vol> 0.42269572615623474,rule,0.04682331248727317,0.03278688524590164,0.00833821910524791
salt<= 0.20000000670552254,rule,1.3342070535807413,0.9877049180327869,0.14702884805493052
mon_corona_mw<= 287.114990234375 & dp_corona> 28.5 & core_mw_total> 43223.25,rule,0.0009507249896174161,0.2581967213114754,0.0004160778965471487
dp_corona> 28.5 & core_mv_total> 296.8424987792969 & mon_core_psa<= 46.58311080932617 & dp_core> 104.5,rule,0.38251220997771773,0.29918032786885246,0.17515194385286442
corona_mw_total<= 12760.52978515625 & corona_QDMAEMA<= 0.5 & core_HPMA> 0.5 & ratio_mass<= 0.3022959381341934 & clogp_core<= 1.3700000047683716 & charged> 0.5 & conc<= 16.75 & dp_corona<= 63.5 & ratio_vol<= 0.22644668817520142,rule,1.0644825087246814,0.040983606557377046,0.21103604148919278
ratio_mass<= 0.36876875162124634 & core_mv_total> 50.954999923706055 & mon_core_psa> 46.15749931335449 & conc<= 16.5 & clogp_core<= 1.3700000047683716 & core_mw_total> 16161.47509765625 & corona_mv_total> 80.2186508178711 & mon_core_apol<= 22.783132553100586,rule,0.8546464851154761,0.12704918032786885,0.28462125753442685
ratio_mass<= 0.6377715170383453 & mon_core_mw> 144.07749938964844 & conc<= 21.5,rule,0.4183182510452692,0.7827868852459017,0.1724930514957025
core_mv_total> 91.45425033569336 & core_EGDMA<= 0.007499999832361937,rule,0.6770931863654246,0.9262295081967213,0.17699014671820276
corona_mw_total<= 10396.32470703125 & conc<= 14.0 & mon_core_mw<= 145.30955505371094 & clogp_corona> -5.230000019073486 & core_HBMA> 0.25 & core_EGDMA<= 0.007499999832361937,rule,0.49569835100624343,0.00819672131147541,0.044694113615317034
mon_corona_apol<= 24.189985275268555 & ratio_vol> 0.2061753198504448,rule,0.5557153119128332,0.38114754098360654,0.2698935370120855
dp_corona> 61.0 & core_mw_total<= 28815.5 & clogp_core<= 1.1800000071525574 & dp_corona> 27.0 & corona_mw_total<= 15743.56005859375,rule,0.7543411809501704,0.036885245901639344,0.14217825407410994
ratio_mass<= 0.36876875162124634 & ratio_mass> 0.2840854078531265 & core_mv_total> 50.954999923706055 & mon_core_psa> 46.15749931335449 & clogp_core<= 1.3700000047683716 & conc> 16.5 & core_mw_total> 16161.47509765625 & corona_mv_total> 80.2186508178711,rule,1.5263297579251391,0.028688524590163935,0.25478962414587697
