rule,type,coef,support,importance
corona_mw_total<= 12760.52978515625 & core_HEMA<= 0.75 & sphere<= 0.5 & ratio_vol> 0.24641400575637817,rule,1.0461679869157376,0.14344262295081966,0.3667066327215309
corona_MAcEPyr<= 0.5 & conc> 14.5 & clogp_core<= 1.1399999856948853 & mon_corona_apol<= 58.23068809509277,rule,0.0790642839843517,0.4016393442622951,0.03875966204411515
mon_core_mw> 136.05999755859375 & sphere<= 0.5 & ratio_vol> 0.21378567814826965,rule,0.22103127040804516,0.23770491803278687,0.09408802717780934
corona_mw_total<= 12760.52978515625 & temp> 47.0 & mon_core_psa<= 46.78045082092285 & clogp_core> 0.6649999916553497 & ratio_mass> 0.2152758538722992,rule,0.10383327411286991,0.4139344262295082,0.051141731507591645
ratio_vol> 0.2077510803937912 & ratio_mass<= 0.33467957377433777 & mon_core_mw> 136.8679962158203 & dp_corona<= 88.0 & dp_corona> 30.0,rule,1.2620876531459824,0.2540983606557377,0.5494538622655883
ratio_vol<= 0.238755002617836 & core_mv_total<= 385.125 & clogp_corona> -5.230000019073486 & dp_corona> 77.5 & dp_core> 165.0,rule,0.6712141258789597,0.05737704918032787,0.1560986680190258
mon_core_mw<= 146.88470458984375 & corona_mw_total> 4599.625 & core_mw_total> 17771.431640625,rule,0.19933218992950466,0.6147540983606558,0.09700568082710463
conc> 14.5 & dp_core> 93.5 & clogp_core<= 1.3700000047683716 & corona_mw_total> 8883.884765625 & ratio_vol<= 0.4202622175216675,rule,0.1230198912609782,0.2336065573770492,0.05205275777870494
corona_mw_total<= 12760.52978515625 & initiator_V-501<= 0.5 & ratio_vol> 0.21352563798427582 & conc> 11.25 & corona_MAcEPyr<= 0.5,rule,0.798873730093876,0.2827868852459016,0.3597757469879633
ratio_mass<= 0.33467957377433777 & clogp_core<= 1.1399999856948853 & dp_corona<= 87.0 & ratio_vol> 0.21378567814826965,rule,0.02446179513512244,0.30327868852459017,0.011244465567442321
corona_mv_total<= 57.09070014953613 & conc> 11.25 & ratio_mass> 0.14541124552488327 & clogp_core<= 1.1399999856948853 & conc> 16.5,rule,0.8094077929034732,0.09836065573770492,0.24104299581575112
ratio_mass<= 0.17752482742071152 & conc<= 21.25 & conc> 12.5 & clogp_corona<= -4.870000123977661 & conc<= 27.5,rule,1.2895498520382145,0.02459016393442623,0.1997157949543734
dp_corona> 106.0 & ratio_mass> 0.13513534516096115 & ratio_vol<= 0.20326733589172363,rule,0.2918437484431049,0.05327868852459016,0.06554479877873162
charged<= 0.5 & ratio_mass> 0.1459200158715248 & clogp_core<= 1.1225000023841858 & ratio_vol<= 0.3408524692058563,rule,1.615476056127038,0.28688524590163933,0.7306919845261194
ratio_vol<= 0.13878589123487473 & conc<= 16.600000381469727 & conc> 11.25,rule,0.40987001412197227,0.02459016393442623,0.0634775891517098
sphere<= 0.5 & core_MEMA<= 0.5 & dp_corona<= 41.5 & core_mw_total<= 43151.9609375 & core_cyclic<= 0.0024999999441206455,rule,0.2245794379434798,0.06147540983606557,0.05394404822829421
mon_corona_psa> 93.28999710083008 & clogp_corona<= 0.125 & ratio_mass<= 0.18160468339920044 & conc<= 21.25 & ratio_vol<= 0.21378567814826965,rule,0.3462500497154311,0.02459016393442623,0.05362460692978265
ratio_mass<= 0.22923817485570908 & sphere> 0.5,rule,0.0231712305890126,0.26639344262295084,0.010243360718336805
ratio_vol> 0.13836516439914703 & dp_core<= 299.5 & dp_core> 255.5,rule,0.23076218259772627,0.040983606557377046,0.0457491195408886
conc> 11.25 & dp_core> 177.5 & core_mv_total<= 298.0274963378906,rule,0.7721405130142356,0.15163934426229508,0.27694437473780037
corona_mw_total<= 5985.85498046875 & core_mw_total<= 33858.7998046875 & clogp_core<= 1.4000000357627869,rule,0.9664508720612904,0.1598360655737705,0.35415973987096055
ratio_mass<= 0.39907629787921906 & core_mv_total<= 329.51625061035156 & mon_core_psa> 37.18000030517578,rule,0.11822216346053932,0.5286885245901639,0.059013700958953766
