rule,type,coef,support,importance
corona_mw_total<= 12760.52978515625 & conc> 15.5 & core_mw_total> 22026.78515625 & core_mw_total> 25205.6953125 & mon_corona_psa> 56.685001373291016 & ratio_mass<= 0.2865510880947113 & clogp_core<= 1.105049967765808,rule,-2.5542264159834445,0.12863070539419086,0.855131380293736
dp_corona<= 64.5 & mon_corona_apol<= 27.318705558776855 & clogp_core<= 1.1800000071525574 & dp_core> 42.0,rule,-1.606677247154906,0.37344398340248963,0.7771794870867808
clogp_core<= 1.4000000357627869 & core_mv_total> 120.64718627929688 & mon_corona_apol<= 23.610912322998047 & mon_core_psa<= 47.144775390625 & dp_corona<= 62.5,rule,-1.5995126388261027,0.27800829875518673,0.7166096612915509
corona_mw_total> 7450.64501953125 & mon_core_psa<= 46.78045082092285 & ratio_vol<= 0.31153184175491333 & core_mv_total<= 215.78504943847656 & conc<= 21.25 & clogp_core<= 1.1800000071525574 & corona_mv_total> 54.56194877624512,rule,-2.374856395130205,0.08298755186721991,0.655135971047812
core_mw_total> 22116.2802734375 & clogp_corona<= 0.7300000041723251 & ratio_mass<= 0.284612700343132 & core_mw_total<= 66637.0 & conc> 16.0,rule,-1.359249926116898,0.22406639004149378,0.5667610010084242
conc<= 16.5 & corona_mv_total> 39.6070499420166 & clogp_core<= 1.1084749698638916 & corona_mv_total> 78.27899932861328 & ratio_vol<= 0.30416758358478546 & mon_corona_psa> 64.99999046325684,rule,1.7972778267301042,0.1078838174273859,0.5575760074514098
dp_core<= 307.0 & mon_core_mw> 144.0270004272461 & dp_corona<= 28.5,rule,1.6253249513538885,0.1078838174273859,0.5042304443469594
conc> 16.100000381469727 & ratio_vol<= 0.2803351730108261 & dp_core> 96.5 & core_mv_total<= 598.7518615722656 & clogp_core<= 1.3499999642372131,rule,-1.0516706240356255,0.26556016597510373,0.46445037801255856
dp_corona> 27.5 & ratio_mass<= 0.325008288025856 & mon_core_mw<= 145.30955505371094 & corona_mv_total<= 122.24875259399414,rule,-0.8993149409090946,0.5062240663900415,0.4496226305411524
corona_mw_total<= 12760.52978515625 & corona_mw_total<= 10396.32470703125 & core_mw_total> 22026.78515625 & conc> 6.25 & core_mw_total> 25205.6953125 & conc<= 15.5 & ratio_mass<= 0.2865510880947113 & clogp_core<= 1.105049967765808,rule,-1.179770618435926,0.17427385892116182,0.4475398550979633
corona_mw_total<= 12760.52978515625 & conc> 6.25 & charged<= 0.5 & ratio_mass<= 0.3022218346595764,rule,-0.8379799240639609,0.4107883817427386,0.41226677981041837
ratio_mass<= 0.6377715170383453 & corona_mw_total<= 20078.7626953125 & conc> 6.25 & ratio_vol> 0.24304667115211487,rule,0.849539612743319,0.35684647302904565,0.40698805811761285
mon_corona_apol> 27.318705558776855 & dp_core> 250.5 & core_mv_total> 152.86499786376953 & dp_corona<= 61.0 & dp_corona> 29.5,rule,1.4770812110233875,0.07468879668049792,0.3883077114180551
mon_core_apol> 22.660837173461914 & conc<= 16.100000381469727 & ratio_mass> 0.15410162508487701 & mon_corona_apol<= 28.527953147888184 & dp_corona> 54.5,rule,0.9227231876496853,0.18672199170124482,0.35957433370954195
corona_mw_total<= 12760.52978515625 & conc> 14.25 & mon_core_mw<= 146.06500244140625,rule,-0.6946752690983959,0.36929460580912865,0.33525988576448307
core_mw_total> 15828.89990234375 & conc<= 14.5 & mon_corona_apol<= 37.04946327209473 & dp_corona> 28.5 & core_mv_total<= 556.6752014160156 & ratio_mass> 0.21174617111682892,rule,0.9545393691844506,0.13278008298755187,0.3239104316593633
dp_core<= 190.0 & dp_corona> 61.0,rule,1.266485347034544,0.06639004149377593,0.3153075552783097
corona_mv_total<= 161.61068725585938 & ratio_mass<= 0.3262699395418167 & core_mw_total> 10827.03515625 & mon_corona_psa<= 130.29999542236328,rule,0.7466745918532227,0.7800829875518672,0.3092652970094745
