rule,type,coef,support,importance
corona_mw_total<= 12760.52978515625 & corona_mv_total> 59.33734893798828 & ratio_mass> 0.11208053305745125 & ratio_mass<= 0.4039231240749359 & ratio_vol> 0.21352563798427582 & clogp_core<= 1.1800000071525574 & conc> 11.25,rule,2.4710548882450154,0.2157676348547718,1.0164778598259783
clogp_corona> -5.230000019073486 & dp_corona<= 77.5 & ratio_vol<= 0.23781678080558777,rule,-1.6737713889891053,0.36099585062240663,0.8038945493478733
core_BzMA<= 0.5 & ratio_mass> 0.23468215763568878 & mon_corona_psa> 64.99999046325684,rule,1.796190744924661,0.21991701244813278,0.7439646002096609
corona_mw_total> 3493.6800537109375 & corona_mv_total<= 76.41344833374023 & mon_core_mw> 136.05999755859375,rule,1.0803511603747826,0.6141078838174274,0.5259206604592913
mon_core_mw> 144.07749938964844 & core_BzMA> 0.5 & dp_core<= 185.0,rule,-1.2069867363830733,0.2033195020746888,0.48577382440964584
dp_corona> 41.5 & mon_core_psa<= 46.78045082092285,rule,-0.9561197688181455,0.6224066390041494,0.4635126389852847
ratio_mass<= 0.2572299391031265 & corona_mw_total> 5985.85498046875 & ratio_mass<= 0.3317510485649109 & core_mw_total<= 29464.3603515625,rule,-1.8548615933911063,0.058091286307053944,0.43388177952617957
ratio_mass> 0.13556132465600967 & dp_corona> 26.5 & charged<= 0.5,rule,0.8685597175656625,0.4024896265560166,0.4259413021081691
core_BzMA<= 0.5 & mon_core_mw> 136.05999755859375 & clogp_corona<= 0.6050000041723251 & ratio_mass> 0.2571306973695755,rule,1.0024710281725442,0.18672199170124482,0.390651125757894
clogp_corona> -5.230000019073486 & core_mw_total> 40479.919921875,rule,-0.8331013651145784,0.31950207468879666,0.388461595999005
clogp_core<= 0.8950000107288361 & core_mv_total> 134.4324951171875 & dp_core> 139.5,rule,-1.4035055649138521,0.07883817427385892,0.37822513283936965
dp_corona> 66.5 & dp_corona> 55.5 & dp_core<= 286.0 & dp_core<= 158.5,rule,-1.9672517390708029,0.03319502074688797,0.35242430286911736
core_BzMA> 0.5 & ratio_vol> 0.2798312157392502 & ratio_vol> 0.21266014873981476,rule,-0.8689643704057076,0.1991701244813278,0.3470437282978606
core_mw_total<= 32950.890625 & corona_mw_total<= 8503.89013671875 & mon_corona_mv> 0.5112999975681305 & core_mv_total> 122.10074996948242 & dp_core> 145.5,rule,-1.1020785391202073,0.1037344398340249,0.33604108846262454
temp> 63.0 & conc<= 24.0 & dp_corona> 30.0 & ratio_vol> 0.2077510803937912 & ratio_vol<= 0.3000902235507965,rule,0.8015856309474475,0.22406639004149378,0.33423395202058914
corona_mw_total<= 12760.52978515625 & temp> 47.0 & core_mv_total> 120.64718627929688 & ratio_vol<= 0.3504716753959656 & ratio_vol> 0.20853988826274872,rule,0.7000205749971191,0.2987551867219917,0.3204080087381277
corona_mw_total<= 6246.945068359375 & clogp_core<= 1.1399999856948853 & core_mv_total<= 243.0165023803711,rule,1.1288798400981515,0.08713692946058091,0.318384313671743
corona_mw_total<= 12760.52978515625 & mon_core_psa<= 46.73492431640625 & clogp_core<= 1.1399999856948853 & ratio_vol<= 0.21352563798427582 & corona_mv_total> 41.843950271606445 & mon_corona_psa<= 93.28999710083008,rule,-0.7590906477425584,0.2033195020746888,0.3055098750567092
ratio_vol> 0.24269799888134003,rule,-0.6163495200908788,0.3983402489626556,0.30173774281461324
clogp_core<= 1.1299999952316284 & corona_mw_total<= 5985.85498046875 & mon_core_psa<= 46.78045082092285 & core_mv_total<= 243.0165023803711,rule,1.023010420762763,0.0912863070539419,0.29464319342390355
ratio_vol> 0.2087843045592308 & ratio_vol> 0.22201035171747208,rule,-0.5788026720461589,0.5352697095435685,0.2886804351588408
mon_core_mw> 144.07749938964844 & dp_core> 93.0,rule,-0.697892781432658,0.7842323651452282,0.28708085936629674
mon_core_mw<= 146.474853515625 & dp_core> 177.5 & conc> 11.25,rule,0.6747761348169686,0.22406639004149378,0.2813587040008198
core_BzMA<= 0.5 & core_mw_total> 9055.56982421875 & ratio_vol> 0.2072937786579132 & core_mw_total<= 16413.349609375,rule,-1.5391648673603175,0.03319502074688797,0.27573446479010816
conc<= 21.25 & conc> 12.5 & mon_corona_psa> 93.28999710083008 & ratio_mass<= 0.15778526663780212,rule,1.6163413538253744,0.029045643153526972,0.2714394649426221
ratio_vol<= 0.4202622175216675 & clogp_core<= 1.3700000047683716 & core_mv_total<= 424.82249450683594 & conc> 14.0 & clogp_corona<= -5.230000019073486 & ratio_vol<= 0.20205283910036087,rule,1.2787176260813526,0.04564315352697095,0.26688113111928147
dp_core> 59.0 & corona_mw_total<= 8503.89013671875,rule,-0.5335372302943918,0.4107883817427386,0.2624880018314729
ph> 2.875 & dp_core<= 124.0,rule,-0.6093242897567609,0.17427385892116182,0.2311440038292668
corona_mw_total> 5957.905029296875 & mon_core_psa<= 46.78045082092285,rule,-0.4551171349461508,0.6929460580912863,0.2099327716747049
core_BzMA<= 0.5 & mon_corona_apol<= 23.610912322998047 & ratio_mass<= 0.2571306973695755,rule,-0.4982780389316511,0.22821576763485477,0.20911853165673594
ph<= 2.875 & ratio_vol> 0.15750237554311752 & dp_corona<= 63.0,rule,0.8316922774052536,0.06639004149377593,0.20706031802620423
clogp_core<= 1.1225000023841858 & core_mw_total<= 32383.853515625 & ratio_mass<= 0.3659862279891968,rule,0.4187445430825997,0.35684647302904565,0.2006075124457162
mon_core_psa<= 46.73492431640625 & conc> 18.75 & conc> 11.25 & ratio_mass<= 0.13539154082536697,rule,-0.6013460945952186,0.12033195020746888,0.1956475355146257
corona_mw_total<= 12760.52978515625 & clogp_core<= 1.1225000023841858 & clogp_core> 1.1022250056266785,rule,0.8504367516165454,0.05394190871369295,0.19211623945556733
