rule,type,coef,support,importance
conc> 11.5 & sphere> 0.5 & core_HPMA> 0.4950000047683716 & ratio_mass<= 0.22791093587875366 & initiator_ACVA> 0.5 & ratio_vol<= 0.2513650059700012,rule,1.9760088347448599,0.036885245901639344,0.3724382192752102
sphere<= 0.5 & mon_core_apol> 21.89402484893799 & corona_mw_total> 2972.0750122070312 & clogp_corona<= 0.26204000413417816 & ratio_vol<= 0.2598588168621063 & ratio_vol> 0.05217823572456837 & clogp_corona> -1.0450000166893005,rule,0.7196442164038798,0.2459016393442623,0.3098935590513865
conc> 12.75 & clogp_core<= 1.3499999642372131 & ratio_vol<= 0.2661999613046646 & ratio_mass<= 0.25008781999349594 & temp> 65.0,rule,0.12469682152008672,0.2336065573770492,0.05276230843506164
conc<= 16.5 & dp_corona> 28.5 & corona_mv_total> 17.21065044403076 & ratio_mass<= 0.2758013755083084 & mon_core_mw> 143.06749725341797 & core_mv_total> 296.8424987792969 & core_mw_total<= 57902.3984375,rule,0.696799297648906,0.09016393442622951,0.19957480129553837
corona_mw_total<= 5806.375 & corona_mw_total> 3982.2750244140625 & mon_core_psa<= 46.58311080932617,rule,0.581325664589777,0.19262295081967212,0.22925125007202776
clogp_core<= 1.3799999952316284 & initiator_ACVA> 0.5 & conc> 13.25 & ratio_vol<= 0.25945471227169037,rule,0.8840931419808984,0.2540983606557377,0.3848927530929076
sphere<= 0.5 & ph> 4.25 & initiator_ACVA> 0.5 & dp_core<= 1010.0 & dp_core> 167.5,rule,0.3840162762429881,0.20491803278688525,0.15500498763493614
corona_mw_total<= 12760.52978515625 & core_mv_total<= 1374.5999755859375 & corona_mw_total<= 10236.2548828125 & core_HPMA> 0.375 & corona_mv_total> 17.21065044403076 & dp_corona> 42.5 & core_mw_total> 27374.724609375,rule,0.47162422495286394,0.12295081967213115,0.15487231573409385
core_mv_total> 247.16400146484375 & ratio_vol<= 0.23097334802150726 & dp_core<= 398.5,rule,0.752780012713057,0.23770491803278687,0.32044147492933095
sphere<= 0.5 & mon_core_mv> 1.1009750366210938 & clogp_corona<= 0.125 & ratio_vol<= 0.2661999613046646 & ratio_mass> 0.04647482745349407,rule,0.3732109806699657,0.2827868852459016,0.16807694920556326
corona_mw_total<= 12760.52978515625 & ratio_vol<= 0.24269799888134003 & clogp_core<= 1.1800000071525574 & corona_mw_total> 2502.9550170898438 & ratio_vol> 0.048236310482025146 & clogp_corona<= 0.26204000413417816,rule,0.5040957519993714,0.4057377049180328,0.24752827183880863
dp_corona<= 31.5 & dp_corona> 28.5 & corona_mv_total> 17.21065044403076 & ratio_mass<= 0.2758013755083084 & mon_core_mw> 143.06749725341797 & core_mv_total<= 296.8424987792969 & core_mw_total<= 57902.3984375,rule,0.34691866037893854,0.020491803278688523,0.049149803628229446
ratio_mass<= 0.2776370942592621 & mon_corona_psa> 64.99999046325684 & core_mv_total<= 1445.0499877929688 & mon_core_mw<= 144.21502685546875 & mon_core_apol> 21.180723190307617,rule,1.3149470995912025,0.29918032786885246,0.6021129118218257
corona_mw_total<= 5806.375 & corona_mw_total> 3982.2750244140625,rule,0.353177975508207,0.19672131147540983,0.14039525848726944
initiator_V-501<= 0.5 & ratio_vol<= 0.23803839087486267 & mon_core_mw<= 146.474853515625 & mon_core_mw> 137.06749725341797 & core_mv_total> 246.85140228271484,rule,0.5574267064197874,0.23770491803278687,0.23728397799297418
ph<= 3.8499999046325684 & dp_core<= 92.0 & sphere<= 0.5 & ratio_vol<= 0.3722815066576004,rule,0.6130195656317337,0.028688524590163935,0.1023311141713577
sphere<= 0.5 & ratio_vol<= 0.3722815066576004 & ph<= 4.25 & core_mw_total<= 33324.541015625 & corona_mw_total> 3982.2750244140625 & core_mv_total<= 111.98249816894531,rule,0.09838293372853468,0.02459016393442623,0.015236809797218658
ratio_mass<= 0.2709534019231796 & sphere<= 0.5 & mon_core_apol> 22.060723304748535 & mon_corona_psa> 58.04500198364258 & corona_mw_total<= 14063.41015625 & ph> 5.25,rule,0.35726415041254567,0.19672131147540983,0.14201959415285936
corona_mw_total<= 9284.06005859375 & core_mw_total<= 57848.119140625 & dp_corona> 45.5 & ratio_mass<= 0.25327782332897186,rule,0.17854998177956685,0.14754098360655737,0.06332174897108747
