rule,type,coef,support,importance
feature_55 > 143.93306732177734 & feature_63 <= 0.6271736919879913 & feature_59 > 353.0,rule,0.402321248569544,0.18930041152263374,0.1576081697437666
feature_63 <= 0.2478729411959648 & feature_62 > 0.1730145886540413,rule,-0.1012055378503614,0.29218106995884774,0.04602474611139984
feature_54 <= 1.1800000071525574 & mon_corona_mv<= 0.5434999987483025 & feature_64 <= 27.5,rule,-0.3625914058237141,0.4444444444444444,0.18017311810645284
core_HPMA> 6274.89501953125 & vesicle> 0.6590383052825928,rule,0.31305440656818384,0.16049382716049382,0.11491082295539799
feature_61 > 184.2675018310547 & core_HEMA> 55.5 & feature_60 <= 62371.8203125 & feature_64 > 14.25,rule,-1.6338441969404558,0.14814814814814814,0.5804178891754513
core_HPMA> 5806.375 & feature_64 > 16.100000381469727 & feature_63 <= 0.27497564256191254 & mon_corona_psa> 3.912999987602234,rule,-0.09545105994478878,0.1728395061728395,0.03609085375507947
feature_61 > 49.77000045776367 & feature_61 <= 150.9697494506836 & feature_61 <= 100.30905151367188,rule,-0.7796135905557755,0.06584362139917696,0.19335083308459167
core_PhA<= 10.010000228881836 & core_BzMA<= 0.26204000413417816 & charged> -2.380270004272461,rule,-0.2880184537348523,0.6995884773662552,0.13203830228353688
feature_63 <= 0.18987512588500977 & feature_55 <= 144.89492797851562 & feature_61 <= 415.93499755859375 & feature_64 <= 27.5 & feature_63 > 0.13039938360452652 & dp_core<= 0.9129999876022339,rule,1.0318134781369983,0.06584362139917696,0.25589856052083004
core_HPMA<= 12760.52978515625 & feature_64 > 16.5 & feature_54 <= 1.3700000047683716 & feature_59 > 102.5,rule,-0.32353753289944986,0.2757201646090535,0.1445813019256828
feature_60 <= 15823.2548828125 & feature_61 > 65.43949890136719,rule,0.5199366698394537,0.12757201646090535,0.1734574477925265
feature_59 <= 250.5 & core_HEMA<= 59.5 & feature_61 > 150.9697494506836,rule,-0.16542406510683927,0.3004115226337449,0.07583650432918512
clogp_core<= 0.5 & core_HEMA<= 62.5 & core_HEMA> 28.5 & feature_61 > 129.2462501525879 & feature_54 <= 1.1184750199317932,rule,-0.0032098820374722465,0.35390946502057613,0.0015349062365244207
