rule,type,coef,support,importance
corona_mw_total> 5985.85498046875 & mon_core_mw<= 145.30955505371094 & ratio_mass<= 0.28840941190719604 & conc> 16.5 & corona_mw_total<= 12760.52978515625,rule,-3.505479449020843,0.15637860082304528,1.2732388469659883
corona_mw_total<= 11925.21484375 & mon_core_mw<= 145.30955505371094 & ratio_vol<= 0.45143529772758484 & conc> 6.25 & charged<= 0.5,rule,-2.5762863635796354,0.29218106995884774,1.171605114824167
conc<= 21.25 & mon_core_mw<= 144.89492797851562 & core_mv_total> 49.77000045776367 & mon_corona_apol<= 23.610912322998047 & dp_corona<= 62.5,rule,-2.0073791865840924,0.24279835390946503,0.8607124016937978
charged> 0.5 & corona_mw_total> 9204.02490234375,rule,-1.4875562644750313,0.2839506172839506,0.6707586734044098
corona_CysMA<= 0.5 & core_mv_total> 78.70605087280273,rule,1.7585391799252377,0.9135802469135802,0.49411940496355417
core_cyclic<= 0.007499999832361937 & core_mw_total> 6051.35986328125 & clogp_core<= 1.3700000047683716 & charged<= 0.5 & dp_corona<= 64.5,rule,-1.087840762612853,0.2345679012345679,0.46094908224976416
core_HEMA<= 0.75 & ratio_mass> 0.3272913098335266 & ratio_mass<= 0.6467368900775909 & corona_mv_total> 38.402448654174805,rule,1.204587858427851,0.16872427983539096,0.45112803922526745
corona_CysMA<= 0.5 & dp_corona<= 61.0 & mon_corona_apol<= 24.189985275268555 & ratio_vol<= 0.19815023988485336 & clogp_core<= 1.1800000071525574,rule,-1.4233864783617092,0.1111111111111111,0.44732721382169044
core_mv_total> 100.13249969482422 & core_mw_total<= 15909.06982421875,rule,1.1610760720073914,0.13991769547325103,0.4027791703361246
clogp_corona> -0.019999995827674866,rule,0.78506688820901,0.5802469135802469,0.38744497183930593
dp_corona<= 64.5 & dp_corona> 42.5 & clogp_core<= 1.1800000071525574,rule,-0.762887729045843,0.34156378600823045,0.36178736311236664
corona_mw_total<= 11925.21484375 & clogp_core<= 1.3700000047683716 & corona_mv_total> 47.563249588012695 & dp_core<= 104.0,rule,1.2571416893630418,0.07818930041152264,0.33750387599119097
conc<= 21.25 & core_mw_total> 16234.5595703125 & mon_core_mw> 144.89492797851562 & mon_corona_apol<= 23.610912322998047 & dp_corona<= 62.5 & clogp_core<= 1.1066749691963196 & ratio_vol<= 0.2503920942544937,rule,-1.5629157787488566,0.04526748971193416,0.324914907023203
core_mv_total> 181.89749908447266 & corona_mw_total<= 6338.16015625 & core_mw_total<= 43223.25,rule,-1.3061781339444496,0.06584362139917696,0.32394333989867585
core_mv_total> 296.8424987792969 & mon_corona_apol> 23.929574966430664 & dp_core> 102.5,rule,0.8991099507134314,0.13991769547325103,0.31190269847108204
clogp_core<= 1.3700000047683716 & corona_mw_total<= 15743.56005859375 & dp_corona> 27.5 & ratio_vol<= 0.31034092605113983,rule,-0.6145494558985204,0.5720164609053497,0.30407074254981276
conc> 6.25 & mon_core_mw<= 145.30955505371094 & ratio_vol<= 0.10567362979054451 & ratio_mass<= 0.6467368900775909,rule,-1.456350853666935,0.04526748971193416,0.3027611011715245
mon_core_mw<= 145.30955505371094 & ratio_vol<= 0.1447860151529312 & corona_QDMAEMA<= 0.5434999987483025,rule,-0.8575341341470766,0.12345679012345678,0.28209511891406513
ratio_vol<= 0.26350659132003784 & mon_core_mw<= 144.89492797851562 & core_mv_total> 80.62874984741211 & conc> 14.25 & dp_corona> 27.0 & corona_MAcEPyr<= 0.5,rule,-0.7215838499081259,0.18518518518518517,0.28029760240012036
corona_CysMA<= 0.5 & conc<= 21.25 & core_EGDMA<= 0.007499999832361937 & corona_mw_total> 6338.16015625 & corona_GMA<= 0.9424999952316284,rule,0.600587528347352,0.26337448559670784,0.2645370696201371
conc<= 16.75 & mon_corona_apol> 23.929574966430664,rule,-0.6866469789795704,0.18106995884773663,0.26441136397609877
mon_corona_apol<= 24.010971069335938 & dp_corona> 63.5 & clogp_core<= 1.4000000357627869 & dp_core<= 210.0,rule,1.0036070533051993,0.07407407407407407,0.2628360566810205
core_mw_total> 18052.384765625 & dp_corona> 29.5 & core_mw_total<= 38475.67578125,rule,-0.5333726129254651,0.4074074074074074,0.26207360452225664
dp_core> 104.0 & dp_core<= 120.5,rule,-1.243456085308107,0.0411522633744856,0.247002949330406
ratio_vol<= 0.21353762596845627 & temp<= 47.0,rule,1.3699262763153435,0.03292181069958848,0.24443863334233001
core_mw_total<= 39701.697265625 & dp_corona> 28.5 & ratio_mass<= 0.3258424550294876,rule,-0.4605684512870642,0.4279835390946502,0.22788302818219458
core_mv_total<= 241.14749908447266 & mon_core_mw> 136.05999755859375 & initiator_VA-044<= 0.5 & conc<= 14.25 & mon_core_mw<= 144.07749938964844 & core_mw_total<= 43223.25,rule,1.3872710494211413,0.024691358024691357,0.21528057652087593
core_mw_total<= 27374.724609375,rule,0.43233185617727954,0.4403292181069959,0.21462104588778314
corona_CysMA<= 0.5 & ratio_mass<= 0.325008288025856 & conc<= 16.5 & core_EGDMA<= 0.007499999832361937 & charged> 0.5,rule,0.5637542335231267,0.1522633744855967,0.20254336215874932
temp> 47.0 & conc> 14.25 & dp_core> 104.0 & dp_corona> 28.5 & core_mw_total<= 58823.259765625,rule,-0.4417421717862557,0.2880658436213992,0.20004820551125632
ratio_vol<= 0.42269572615623474 & mon_corona_psa> 58.589988708496094 & core_mw_total<= 11691.5751953125,rule,-0.9096879092362278,0.04526748971193416,0.18911522071024914
clogp_core<= 1.1022250056266785 & corona_mv_total<= 78.27899932861328 & core_mv_total> 152.86499786376953 & conc<= 16.5,rule,-0.4417290884678586,0.20987654320987653,0.1798810557689668
core_mw_total<= 16317.32470703125 & conc> 16.5,rule,0.608881597005274,0.09053497942386832,0.17471655252079046
clogp_core<= 1.3700000047683716 & mon_core_psa<= 46.58311080932617 & ratio_vol<= 0.290206179022789 & corona_mw_total> 12760.52978515625,rule,0.6813321240954857,0.06584362139917696,0.16897618948284845
core_HEMA<= 0.75 & conc<= 16.100000381469727 & core_mw_total> 15704.7197265625,rule,0.3359606549702876,0.41975308641975306,0.16580277229756685
dp_core> 104.0 & dp_core> 120.5,rule,0.37225210621964266,0.7366255144032922,0.16396358014666468
ratio_vol<= 0.26350659132003784 & core_mw_total<= 77357.83984375 & dp_core> 94.0 & temp> 47.0 & conc> 16.5,rule,-0.3912692879561234,0.22633744855967078,0.16373056322707907
dp_corona> 57.0 & core_mv_total<= 296.8424987792969 & ratio_mass<= 0.3272913098335266 & ratio_mass<= 0.6467368900775909 & ratio_mass<= 0.26998448371887207 & core_mw_total<= 28815.5,rule,0.8121464378478308,0.0411522633744856,0.16132661845222435
core_mv_total<= 318.1842041015625 & ratio_vol<= 0.30416758358478546 & dp_corona<= 28.5,rule,0.9251895655995837,0.02880658436213992,0.1547495782193133
temp> 47.0 & dp_core> 103.0 & conc> 14.25 & core_mv_total<= 474.5924987792969 & corona_mw_total<= 12760.52978515625,rule,-0.3108682858282057,0.3950617283950617,0.15197229735849235
mon_corona_mv<= 0.7838499844074249 & core_mw_total> 22116.2802734375,rule,-0.5868915191467261,0.06584362139917696,0.14555411236020868
mon_corona_apol> 24.010971069335938 & conc<= 16.75,rule,-0.40085235080733367,0.1522633744855967,0.1440166264550547
mon_core_mw> 144.07749938964844,rule,0.4915261073076051,0.9135802469135802,0.13811042167238569
core_mw_total> 18052.384765625 & conc> 16.100000381469727 & mon_core_mw<= 146.47007751464844 & core_mw_total> 38475.67578125,rule,-0.512595244496511,0.07818930041152264,0.13761605656390277
core_mv_total> 80.90340042114258 & core_mw_total> 16161.47509765625 & core_mw_total> 6051.35986328125 & ratio_mass> 0.36876875162124634,rule,-1.2328650062749742,0.012345679012345678,0.13613678820303934
core_mv_total> 65.43949890136719 & mon_core_apol<= 22.783132553100586 & corona_mv_total> 78.27899932861328 & conc<= 15.5,rule,0.3728093674473588,0.13168724279835392,0.12606564767515502
