rule,type,coef,support,importance
corona_nHBDon_Lipinski> 104.5 & corona_n3Ring<= 0.286346897482872 & corona_n6Ring> 16.100000381469727 & corona_nRing> 62.772499084472656 & corona_n5Ring> 0.09030355513095856 & corona_nP<= 12760.52978515625 & corona_n3Ring<= 0.32691285014152527 & corona_nCl<= 1.7599999904632568 & corona_HybRatio> 17883.275390625,rule,-2.618422726704354,0.24691358024691357,1.129105851879875
corona_nBase> 136.05999755859375 & corona_nRotBt<= 0.20000000670552254 & corona_nRing<= 256.30799102783203,rule,1.6385631703046448,0.5020576131687243,0.819274647820159
corona_nS> 28.5 & corona_nHBDon_Lipinski> 104.0 & corona_nS<= 74.0 & corona_nRing<= 296.8424987792969,rule,-1.64126979759222,0.3292181069958848,0.7712807636419995
corona_nS<= 64.5 & corona_nC<= 27.40010166168213 & corona_nCl<= 1.1800000071525574 & corona_n5Ring<= 0.1976863220334053,rule,-2.224986361347333,0.11934156378600823,0.7213183245015004
corona_nP<= 12760.52978515625 & corona_nHeavyAtom> -4.0350000858306885 & corona_nBase<= 145.30955505371094 & corona_n5Ring<= 0.31115368008613586,rule,-1.3605943153925213,0.3497942386831276,0.6488740183552174
corona_nBase<= 144.75990295410156 & corona_CrippenLogP<= 0.5 & corona_n6Ring<= 16.100000381469727 & corona_nF<= 78.27899932861328,rule,-1.6118114513790855,0.17695473251028807,0.6151162340230808
corona_nRing> 130.39574813842773 & corona_nS<= 63.5 & corona_nCl<= 1.1022250056266785 & corona_n3Ring<= 0.325008288025856 & corona_nS> 28.5 & corona_HybRatio<= 43223.25,rule,-1.1504643960867391,0.20987654320987653,0.46849246652622795
corona_HybRatio<= 17353.6650390625 & corona_HybRatio> 16161.47509765625,rule,-2.744327389054091,0.02880658436213992,0.4590232334457934
corona_n3Ring<= 0.4341815710067749 & corona_nBase<= 145.30955505371094 & corona_CrippenLogP<= 0.5,rule,-0.9507857212656851,0.35802469135802467,0.45582517023210356
corona_nRing<= 540.548095703125 & corona_nRing> 141.36284637451172 & corona_n6Ring> 15.5 & corona_n3Ring<= 0.2848168909549713 & corona_nCl<= 1.3700000047683716,rule,-1.0573741331152813,0.23868312757201646,0.4507360238863378
corona_n6Ring<= 14.25 & corona_nC<= 24.010971069335938,rule,0.9768709892618435,0.2880658436213992,0.44238766615290553
corona_nC> 23.929574966430664 & corona_n5Ring<= 0.290206179022789 & corona_nS> 28.5 & corona_nS> 31.5 & corona_HybRatio> 38475.67578125,rule,1.3177651281152232,0.09465020576131687,0.38575094219102574
corona_nBase> 145.30955505371094 & corona_nP> 6681.97998046875,rule,1.1058846019836495,0.11934156378600823,0.35851672713706584
corona_n6Ring> 6.25 & corona_n5Ring<= 0.1462462991476059 & corona_nS> 62.5 & corona_nHeavyAtom> 0.125,rule,-2.001792791227938,0.03292181069958848,0.35718381534981936
corona_nS> 27.5 & corona_n3Ring<= 0.32691285014152527 & corona_HybRatio> 15703.4599609375 & corona_nS<= 64.0 & corona_nCl<= 1.3700000047683716,rule,-0.6698160186995082,0.42386831275720166,0.3310029665748818
