rule,type,coef,support,importance
ph> 4.25 & conc<= 21.25 & dp_corona<= 62.5,rule,-0.6382113158121153,0.49794238683127573,0.31910295585344933
core_mw_total<= 154631.65625 & ratio_mass<= 0.2776370942592621 & dp_corona> 28.5 & clogp_core<= 1.3799999952316284 & mon_corona_psa> 64.99999046325684,rule,0.6633704733434298,0.3374485596707819,0.31366764822986887
corona_mw_total> 3982.2750244140625 & corona_mw_total> 4241.85498046875 & ratio_mass> 0.22958854585886002,rule,-0.5272212340773764,0.46502057613168724,0.2629647389358884
core_mw_total> 48886.03515625 & dp_corona> 26.5,rule,-0.4679515887321527,0.2222222222222222,0.19454605762580673
dp_corona> 25.5 & core_mv_total> 243.0165023803711 & corona_mw_total<= 5957.905029296875 & corona_mv_total> 35.12380027770996 & charged<= 0.5,rule,0.8109730246963979,0.05761316872427984,0.1889652271929143
core_mw_total> 12895.16015625,rule,-0.15485887067748305,0.9135802469135802,0.04351269161699259
conc> 6.25,rule,-0.712550769732726,0.9835390946502057,0.09066475370420439
clogp_core<= 1.3299999833106995 & ratio_mass<= 0.2507408931851387 & corona_mw_total<= 12760.52978515625 & corona_mw_total> 8941.41015625 & core_mv_total> 247.16400146484375 & conc> 12.75,rule,0.36809877253436823,0.11934156378600823,0.11933394040886024
mon_core_mw<= 144.21502685546875 & dp_core<= 1160.0 & ratio_vol<= 0.12835952639579773,rule,0.1800306682281723,0.09465020576131687,0.052700590120810284
corona_mw_total> 5806.375 & conc<= 21.5,rule,-1.726398860132292,0.6872427983539094,0.8003867651336859
dp_core<= 1160.0 & mon_corona_apol<= 58.23068809509277 & ph<= 7.125 & mon_core_mw> 144.21502685546875,rule,-0.24095787891375356,0.26337448559670784,0.1061332248525524
corona_mv_total<= 56.84994888305664 & ph<= 3.8499999046325684 & ratio_vol<= 0.3722815066576004,rule,0.18030967405259252,0.12757201646090535,0.060153587326553584
mon_corona_mw<= 262.55499267578125,rule,-0.30119324222223415,0.7613168724279835,0.12839225035769175
conc> 14.25 & mon_core_mw<= 144.07749938964844 & ratio_mass<= 0.3867952823638916,rule,0.2818249987292707,0.024691358024691357,0.04373438646308416
mon_core_mw> 144.3500518798828,rule,-0.13937912164042926,0.2716049382716049,0.06199405591093239
ratio_vol<= 0.23616201430559158 & ratio_mass> 0.09559816122055054 & clogp_core<= 1.3499999642372131 & conc> 12.75,rule,0.32194621130376716,0.26337448559670784,0.14180565411998958
core_mv_total> 167.18174743652344 & dp_corona> 29.5 & core_mw_total<= 58131.0703125 & ratio_mass<= 0.24669822305440903 & ratio_vol<= 0.23596807569265366 & clogp_core<= 1.3600000143051147 & temp> 53.0 & salt<= 0.05000000074505806 & ratio_mass> 0.11399608477950096,rule,0.7132910121347585,0.2222222222222222,0.29654339827483117
ratio_mass<= 0.2515832781791687 & clogp_core<= 1.3299999833106995 & ratio_mass> 0.10285210609436035 & conc> 11.5 & core_mv_total> 240.55500030517578 & clogp_corona<= 0.6400000005960464,rule,1.0998427480046533,0.20164609053497942,0.44128912702213113
conc> 22.75 & dp_corona> 42.5 & dp_core<= 550.0,rule,-0.3019638957197094,0.07407407407407407,0.07908174753219038
mon_core_mw<= 144.21502685546875 & ratio_vol> 0.19077181816101074 & core_mw_total<= 31480.9296875,rule,0.06524620097539793,0.35802469135802467,0.03128029796978629
ph<= 7.174999952316284 & ph> 3.8499999046325684,rule,-0.12330864138377413,0.8477366255144033,0.04430183460089715
corona_mw_total<= 5806.375 & corona_mv_total> 25.095650672912598 & ratio_mass<= 0.37611378729343414,rule,0.6331597426853772,0.17695473251028807,0.2416330000152434
clogp_core<= 1.3199999928474426 & ratio_vol<= 0.13039938360452652 & ratio_mass> 0.10285210609436035,rule,0.4066419414278226,0.09465020576131687,0.11903677574510431
ratio_vol<= 0.2612614184617996 & temp> 65.0 & dp_corona<= 65.5 & ph<= 7.224999904632568 & conc> 15.5 & core_mw_total> 16319.11474609375 & clogp_core<= 1.1800000071525574,rule,0.9698303039868533,0.1646090534979424,0.3596395878420692
conc> 7.5,rule,-0.010958442270732522,0.9835390946502057,0.0013943490227796393
corona_mv_total> 32.95805072784424 & ratio_vol<= 0.20701810717582703 & ratio_mass> 0.10285210609436035 & clogp_corona> -5.230000019073486,rule,0.12605432022737548,0.3004115226337449,0.05778795845369793
conc<= 15.5 & mon_corona_mw<= 315.11000061035156 & dp_core> 177.5 & ph> 3.8499999046325684,rule,-0.32530166809290906,0.26337448559670784,0.1432836113940594
core_mv_total> 100.30905151367188 & corona_mv_total> 32.95805072784424 & ratio_vol<= 0.3625129461288452 & dp_core> 104.0 & corona_mv_total<= 54.56194877624512,rule,0.6630233995081645,0.1522633744855967,0.23820839036022656
temp> 65.0 & clogp_corona> -5.230000019073486 & dp_corona> 59.0 & clogp_core<= 1.3499999642372131 & conc<= 14.25 & ratio_vol<= 0.2663028985261917,rule,-0.27785541713792944,0.04526748971193416,0.057763424141468435
mon_core_mw> 144.41756439208984,rule,-0.3075252509101275,0.27983539094650206,0.1380536802534854
mon_core_mw> 144.21502685546875,rule,-0.4733704265165433,0.23045267489711935,0.19934698213570243
mon_core_mw<= 145.30955505371094 & clogp_corona> -5.230000019073486 & ratio_mass<= 0.2776370942592621 & corona_mw_total<= 10396.32470703125 & mon_corona_psa> 64.99999046325684,rule,0.6617017774603496,0.16872427983539096,0.24781274635057365
ratio_vol<= 0.15047508478164673 & ratio_vol<= 0.1939682513475418 & ph> 3.8499999046325684 & dp_corona<= 112.5 & conc<= 13.25 & core_mv_total> 249.92550659179688 & charged<= 0.5,rule,-0.6034581124526623,0.04526748971193416,0.12545304050670864
conc> 8.75,rule,-0.048504313014326485,0.9794238683127572,0.006885691561731001
conc> 13.25 & temp> 63.0 & clogp_core<= 1.3499999642372131 & dp_corona> 27.0 & dp_core> 99.5 & ratio_mass<= 0.27040375769138336 & core_mw_total<= 65901.78125 & ratio_mass<= 0.2503932863473892,rule,1.2733230259254278,0.16872427983539096,0.4768699235735558
conc> 12.75 & corona_mv_total<= 73.37829971313477,rule,-0.7008344794480431,0.30864197530864196,0.32373858110279513
corona_mw_total<= 12760.52978515625 & ratio_vol<= 0.24217402189970016 & clogp_core<= 1.3700000047683716 & clogp_core<= 1.1225000023841858,rule,0.08548778485166655,0.3950617283950617,0.041791895964504715
conc> 12.75 & corona_mv_total> 73.37829971313477 & ratio_mass<= 0.274354949593544,rule,0.6165510838880442,0.205761316872428,0.24924499642823048
clogp_core<= 1.1600000262260437 & ratio_mass> 0.0685967467725277 & core_mv_total> 240.55500030517578 & corona_mw_total<= 12760.52978515625,rule,0.2530187976191422,0.3292181069958848,0.1189009459198968
core_mw_total<= 144080.0 & clogp_core<= 1.3700000047683716 & mon_corona_mw<= 180.40985870361328 & dp_corona<= 64.5 & corona_mw_total> 4260.0101318359375 & ratio_vol<= 0.2663028985261917,rule,1.4868126252307452,0.1646090534979424,0.5513507647041089
conc<= 15.5 & clogp_core<= 1.3700000047683716 & charged<= 0.5,rule,0.6852730097774097,0.27983539094650206,0.30763152195850646
corona_mw_total<= 8541.23486328125 & ratio_mass<= 0.14643020927906036 & clogp_core<= 1.3700000047683716 & mon_corona_apol> 27.318705558776855 & conc> 15.5 & ratio_vol<= 0.2436187043786049 & dp_corona<= 63.0,rule,0.5551019951139448,0.0205761316872428,0.07880249994525576
conc> 13.25 & core_mv_total> 266.0325012207031 & ratio_mass> 0.09008793905377388,rule,0.2702921357845694,0.23045267489711935,0.11382612547255178
ratio_vol> 0.23126552999019623 & core_mv_total> 244.20149993896484 & core_mw_total<= 57902.3984375,rule,-0.01777940234853589,0.07407407407407407,0.0046562725800347255
conc> 12.75 & core_mw_total> 43007.880859375 & mon_core_mw> 142.91849517822266 & mon_core_psa> 46.349998474121094,rule,0.7539334174009953,0.12757201646090535,0.25152172172863885
ratio_mass<= 0.23855753988027573 & core_mv_total<= 258.92250061035156 & ph> 3.8499999046325684,rule,-0.6272705343245648,0.08641975308641975,0.17625228184270628
ratio_vol<= 0.3722815066576004 & ph<= 4.0 & corona_mv_total<= 54.72279930114746,rule,0.6117147497935649,0.12345679012345678,0.20123017640124286
temp> 65.0 & mon_corona_apol<= 58.23068809509277 & mon_core_apol> 21.180723190307617 & dp_corona<= 64.5 & salt<= 0.05000000074505806 & dp_corona> 28.5 & ratio_vol<= 0.2661999613046646,rule,0.4989701420142744,0.3662551440329218,0.24039401372745225
ratio_vol<= 0.23150651156902313 & conc<= 16.600000381469727 & clogp_corona<= 0.26204000413417816 & charged> 0.5 & clogp_core<= 1.162500023841858,rule,-0.4853189659773434,0.11934156378600823,0.15733555471126334
ph<= 4.0 & corona_mv_total<= 54.72279930114746 & ratio_mass<= 0.36692018806934357,rule,1.0767919494706637,0.09465020576131687,0.31521057902489913
ratio_vol<= 0.24217402189970016 & corona_mw_total<= 12760.52978515625 & clogp_core<= 1.1800000071525574,rule,0.12300351195008209,0.45267489711934156,0.06122564949249824
core_mv_total> 262.4775085449219,rule,-0.4074003661838909,0.5061728395061729,0.2036846589381987
ph<= 7.224999904632568 & ph> 3.8499999046325684,rule,-0.0769653891181584,0.8106995884773662,0.030150965567091934
corona_mv_total<= 78.97494888305664 & mon_core_mw<= 144.21502685546875 & mon_corona_psa> 64.99999046325684 & mon_core_mw> 137.06749725341797 & ph> 6.5 & dp_corona> 27.0 & corona_mw_total> 7043.079833984375 & ratio_vol<= 0.24243927747011185,rule,1.911049047244332,0.1111111111111111,0.6005847735495813
corona_mv_total> 78.27899932861328 & conc<= 13.25 & clogp_corona> -5.230000019073486,rule,-0.5913826695663881,0.09465020576131687,0.1731161472659119
conc> 16.850000381469727 & ratio_vol<= 0.11474865302443504 & dp_corona<= 28.5 & mon_core_mw> 144.07749938964844,rule,0.29569009335305746,0.0205761316872428,0.04197628322428206
core_mv_total> 261.2925109863281 & corona_mw_total<= 12760.52978515625 & clogp_core<= 1.162500023841858 & ratio_mass<= 0.25363345444202423 & ph> 3.8499999046325684 & corona_mw_total> 3478.3700561523438,rule,0.6485638266667586,0.2551440329218107,0.2827363069559571
ratio_vol<= 0.2598588168621063 & core_mw_total<= 26080.623046875 & clogp_corona<= 0.125 & core_mw_total<= 57830.359375 & dp_corona> 28.5 & conc<= 12.75,rule,0.8079255179284839,0.024691358024691357,0.1253761270071529
ratio_mass> 0.18472180515527725 & mon_corona_apol<= 23.610912322998047,rule,-0.4967477618299999,0.4156378600823045,0.244813016126464
ratio_vol> 0.11627966910600662 & ratio_vol> 0.06251611560583115,rule,-0.4645310748577955,0.8847736625514403,0.14832239977705794
ph> 3.8499999046325684 & core_mv_total<= 265.9144287109375,rule,-0.13453807531845519,0.41975308641975306,0.06639701863109994
corona_mv_total> 17.21065044403076 & ratio_vol> 0.11627966910600662,rule,-0.1917302540172306,0.8477366255144033,0.06888407743479566
clogp_core<= 1.3700000047683716 & clogp_core<= 1.1225000023841858 & ratio_vol> 0.24217402189970016,rule,-0.2086742141195298,0.30864197530864196,0.09639350798636862
conc> 14.25 & core_mw_total<= 32994.3203125 & mon_core_mw<= 146.06500244140625 & clogp_core<= 1.1150000095367432,rule,-0.12413915975420882,0.15637860082304528,0.045089067822926404
mon_corona_psa<= 64.99999046325684 & conc> 6.25,rule,-1.1443740096490254,0.26337448559670784,0.5040553337746219
ratio_mass> 0.183467797935009,rule,-0.325627604567098,0.6337448559670782,0.15688098395294556
clogp_core<= 1.162500023841858 & core_mw_total> 32383.853515625 & corona_mw_total<= 12760.52978515625,rule,0.6673110495346336,0.29218106995884774,0.30346977333961767
ratio_vol<= 0.3722815066576004 & corona_mw_total<= 7043.079833984375 & mon_corona_psa> 64.99999046325684,rule,2.0317474243390454,0.06995884773662552,0.518253357718772
mon_corona_mw<= 287.114990234375 & clogp_core<= 1.3700000047683716 & ratio_vol<= 0.26070041954517365,rule,-0.08310422436289372,0.49794238683127573,0.04155176033562301
temp> 65.0 & clogp_corona> -5.230000019073486 & ratio_mass> 0.2646885812282562 & ratio_vol<= 0.26522018015384674 & conc> 13.0 & clogp_core<= 1.3799999952316284,rule,0.2717485066716036,0.01646090534979424,0.03457720133557339
conc> 8.75 & ph> 3.8499999046325684 & corona_mv_total<= 66.25379943847656,rule,-0.8146747635184247,0.2839506172839506,0.3673475596746693
clogp_core<= 1.1800000071525574 & mon_corona_mv<= 2.179200053215027,rule,-0.12281993837016643,0.691358024691358,0.05673458390689549
core_mv_total> 92.62150192260742,rule,-0.18293643020138584,0.9629629629629629,0.03454801582755079
ratio_mass<= 0.25753867626190186,rule,-0.7824980243176003,0.6255144032921811,0.37872106880718787
ratio_mass> 0.06992153264582157 & ratio_vol<= 0.2519974261522293 & clogp_core<= 1.4000000357627869 & charged<= 0.5,rule,1.7050796673796083,0.31275720164609055,0.7905028384718746
dp_core<= 157.5 & ph> 3.8499999046325684,rule,-0.48140015903144934,0.2222222222222222,0.20013716233713028
ratio_mass<= 0.2756119966506958 & core_mw_total<= 57932.169921875 & dp_corona> 29.5 & ratio_vol> 0.12364152446389198 & dp_corona<= 63.5 & core_mv_total> 203.26799774169922 & clogp_core<= 1.162500023841858 & ratio_vol> 0.11610821262001991,rule,1.2115959057202008,0.18518518518518517,0.47064166900965754
ratio_mass> 0.12543731555342674,rule,-0.28177404457509786,0.8683127572016461,0.09528201415814333
core_mw_total<= 43296.0390625 & ratio_mass> 0.24501153826713562 & core_mv_total> 247.16400146484375,rule,-0.0460858560081781,0.04938271604938271,0.009985228277388743
ratio_vol> 0.16078487783670425 & ratio_vol<= 0.2232578992843628 & corona_mw_total<= 12760.52978515625 & dp_core> 177.5 & ph> 3.8499999046325684,rule,0.5123946822085292,0.1522633744855967,0.18409110835089096
