rule,type,coef,support,importance
charged<= 0.5 & ratio_mass<= 0.4341815710067749 & dp_corona<= 74.5 & mon_core_mw<= 145.30955505371094,rule,-2.2281174787972406,0.18518518518518517,0.8655071579722652
dp_core> 104.5 & temp> 47.0 & ratio_mass<= 0.28986525535583496 & conc> 16.100000381469727 & core_mv_total<= 607.7999877929688,rule,-1.5773298336367296,0.25102880658436216,0.6839381913182092
mon_corona_psa> 64.99999046325684 & mon_core_mw<= 145.30955505371094 & ratio_vol<= 0.31153184175491333 & corona_mw_total<= 11545.81982421875 & corona_mw_total> 5113.050048828125 & clogp_corona> -4.0350000858306885,rule,-1.6566826670506214,0.2139917695473251,0.6794404681731177
corona_mv_total<= 39.6070499420166 & conc> 6.25 & conc<= 17.5,rule,-2.17706477470077,0.10699588477366255,0.6729481727171978
mon_core_psa> 40.849998474121094 & mon_corona_apol<= 27.318705558776855 & mon_core_mw> 144.0270004272461 & core_mv_total> 248.62889862060547 & corona_mw_total<= 15664.1103515625,rule,-1.3764901104611162,0.22633744855967078,0.5760061113909253
mon_core_mw> 144.89492797851562,rule,1.2916683388571857,0.2716049382716049,0.5745176054708772
corona_mv_total> 46.47684860229492 & mon_core_mw> 143.93306732177734,rule,0.9973980474118401,0.7777777777777778,0.4146579746280464
dp_core> 104.5 & conc<= 16.100000381469727 & corona_mv_total> 78.27899932861328 & mon_core_apol<= 22.783132553100586,rule,1.290233792475358,0.11522633744855967,0.4119650605333193
core_mw_total> 6051.35986328125 & mon_corona_apol<= 23.610912322998047 & dp_corona<= 62.5 & clogp_core<= 1.4000000357627869,rule,-0.8463070943025015,0.345679012345679,0.4024944655428193
charged<= 0.5 & ratio_vol> 0.2558889091014862 & mon_core_psa<= 47.144775390625,rule,0.990732638875922,0.18518518518518517,0.3848478362311224
core_mw_total> 39701.697265625 & core_mv_total> 182.60625457763672 & mon_corona_mv> 2.179200053215027 & ratio_vol<= 0.19793004542589188,rule,-1.596661271830028,0.06172839506172839,0.3842550383913186
dp_corona> 62.5 & dp_core<= 199.0,rule,1.511004456696785,0.06172839506172839,0.3636407331731695
corona_mw_total<= 15743.56005859375 & ratio_mass<= 0.2114628106355667 & mon_corona_apol<= 26.98116111755371 & clogp_core<= 1.4000000357627869,rule,-0.8171438352822606,0.2716049382716049,0.3634551575267495
ratio_mass> 0.32691285014152527 & dp_corona<= 64.5 & corona_mv_total> 46.47684860229492 & ratio_vol<= 0.6134999692440033,rule,1.0819375615079394,0.12345679012345678,0.3559150509789842
core_mv_total<= 182.60625457763672 & ratio_mass<= 0.2574511617422104 & corona_mw_total> 4808.7099609375,rule,2.1198364982973747,0.02880658436213992,0.3545692863416924
clogp_core<= 1.3700000047683716 & mon_core_psa> 45.7994499206543 & core_mv_total<= 182.34869384765625 & dp_core<= 120.0 & core_mw_total> 16317.32470703125 & conc> 14.5 & temp> 47.0 & corona_mw_total<= 12760.52978515625,rule,-2.054314610431291,0.02880658436213992,0.34360992742929636
clogp_core<= 1.1800000071525574 & dp_corona<= 62.5 & mon_corona_apol<= 58.23068809509277,rule,-0.6939855770787954,0.5925925925925926,0.3409910769020194
corona_mv_total<= 54.56194877624512 & conc> 6.25 & core_mv_total> 49.77000045776367,rule,-0.7660038113291735,0.25925925925925924,0.3356844194060575
dp_core> 102.5 & conc> 14.5 & dp_corona> 29.5 & core_mw_total<= 61030.701171875,rule,-0.6732960511615769,0.36213991769547327,0.3235988569840457
ratio_mass<= 0.28415437042713165 & mon_core_mw<= 145.30955505371094 & temp> 47.0 & conc> 15.5 & corona_mw_total<= 12760.52978515625,rule,-0.8034125034187699,0.1934156378600823,0.31732864506648784
clogp_corona> -0.1361449956893921,rule,0.6083071532109157,0.6584362139917695,0.2884799853811029
clogp_core<= 1.3700000047683716 & dp_corona<= 62.5 & ratio_vol<= 0.30379264056682587 & dp_core<= 240.0,rule,-0.597396830992296,0.3333333333333333,0.28161556683600425
conc<= 21.25 & corona_mw_total> 5957.905029296875 & core_mv_total> 206.4447479248047 & core_mv_total> 150.9697494506836 & corona_mw_total<= 8503.89013671875,rule,0.8264341857767634,0.13168724279835392,0.27945907476573295
dp_corona> 29.5 & core_mv_total> 180.7125015258789 & core_mw_total<= 39701.697265625,rule,-0.5949881909243296,0.3045267489711934,0.27381755279401016
dp_core> 105.5 & dp_core<= 250.5 & dp_corona> 29.5,rule,-0.5600653312275522,0.3950617283950617,0.273795748674513
core_mw_total> 30256.7998046875 & corona_mw_total<= 12760.52978515625 & clogp_corona<= 0.125 & conc> 14.0 & mon_core_mw<= 146.06500244140625,rule,-0.8321770978327934,0.12345679012345678,0.2737536478407292
charged> 0.5 & dp_corona<= 62.5 & corona_mw_total<= 9204.02490234375 & core_mv_total<= 384.5325012207031,rule,0.9657277465074484,0.08641975308641975,0.27135296438566775
conc<= 14.5 & clogp_core> 1.1022250056266785 & core_mv_total> 152.74724578857422 & core_mw_total<= 39701.697265625,rule,1.5992696642728286,0.02880658436213992,0.26749794334826466
core_mw_total> 5578.719970703125 & mon_core_mw<= 144.89492797851562 & dp_core<= 82.5,rule,-1.1574802983350607,0.053497942386831275,0.2604611346315952
dp_core> 104.5 & core_mw_total<= 43889.85546875 & dp_corona> 28.5,rule,-0.4882924957308795,0.49382716049382713,0.2441276412847729
ratio_mass<= 0.38027825951576233 & ratio_mass<= 0.3983342945575714,rule,0.762452818469074,0.897119341563786,0.23163541062699863
dp_core<= 212.0 & mon_corona_psa> 64.99999046325684 & mon_core_mw<= 144.89492797851562 & conc> 7.5,rule,0.47205305589978613,0.3333333333333333,0.22252794460438077
dp_corona<= 28.5 & mon_core_mw> 143.92599487304688 & conc<= 21.5,rule,0.8475186273562496,0.07407407407407407,0.2219578402168588
ratio_mass<= 0.284612700343132 & dp_corona<= 95.0 & mon_core_mw<= 144.21502685546875 & conc> 16.100000381469727,rule,-0.5961338727136801,0.1440329218106996,0.20931638010151696
clogp_core<= 1.1800000071525574 & dp_corona> 63.5 & ratio_mass> 0.15433864295482635 & mon_corona_mv<= 1.2931870222091675,rule,0.6042538177620248,0.13580246913580246,0.20700448102564936
mon_core_mw<= 145.30955505371094 & charged> 0.5 & mon_corona_psa<= 130.29999542236328 & ratio_mass<= 0.325008288025856 & conc<= 16.100000381469727 & ph> 4.25,rule,0.5784190222890687,0.13991769547325103,0.2006544958776313
mon_corona_psa<= 130.29999542236328 & ratio_vol<= 0.30416758358478546,rule,0.4421556874501424,0.757201646090535,0.1895849504723564
clogp_core<= 1.3700000047683716 & dp_core> 94.5 & dp_corona<= 63.5 & ratio_vol<= 0.29419493675231934 & dp_corona> 27.5,rule,-0.3829029732239422,0.37037037037037035,0.18490533214820515
