rule,type,coef,support,importance
clogp_core<= 1.1800000071525574 & dp_corona<= 64.0 & mon_core_psa<= 47.144775390625 & mon_corona_apol<= 23.610912322998047 & core_mv_total> 49.177499771118164,rule,-2.267958699811056,0.32510288065843623,1.0623419656530453
ratio_mass<= 0.325008288025856 & core_mw_total<= 77874.7265625 & temp> 47.0 & core_mv_total> 182.34869384765625 & conc> 16.5 & clogp_core<= 1.9449999928474426 & ratio_mass<= 0.2848168909549713,rule,-1.4638681770411899,0.25925925925925924,0.6415082168382424
core_EGDMA<= 0.007499999832361937 & mon_core_mw<= 145.30955505371094 & corona_mw_total> 10396.32470703125 & conc<= 16.100000381469727 & ratio_mass<= 0.3022218346595764,rule,1.907293787168158,0.11934156378600823,0.6183255694471612
core_EGDMA<= 0.007499999832361937 & mon_core_mw> 144.21502685546875,rule,1.1921168402085884,0.2716049382716049,0.5302383683756703
mon_core_psa> 36.23499870300293 & core_mv_total> 184.8259506225586 & corona_mw_total<= 6338.16015625 & conc> 6.25,rule,-1.762919252466717,0.09876543209876543,0.5259613425997609
core_EGDMA<= 0.007499999832361937 & ratio_mass<= 0.23461444675922394 & clogp_corona<= -4.870000123977661 & conc<= 16.100000381469727 & core_cyclic<= 0.007499999832361937,rule,1.98822357686156,0.07407407407407407,0.5206986569310303
core_mv_total<= 339.50250244140625 & dp_corona> 29.5 & core_mw_total> 16161.47509765625,rule,-1.0519494398817086,0.3950617283950617,0.5142601557373062
ratio_vol<= 0.299182265996933 & charged<= 0.5 & clogp_core<= 1.7599999904632568 & dp_core> 97.0 & core_cyclic<= 0.007499999832361937 & dp_corona<= 59.0,rule,-1.1287573060781175,0.20987654320987653,0.4596528986318737
corona_mv_total<= 42.9744987487793 & ratio_vol<= 0.4147680699825287 & clogp_core<= 1.4000000357627869 & conc> 6.25,rule,-1.41529023729885,0.11934156378600823,0.4588229394959303
corona_CysMA<= 0.5 & core_mv_total> 78.70605087280273,rule,1.4801109019228091,0.8930041152263375,0.4575141440174465
dp_core<= 311.0 & dp_corona<= 28.5 & ratio_vol<= 0.290206179022789 & core_mw_total<= 66026.0,rule,1.7863773638329883,0.06584362139917696,0.4430368527238423
core_EGDMA<= 0.004999999888241291 & mon_core_mw> 144.0270004272461 & conc<= 15.5 & corona_mv_total> 42.9744987487793,rule,0.7977649624948333,0.3950617283950617,0.3899985287320394
