rule,type,coef,support,importance
core_CrippenMR> 37.15889930725098 & sphere<= 0.5 & ratio_mass> 0.2571306973695755,rule,1.7565816224236237,0.16872427983539096,0.6578542341422512
ratio_mass<= 0.4180891811847687 & core_HybRatio> 0.527999997138977 & corona_nRing<= 0.5 & ratio_vol> 0.20190628618001938 & core_HybRatio<= 0.5667499899864197,rule,2.572118343500258,0.06995884773662552,0.6560899017271796
conc<= 24.0 & sphere> 0.5,rule,-1.294170318803852,0.49382716049382713,0.6470358445247899
ratio_mass<= 0.32691285014152527 & clogp_core<= 1.1399999856948853 & ratio_vol<= 0.3446504920721054 & core_mw_total<= 40270.359375 & temp> 47.0,rule,1.2088216093263453,0.37037037037037035,0.5837446476282405
dp_corona<= 112.5 & ratio_vol> 0.1726054847240448 & corona_mv_total> 39.467599868774414 & charged<= 0.5,rule,1.2679675185238035,0.2757201646090535,0.566624814700009
mon_core_psa<= 46.78045082092285 & core_mw_total> 21611.625 & dp_core> 69.5 & core_mv_total> 122.10074996948242,rule,-1.099424132628406,0.691358024691358,0.5078602996353838
dp_corona<= 106.0 & corona_CrippenMR<= 63.91585159301758 & conc> 11.25 & ratio_vol<= 0.24596331268548965 & conc> 16.5,rule,-1.194933634155656,0.2345679012345679,0.5063273789175412
ratio_mass> 0.22350908070802689 & corona_mw_total<= 12760.52978515625 & conc> 11.25 & corona_mw_total> 8503.89013671875,rule,1.3533220107742994,0.16049382716049382,0.4967550135661741
core_mv_total<= 215.78504943847656 & corona_CrippenLogP<= 0.7397300004959106 & clogp_core<= 1.1399999856948853 & ratio_mass> 0.15217306464910507 & ratio_vol<= 0.3408524692058563 & corona_nBase<= 0.5 & corona_mv_total> 25.373250007629395,rule,1.3111542950927026,0.15637860082304528,0.4762294593809812
ratio_vol> 0.21555382758378983 & ratio_vol> 0.21136220544576645,rule,-0.916331715082513,0.4444444444444444,0.4553288899696596
corona_mw_total<= 12760.52978515625 & core_nBondsD<= 2.002500057220459 & core_mv_total> 134.4324951171875 & ratio_vol> 0.23827636241912842,rule,1.0485118497219166,0.18518518518518517,0.40729203903688826
dp_corona> 41.5,rule,-0.8511264879074929,0.6625514403292181,0.4024460758142294
core_mv_total> 192.5625 & dp_corona> 77.5,rule,0.9609198647318583,0.19753086419753085,0.3825769691322676
conc<= 11.25 & mon_corona_mv> 1.2348999977111816 & core_nRotB> 3.990000009536743,rule,-0.7827155600843334,0.3662551440329218,0.37709698286961
ratio_vol<= 0.21378567814826965 & sphere<= 0.5 & clogp_corona<= 0.125 & core_mw_total> 22933.455078125 & dp_corona> 28.0,rule,-1.031285047775547,0.1522633744855967,0.37051595979178914
mon_core_psa<= 46.78045082092285 & conc<= 11.25 & clogp_corona<= 0.25,rule,-0.7049668979015321,0.36213991769547327,0.33882046683469813
ratio_mass> 0.2759075462818146 & core_CrippenLogP> 0.7883799970149994 & dp_core> 69.5 & core_nS<= 0.02249999949708581,rule,-1.5428218818326793,0.04526748971193416,0.32073758234773014
corona_nHBDon_Lipinski<= 1.9129999876022339 & dp_core<= 153.5 & conc<= 24.0 & corona_mw_total> 5985.85498046875,rule,-1.2419572352982737,0.06584362139917696,0.3080160081985868
corona_HybRatio> 0.6969999969005585 & conc<= 15.5 & ratio_vol> 0.15544889122247696,rule,-1.1754337429671364,0.06995884773662552,0.2998268764961444
mon_core_psa<= 46.78045082092285 & mon_core_mw> 144.07749938964844 & dp_core> 82.0,rule,-0.7179690781609854,0.8024691358024691,0.2858494697996134
core_mv_total> 152.8650016784668 & corona_HybRatio> 0.6969999969005585 & core_mw_total<= 34795.3203125,rule,0.8659162063318675,0.11934156378600823,0.28072137338036224
core_mw_total<= 32778.19921875 & sphere> 0.5 & corona_mw_total> 6186.630126953125,rule,-0.6923739401058145,0.205761316872428,0.2798969051200463
corona_mw_total<= 12760.52978515625 & ratio_mass<= 0.41409866511821747 & ratio_vol> 0.21378567814826965 & conc> 11.25,rule,0.6465975557338065,0.24279835390946503,0.27724434867336895
ratio_vol<= 0.21242348849773407 & core_mv_total> 131.0955047607422 & core_mv_total> 265.9144287109375 & core_nHBAcc_Lipinski<= 3.002500057220459 & clogp_corona> -5.230000019073486,rule,-0.5520904237727535,0.32098765432098764,0.25774675961353094
corona_mv_total<= 81.68804931640625 & dp_corona> 29.5 & core_mv_total> 131.0955047607422 & core_HybRatio> 0.527999997138977 & core_mv_total<= 265.9144287109375,rule,0.5485238724666666,0.25102880658436216,0.2378427246029718
ratio_vol<= 0.15286792814731598 & core_mv_total<= 414.1575012207031 & core_HybRatio> 0.527999997138977 & corona_CrippenLogP> -0.5151905119419098 & core_CrippenLogP<= 0.6555799841880798,rule,0.9412733674233937,0.06584362139917696,0.23344383930237766
ratio_mass> 0.22350908070802689 & dp_core> 93.5 & corona_mw_total<= 8503.89013671875 & conc> 11.25,rule,-1.1646216207164755,0.0411522633744856,0.2313430917020672
corona_nP> 0.5 & core_mw_total> 29464.3603515625 & conc> 11.25,rule,1.0872106068256846,0.04526748971193416,0.22602045358719935
ratio_vol<= 0.38812877237796783 & conc> 11.25 & clogp_core<= 1.3700000047683716 & ratio_mass> 0.2199251428246498 & corona_mw_total<= 12760.52978515625 & mon_corona_psa> 56.685001373291016 & corona_mv_total> 57.09070014953613,rule,0.6334751622394561,0.14814814814814814,0.22504001128174986
core_HybRatio> 0.527999997138977 & ratio_vol> 0.2072615921497345 & ratio_mass<= 0.3659862279891968 & dp_corona> 30.0 & dp_corona<= 88.0,rule,0.4496867279893008,0.2962962962962963,0.20533741947900347
sphere<= 0.5 & corona_mv_total<= 54.60330009460449 & core_HybRatio> 0.559249997138977 & dp_corona<= 55.5 & ratio_mass<= 0.31734199821949005,rule,-0.9045671427137123,0.053497942386831275,0.20354954177671208
ratio_mass> 0.13420390337705612 & corona_mw_total<= 5957.905029296875 & clogp_core<= 1.1299999952316284,rule,0.506701741113383,0.15637860082304528,0.1840411133464404
ratio_mass> 0.3092688173055649 & sphere> 0.5,rule,-0.4893210705146864,0.16872427983539096,0.18325475684355896
corona_mv_total<= 55.807579040527344 & ratio_mass<= 0.13556132465600967 & sphere<= 0.5 & ratio_mass<= 0.23455464094877243,rule,-0.8127769972527185,0.053497942386831275,0.18289453324727192
dp_core<= 299.5 & clogp_core<= 1.1399999856948853 & clogp_core> 1.1022250056266785,rule,0.8739433779920356,0.04526748971193416,0.1816842822017827
