rule,type,coef,support,importance
corona_mw_total<= 6246.945068359375 & ratio_mass> 0.16786551475524902 & mon_corona_mw> 71.54999923706055 & clogp_core<= 1.1399999856948853,rule,3.515887124074903,0.06995884773662552,0.8968242241058951
mon_core_mv> 1.1036900281906128 & dp_core> 96.0 & corona_mw_total<= 12760.52978515625 & ratio_vol> 0.21378567814826965 & clogp_corona<= 0.7300000041723251 & dp_core> 104.5,rule,1.5824528146143884,0.22633744855967078,0.662193273513829
ratio_mass<= 0.22350908070802689 & dp_corona<= 106.0 & conc> 11.25 & dp_core> 135.5 & clogp_corona> -5.230000019073486,rule,-1.6745565582855095,0.1934156378600823,0.6614096263958235
dp_corona<= 106.5 & mon_corona_psa<= 93.28999710083008 & ratio_mass<= 0.21518679708242416 & mon_core_psa<= 46.77286148071289 & clogp_corona<= 0.7300000041723251,rule,-1.2739159667587296,0.3950617283950617,0.6227715882763851
corona_mv_total> 76.41344833374023 & conc<= 21.25,rule,-1.0113504863152645,0.3045267489711934,0.46543027139692766
ph> 3.125 & ratio_vol> 0.21352563798427582 & ratio_vol> 0.21528394520282745,rule,-0.8598968041154251,0.448559670781893,0.4276669697262919
clogp_core<= 1.3700000047683716 & dp_core<= 299.5 & ratio_mass<= 0.4074752926826477,rule,0.8702651562592042,0.5925925925925926,0.4276063691010063
clogp_corona<= 0.7300000041723251 & ratio_vol<= 0.2468106597661972 & dp_core<= 180.5,rule,-1.3899711955042426,0.102880658436214,0.42227734074981954
clogp_core<= 1.3700000047683716 & charged> 0.5 & clogp_core<= 1.117062509059906,rule,-0.7586260514775603,0.35802469135802467,0.36370008648945396
mon_core_psa<= 46.78045082092285 & mon_core_mw> 144.07749938964844 & conc<= 27.5 & ratio_mass<= 0.32415415346622467 & ratio_mass> 0.2335580661892891 & dp_corona<= 30.0,rule,-1.8049569449205347,0.0411522633744856,0.35854075916103006
conc<= 11.25 & mon_core_psa<= 46.77286148071289,rule,-0.7198907055302101,0.35802469135802467,0.3451296081308328
corona_mv_total<= 76.41344833374023 & core_mv_total<= 214.76239013671875 & conc<= 21.25 & core_mw_total> 17841.1044921875,rule,1.0513939698105945,0.11934156378600823,0.34085140919044504
core_BzMA<= 0.5 & clogp_corona<= 0.6050000041723251 & ratio_mass> 0.2571306973695755,rule,0.9036516475363179,0.1646090534979424,0.3350987329812016
dp_corona<= 95.5 & core_BzMA<= 0.5 & ratio_mass<= 0.22677403688430786 & dp_corona> 28.0 & core_mv_total> 215.78504943847656,rule,-0.8739566833779185,0.17695473251028807,0.33352843058582504
mon_core_psa<= 46.78045082092285 & conc<= 11.25,rule,-0.6735322278186477,0.37037037037037035,0.32525132737606127
ratio_mass<= 0.2567605674266815 & ratio_mass<= 0.20027776062488556 & conc> 14.0 & ratio_mass<= 0.325008288025856 & dp_corona<= 25.5,rule,1.3955189528515777,0.05761316872427984,0.32517056418287
core_BzMA> 0.5 & corona_mw_total> 5957.905029296875 & conc<= 24.0,rule,-0.662956461998543,0.3950617283950617,0.32409551302462025
mon_core_psa<= 46.78045082092285 & dp_corona> 41.5,rule,-0.6892944750445503,0.6790123456790124,0.3218013023087155
core_mv_total> 192.5625 & dp_corona> 77.5 & dp_corona<= 120.0 & dp_core> 44.0 & core_mv_total<= 340.6875,rule,1.1236459395512255,0.08641975308641975,0.3157252732147654
ratio_mass<= 0.24814650416374207 & core_mw_total<= 46826.0 & ratio_mass> 0.12851683795452118 & dp_corona> 77.5,rule,1.43202499228574,0.04938271604938271,0.3102708224484654
core_BzMA<= 0.5 & ratio_mass> 0.2369965985417366 & corona_mw_total> 5957.905029296875 & mon_core_mw> 136.8679962158203 & conc<= 24.0,rule,0.9222832570414741,0.12757201646090535,0.3076853570601022
mon_corona_mw> 151.5800018310547 & dp_core> 44.0 & dp_core<= 216.5 & dp_corona<= 77.5 & ratio_mass<= 0.2576379179954529,rule,-1.2769146263825693,0.05761316872427984,0.29753451117645946
