rule,type,coef,support,importance
conc> 11.25 & corona_mw_total> 8883.884765625 & clogp_corona> -5.230000019073486 & ratio_vol> 0.21378567814826965,rule,2.5460975856297816,0.21810699588477367,1.0514376076856415
dp_corona> 30.0 & dp_corona<= 89.0 & ratio_vol> 0.20805040001869202 & clogp_core<= 1.3700000047683716 & ratio_vol<= 0.3408524692058563,rule,1.7618275685210283,0.2880658436213992,0.7978646052236795
dp_corona<= 63.5 & core_mv_total<= 215.78504943847656 & charged<= 0.5 & clogp_core<= 1.1399999856948853,rule,1.8611599376250365,0.1646090534979424,0.6901689812372709
dp_corona<= 61.0 & mon_corona_apol<= 58.23068809509277 & core_mw_total<= 50644.119140625 & clogp_core<= 1.4000000357627869 & conc> 11.25 & ratio_mass<= 0.41608381271362305 & clogp_corona<= 0.6400000005960464,rule,1.3644714129777387,0.3168724279835391,0.634830193388964
ratio_mass> 0.32691285014152527 & corona_mw_total> 5985.85498046875,rule,-1.5625587188094283,0.12757201646090535,0.5212893475552216
ratio_mass> 0.325008288025856 & clogp_core> 1.1071500182151794 & ratio_vol<= 0.4202622175216675,rule,2.100386210115493,0.053497942386831275,0.4726378291173946
mon_core_psa<= 46.78045082092285 & ratio_vol<= 0.2386971041560173 & corona_mw_total<= 12760.52978515625,rule,-0.9310798156508888,0.49382716049382713,0.4655044286570184
mon_core_psa<= 47.144775390625 & dp_corona<= 112.5 & dp_core> 66.5 & conc<= 24.0,rule,-1.1195437949310643,0.7777777777777778,0.4654388122356386
dp_core> 107.5 & corona_mw_total<= 12760.52978515625 & mon_core_mw<= 146.88470458984375 & core_BzMA<= 0.5,rule,0.9913342325485858,0.31275720164609055,0.4595987740023452
ratio_vol<= 0.19525634497404099 & dp_corona<= 106.5 & mon_corona_psa<= 47.970001220703125 & ratio_vol<= 0.20677320659160614,rule,-1.1941313501364945,0.1522633744855967,0.4290227268082953
ratio_vol> 0.2077510803937912 & ratio_vol> 0.21528394520282745,rule,-0.8542920759663677,0.4691358024691358,0.42633146376848213
core_mw_total> 14632.3251953125 & mon_corona_mw> 262.55499267578125 & core_mw_total> 36236.119140625 & core_mw_total> 27592.5146484375 & dp_corona<= 77.5 & ratio_mass> 0.16695963591337204,rule,-1.711731891714477,0.053497942386831275,0.38518118307701893
ratio_mass<= 0.3258424550294876 & clogp_core<= 1.1399999856948853 & dp_core<= 299.5,rule,0.782246798869565,0.411522633744856,0.3849510776271051
mon_corona_psa> 47.970001220703125 & mon_core_mv> 1.1605650186538696 & corona_mw_total<= 12760.52978515625 & ratio_vol> 0.2072937786579132,rule,0.8153493163861356,0.32510288065843623,0.3819204448192446
corona_mw_total> 5957.905029296875 & ratio_vol> 0.310355082154274,rule,-1.0061608827593036,0.15637860082304528,0.365451613925328
ratio_mass<= 0.3136599361896515 & core_mw_total<= 29114.5 & mon_core_psa<= 47.144775390625 & ratio_vol<= 0.2383342608809471 & clogp_core> 0.8950000107288361 & corona_mw_total> 5985.85498046875,rule,-1.6077139081064855,0.053497942386831275,0.36177461445412434
dp_core> 176.0 & ratio_vol<= 0.2458944171667099,rule,0.7161110720300795,0.5349794238683128,0.35717825636334644
core_mw_total<= 24493.6005859375 & ratio_mass<= 0.2572299391031265 & mon_core_mw<= 146.88470458984375,rule,-1.7899456373382094,0.037037037037037035,0.33803584196510383
corona_mv_total> 25.095650672912598 & corona_mw_total<= 5113.050048828125 & ratio_vol<= 0.42269572615623474 & ratio_mass> 0.13556132465600967,rule,0.9173084870556185,0.12345679012345678,0.30175853815336784
