rule,type,coef,support,importance
mon_core_mw> 136.05999755859375 & temp> 47.0 & dp_corona<= 77.5 & corona_mw_total<= 12760.52978515625 & dp_corona<= 61.0,rule,1.7558717809767768,0.6419753086419753,0.8417990884465889
corona_mw_total> 5957.905029296875 & mon_core_psa<= 46.78045082092285 & mon_core_mw> 144.07749938964844,rule,-1.5468383506001366,0.6460905349794238,0.7396694967335934
dp_core> 99.5 & conc> 11.25 & mon_core_mw<= 146.06500244140625,rule,1.4348463180498536,0.3292181069958848,0.6742763228312076
core_mv_total> 121.50825119018555 & dp_core> 147.0 & mon_core_psa<= 46.77286148071289,rule,-1.3348592407622384,0.654320987654321,0.6348445621010583
mon_core_psa> 37.18000030517578 & ratio_mass> 0.13420390337705612 & corona_mw_total> 3493.6800537109375 & corona_mw_total<= 5957.905029296875 & clogp_corona> -4.870000123977661,rule,1.5044299009062774,0.13991769547325103,0.5218891698183502
ratio_mass<= 0.3470565378665924 & ratio_vol> 0.20190628618001938 & mon_core_mw> 136.8679962158203 & mon_corona_mw> 71.54999923706055 & corona_mw_total<= 12760.52978515625 & clogp_core<= 1.1225000023841858 & clogp_corona> -5.230000019073486,rule,1.0996980733569006,0.29218106995884774,0.5001042996311309
sphere<= 0.5 & mon_core_apol> 20.513930320739746 & ratio_vol> 0.21378567814826965 & mon_corona_psa> 56.685001373291016,rule,1.1440721158097649,0.19753086419753085,0.45549650766911565
ratio_vol<= 0.20237330347299576 & dp_corona<= 106.0 & conc> 11.25 & clogp_corona> -5.230000019073486,rule,-1.1002186200363284,0.2139917695473251,0.4512228377575118
dp_core<= 299.5 & clogp_core<= 1.1225000023841858 & ratio_vol<= 0.3087731897830963,rule,0.8597296886273116,0.4156378600823045,0.4237019958599175
ratio_mass<= 0.4180891811847687 & dp_corona> 27.0 & clogp_corona<= 0.125 & conc> 11.25 & ratio_vol> 0.23847127705812454,rule,1.1300235527137394,0.16049382716049382,0.4147903165612728
ratio_vol> 0.20190628618001938 & ratio_mass> 0.2513994425535202,rule,-0.841581929007243,0.4156378600823045,0.41475820565106003
ratio_vol<= 0.20190628618001938 & dp_corona<= 105.0 & dp_corona> 25.5,rule,-0.8456684883422539,0.35802469135802467,0.4054299239426808
ratio_vol> 0.21528394520282745 & ratio_vol> 0.2077510803937912,rule,-0.7589799357536466,0.48148148148148145,0.3792295973707838
dp_corona> 53.5 & core_mv_total<= 331.5280456542969 & clogp_core> 0.6649999916553497,rule,0.8139357332012841,0.3004115226337449,0.3731382173127703
core_mv_total> 195.5250015258789 & corona_mw_total<= 12760.52978515625 & temp> 47.0 & dp_corona> 77.5,rule,1.1621756526448714,0.1111111111111111,0.3652365710733734
ratio_vol<= 0.24648290127515793 & corona_mv_total<= 76.41344833374023 & clogp_corona<= 0.7300000041723251 & corona_mw_total<= 9284.06005859375 & ratio_vol> 0.22309695929288864,rule,-1.632348352027992,0.04526748971193416,0.33934926004344795
sphere<= 0.5 & dp_corona> 34.5 & core_mv_total> 243.0165023803711 & ratio_mass<= 0.23455464094877243,rule,-0.8528614574194678,0.15637860082304528,0.3097711324394756
dp_core<= 299.5 & ratio_vol<= 0.23847127705812454 & corona_mv_total> 50.81744956970215 & dp_core<= 255.5 & clogp_core<= 1.1399999856948853 & ratio_vol<= 0.34002014994621277,rule,-0.85962388508154,0.1522633744855967,0.30884222507437536
sphere> 0.5 & ratio_mass> 0.3092688173055649,rule,-0.819144352879385,0.16049382716049382,0.30067793244154734
corona_mw_total<= 8461.2001953125 & ratio_vol> 0.20577701181173325 & dp_core> 93.5,rule,-0.9984165687188604,0.09465020576131687,0.2922676612586423
conc<= 22.5 & sphere> 0.5 & ph> 2.625,rule,-0.5833870954659778,0.4279835390946502,0.28865202891272373
clogp_corona<= -5.230000019073486 & conc<= 21.25 & ratio_mass<= 0.16695963591337204 & conc> 11.25 & ratio_vol<= 0.20222675055265427 & conc> 12.75,rule,1.6538883733638279,0.02880658436213992,0.2766336086313441
core_mv_total> 287.42999267578125 & dp_corona> 25.5 & mon_core_psa<= 46.73492431640625,rule,-0.571252460463552,0.3662551440329218,0.2752182149980979
sphere<= 0.5 & ratio_vol<= 0.23888873308897018 & dp_corona<= 70.0 & mon_corona_apol<= 42.472049713134766,rule,-0.7099161525492539,0.18106995884773663,0.27337176737188745
core_mv_total<= 147.30750274658203 & dp_core> 67.5 & ratio_vol> 0.21352563798427582,rule,-0.7493447687679808,0.13580246913580246,0.25670954888230696
core_mw_total> 32950.890625 & ratio_vol<= 0.21352563798427582 & dp_corona> 25.5,rule,-0.5254205582775731,0.37037037037037035,0.2537276272048943
corona_mw_total> 7450.64501953125 & core_mw_total> 25574.2001953125 & clogp_core<= 1.3700000047683716 & conc> 11.25 & ratio_vol> 0.21352563798427582,rule,0.7964979970255204,0.10699588477366255,0.24620391542778217
charged<= 0.5 & ratio_mass> 0.1459200158715248 & clogp_core<= 1.1066749691963196,rule,0.5328234310494894,0.2962962962962963,0.2432995718126998
ratio_mass<= 0.2370530664920807 & sphere<= 0.5 & core_mv_total> 215.78504943847656,rule,-0.5658161041992377,0.23868312757201646,0.24119532819119655
sphere> 0.5 & ratio_vol> 0.1565120443701744 & dp_core<= 248.0,rule,-0.5050434858827336,0.31275720164609055,0.23414642540168604
corona_mw_total<= 12760.52978515625 & clogp_core<= 1.3700000047683716 & mon_corona_psa> 93.28999710083008 & conc> 11.25,rule,0.7856476014844601,0.08641975308641975,0.2207535264429246
dp_core<= 176.0 & clogp_corona<= 0.17204000055789948 & ratio_vol<= 0.24674779921770096 & clogp_core<= 1.1225000023841858 & dp_core> 135.5,rule,-1.2194016917400463,0.03292181069958848,0.21758023638028942
conc<= 24.0 & core_mv_total<= 296.8424987792969 & ratio_vol<= 0.3003617376089096 & ratio_mass<= 0.23486313968896866 & corona_mw_total> 5957.905029296875 & mon_core_mw> 144.07749938964844,rule,-0.7920900856634611,0.07818930041152264,0.21265182461736903
ratio_vol> 0.20222675055265427 & corona_mw_total> 5897.590087890625 & corona_mw_total<= 9284.06005859375 & sphere> 0.5 & dp_corona> 30.0,rule,-0.8827584643492105,0.06172839506172839,0.2124460545222501
ratio_vol> 0.11506794765591621 & conc> 23.75,rule,0.6963567897096424,0.09876543209876543,0.20775582973052684
corona_mw_total> 5957.905029296875 & conc<= 24.0 & mon_core_mw> 144.07749938964844 & ratio_vol> 0.3003617376089096,rule,-0.5853268296231373,0.11934156378600823,0.18975710384753577
