rule,type,coef,support,importance
mon_corona_psa> 64.99999046325684 & mon_core_mw<= 144.21502685546875 & clogp_core> 0.8700000047683716 & dp_corona> 27.0 & ratio_mass<= 0.2776370942592621 & dp_core<= 1160.0,rule,3.046111838743983,0.24279835390946503,1.306094162017661
conc> 6.25 & sphere> 0.5 & mon_core_psa<= 47.144775390625 & corona_mv_total> 17.21065044403076,rule,-2.1335820682999502,0.5473251028806584,1.062001773821101
sphere<= 0.5 & temp> 47.0 & corona_mv_total<= 107.5754508972168 & worm<= 0.5 & ratio_mass> 0.07987647503614426 & corona_mv_total> 25.373250007629395 & clogp_core<= 1.1800000071525574 & mon_core_mv> 1.1009750366210938,rule,2.551787146860629,0.17695473251028807,0.9738395259956766
corona_mv_total<= 54.72279930114746 & ratio_vol<= 0.3722815066576004 & ph<= 4.0,rule,2.6703115552454246,0.10699588477366255,0.8254147063378102
core_mv_total<= 309.29669189453125 & conc> 7.5 & mon_core_mw> 144.07749938964844 & clogp_corona<= 0.125 & conc> 12.75,rule,-1.1652839457599287,0.34156378600823045,0.552617364210252
mon_core_psa<= 46.98537635803223 & mon_corona_apol<= 38.47530937194824 & corona_mw_total> 5806.375,rule,-0.9948443989912641,0.5349794238683128,0.49620345455239023
conc> 6.25 & conc<= 21.25,rule,-1.3024991913887989,0.8600823045267489,0.4518390795566356
core_mv_total<= 1256.0999755859375 & corona_mw_total> 2972.0750122070312 & mon_core_psa<= 46.567935943603516 & sphere<= 0.5 & worm<= 0.5 & mon_core_mv> 1.1009750366210938,rule,0.952868479781136,0.18930041152263374,0.3732834336709673
core_mw_total<= 43780.015625 & dp_core> 215.5 & ratio_vol<= 0.22674328833818436 & clogp_corona> -5.230000019073486,rule,1.0786052959072754,0.12345679012345678,0.3548188662051763
core_mw_total> 31480.9296875 & mon_core_apol> 22.060723304748535 & ratio_vol<= 0.23150651156902313 & core_mw_total<= 57902.3984375,rule,0.7502326966524795,0.2839506172839506,0.3382897846414042
sphere<= 0.5 & temp> 65.0 & ratio_vol<= 0.25945471227169037,rule,0.7317415535662235,0.2757201646090535,0.3269980627583201
corona_mw_total> 2502.9550170898438 & clogp_core<= 1.1600000262260437 & mon_corona_mw<= 162.11580657958984 & ratio_mass<= 0.18575547635555267,rule,0.8300911415050257,0.16872427983539096,0.31087594518358297
corona_mw_total<= 14758.5302734375 & corona_mw_total> 8461.2001953125 & core_mv_total<= 1481.25 & ratio_vol<= 0.2626156657934189 & ratio_vol<= 0.2663721889257431,rule,0.6687747993602879,0.25102880658436216,0.2899841345288447
dp_core> 218.5 & corona_mw_total> 3478.3700561523438 & sphere<= 0.5 & ph> 3.125 & mon_core_mv> 1.1306999921798706 & core_mw_total<= 58101.298828125 & ratio_vol<= 0.23150651156902313,rule,0.7792180911090626,0.13991769547325103,0.2703120181481175
ratio_vol<= 0.24217402189970016 & conc> 12.75 & corona_mw_total> 10236.2548828125 & dp_corona<= 88.0,rule,0.8702204945108444,0.07818930041152264,0.23362743623051097
core_mv_total> 329.51625061035156 & ratio_mass<= 0.22791093587875366 & conc> 12.75 & mon_core_mw<= 144.21502685546875,rule,0.6993962278189838,0.09465020576131687,0.20473508373370164
ratio_mass> 0.18633818626403809,rule,-0.42729765272054787,0.6460905349794238,0.2043258363879005
conc<= 12.75 & ratio_vol> 0.07563044503331184 & dp_core> 280.5,rule,-0.5750171334221293,0.12757201646090535,0.19183298695045942
charged> 0.5 & conc<= 22.5,rule,-0.36900473568988607,0.3950617283950617,0.18039311173075323
clogp_core<= 1.162500023841858 & core_mv_total> 239.9625015258789 & ratio_vol<= 0.2280171886086464 & corona_mw_total<= 12760.52978515625,rule,0.3799103805442672,0.3374485596707819,0.17963656869265307
ratio_vol<= 0.24217402189970016 & corona_mw_total> 8461.2001953125 & core_mw_total<= 57830.359375,rule,0.4608066125738216,0.18518518518518517,0.1789992787269404
mon_core_mw<= 151.08499908447266 & mon_core_psa<= 46.575523376464844 & ratio_mass<= 0.22428206354379654 & conc> 11.25 & corona_mw_total> 10164.4453125 & sphere> 0.5,rule,0.8067411553601149,0.04938271604938271,0.17479320760811318
conc> 6.25 & ph> 4.25,rule,-0.44723454129232465,0.823045267489712,0.17067829275526908
ratio_mass> 0.09008793905377388 & ratio_vol<= 0.23596807569265366 & conc<= 11.5,rule,-0.427893811407838,0.17695473251028807,0.1632972824518468
sphere<= 0.5 & worm> 0.5 & clogp_corona<= 0.125 & ratio_vol<= 0.24243927747011185 & clogp_corona> -4.0350000858306885,rule,0.7734122867082509,0.04526748971193416,0.16078485139332274
conc> 6.25 & ph> 3.8499999046325684,rule,-0.39602481310017446,0.8106995884773662,0.15514155960630693
corona_mw_total> 2502.9550170898438 & ratio_mass> 0.18575547635555267,rule,-0.3141162607880616,0.6172839506172839,0.1526761673333546
ratio_vol<= 0.3722815066576004 & sphere<= 0.5 & ph<= 4.0,rule,0.4835794246706409,0.09876543209876543,0.14427438074517943
ph> 4.0 & conc> 6.25,rule,-0.38132181774656504,0.831275720164609,0.14280815031486233
mon_corona_mw<= 162.11580657958984 & core_mv_total> 200.16749572753906 & ratio_mass> 0.044275688007473946,rule,0.2767456410614909,0.37037037037037035,0.13364154435832745
dp_core> 215.5 & ratio_vol> 0.22674328833818436 & clogp_corona> -5.230000019073486,rule,-0.5116121684873312,0.06995884773662552,0.130500829479135
conc> 11.5 & conc> 6.25 & core_mv_total> 240.55500030517578 & conc<= 16.100000381469727,rule,0.5310232155496655,0.06172839506172839,0.12779689072300618
