rule,type,coef,support,importance
sphere<= 0.5 & mon_core_mw> 136.05999755859375 & clogp_core<= 1.1800000071525574 & clogp_corona<= 0.26204000413417816 & mon_core_psa<= 47.144775390625 & ratio_mass> 0.09651407599449158 & worm<= 0.5,rule,0.8280506367059995,0.18106995884773663,0.3188625378037593
ratio_vol<= 0.25945471227169037 & sphere<= 0.5 & mon_core_apol> 22.060723304748535 & corona_mw_total> 2972.0750122070312,rule,0.5146890247731035,0.31275720164609055,0.23861825508642223
corona_MPC<= 0.5 & dp_core> 218.5 & corona_mw_total> 3478.3700561523438 & clogp_core<= 1.1600000262260437 & core_mw_total<= 58230.72265625 & ratio_mass<= 0.25363345444202423,rule,1.3921601729188993,0.205761316872428,0.5627902803098525
core_mw_total<= 58131.0703125 & core_mv_total<= 269.5874938964844 & ph<= 4.0 & conc> 6.25 & ratio_mass<= 0.37611378729343414,rule,0.9288645399169527,0.1111111111111111,0.2919139622128888
dp_core<= 250.5 & ratio_mass<= 0.27740293741226196 & ratio_mass> 0.26998448371887207 & initiator_ACVA> 0.5 & core_mw_total<= 57949.9296875,rule,0.1461385958207179,0.0205761316872428,0.02074589317013352
ratio_vol<= 0.24217402189970016 & initiator_ACVA> 0.5 & conc> 12.75 & clogp_core<= 1.3799999952316284,rule,0.23759348157079574,0.21810699588477367,0.09811671134463132
sphere<= 0.5 & initiator_VA-044<= 0.5 & mon_core_psa<= 46.567935943603516 & salt<= 0.15000000596046448 & ratio_vol<= 0.25525064766407013 & corona_DMAPS<= 0.5 & mon_corona_mv> 0.7838499844074249 & ratio_vol> 0.04581556282937527,rule,1.8448514850820046,0.205761316872428,0.7457938422720798
ratio_vol<= 0.3735172301530838 & ph<= 4.0 & core_mv_total<= 240.44550323486328 & ratio_mass> 0.044275688007473946,rule,0.41381127128145767,0.07407407407407407,0.1083736133535351
ratio_mass<= 0.2503932863473892 & clogp_core<= 1.3499999642372131 & initiator_ACVA> 0.5 & conc> 11.25,rule,0.05839516964335773,0.21810699588477367,0.024114895602095364
conc> 11.5 & dp_core> 218.5 & ph> 4.0 & clogp_corona> -5.230000019073486 & conc<= 16.5 & core_HPMA> 0.9887500107288361,rule,0.2263495675629059,0.037037037037037035,0.04274669858876094
ratio_vol<= 0.3722815066576004 & sphere<= 0.5 & ph<= 4.25,rule,0.40137975973736073,0.10699588477366255,0.12406970110388661
conc> 12.75 & conc<= 16.0 & core_mv_total> 245.97900390625,rule,0.96197139700215,0.06584362139917696,0.23857712752457128
ratio_vol<= 0.37466323375701904 & sphere<= 0.5 & ph<= 3.8499999046325684,rule,0.4136982014248797,0.102880658436214,0.12568273136574373
charged<= 0.5 & core_HPMA> 0.9975000023841858 & corona_mw_total> 3478.3700561523438 & ratio_mass<= 0.250987283885479 & ph> 4.0,rule,0.5056378382048954,0.15637860082304528,0.18365468902640486
core_mv_total<= 1514.5499877929688 & ph<= 3.8499999046325684 & clogp_core> 1.1299999952316284 & ratio_vol<= 0.3735172301530838 & core_mv_total<= 258.92250061035156,rule,0.8850867596104839,0.037037037037037035,0.16715091327690604
mon_core_mw<= 151.08499908447266 & ratio_mass<= 0.22958854585886002 & corona_mw_total> 10236.2548828125 & conc> 11.25,rule,1.9465855950060507,0.09876543209876543,0.58075761076531
core_mw_total<= 57932.169921875 & corona_MPC<= 0.5 & corona_mw_total<= 12760.52978515625 & clogp_core<= 1.3324999809265137 & core_mv_total> 239.9625015258789 & corona_mw_total> 2972.0750122070312,rule,0.2921827411063087,0.2551440329218107,0.12737477142571627
ratio_mass<= 0.2776370942592621 & mon_corona_psa> 64.99999046325684 & clogp_core> 0.8700000047683716 & initiator_ACVA> 0.5 & mon_core_mw<= 144.48985290527344,rule,0.5226010642913459,0.2839506172839506,0.23564768941866104
initiator_ACVA> 0.5 & conc> 13.25 & ratio_mass<= 0.25327782332897186,rule,1.4645676232864604,0.25925925925925924,0.6418147338597987
ratio_vol<= 0.37466323375701904 & sphere<= 0.5 & ph<= 4.25,rule,0.10388151389105223,0.09053497942386832,0.02980845548125187
core_mv_total> 266.4352569580078 & core_mw_total<= 57920.16015625 & ratio_vol<= 0.23803839087486267 & corona_mw_total> 8583.9248046875,rule,0.22508255288638082,0.13991769547325103,0.07808150223264287
sphere<= 0.5 & dp_core<= 1160.0 & mon_core_mw> 143.06749725341797 & ratio_vol<= 0.24243927747011185 & mon_corona_psa> 58.04500198364258,rule,1.4032008333274173,0.20164609053497942,0.5630052767990457
