rule,type,coef,support,importance
core_nO<= 3.0075000524520874 & corona_CrippenLogP<= 0.7397300004959106 & corona_HybRatio> 0.32500000298023224 & salt<= 0.15000000596046448,rule,-3.2304595459115832,0.9012345679012346,0.9637973138046199
sphere> 0.5,rule,-1.7063651835537264,0.5390946502057613,0.8505705991682577
sphere<= 0.5,rule,1.2318164436167796,0.4444444444444444,0.6120945119398125
core_mw_total> 8406.06982421875 & core_nO<= 3.008750081062317 & corona_n5Ring<= 0.5 & salt<= 0.20000000670552254 & corona_nC> 3.5 & corona_HybRatio> 0.32500000298023224,rule,-1.4540849576973776,0.8106995884773662,0.5696335196051953
sphere<= 0.5 & conc> 18.75 & core_nHBAcc_Lipinski<= 3.0075000524520874 & core_mv_total<= 278.4750061035156 & corona_nRing> 0.5,rule,2.584243837722295,0.0205761316872428,0.3668602827464832
ratio_mass<= 0.3408714383840561 & sphere<= 0.5 & dp_corona<= 95.5 & corona_CrippenLogP> -2.9349700212478638 & corona_mw_total<= 14063.41015625 & salt<= 0.15000000596046448 & temp> 47.0,rule,-0.6706708534673734,0.35390946502057613,0.32070240078133333
sphere> 0.5 & core_nO<= 3.0112500190734863,rule,-0.6128941207215297,0.551440329218107,0.30482096237312306
sphere> 0.5 & core_nHBAcc_Lipinski<= 3.0112500190734863,rule,-0.5967342970519414,0.5349794238683128,0.29763611268988577
ratio_vol> 0.1131349727511406 & corona_nBondsS<= 10.5 & sphere<= 0.5 & conc> 18.75,rule,1.51281144095627,0.012345679012345678,0.167049344153957
salt<= 0.20000000670552254 & worm<= 0.5 & core_nHBAcc_Lipinski<= 3.0075000524520874,rule,-0.27018104858394093,0.6008230452674898,0.13231555545653625
core_nO<= 3.0075000524520874 & ratio_vol<= 0.3432571440935135,rule,-0.3431150104312039,0.8806584362139918,0.1112344546173672
salt<= 0.20000000670552254 & core_nO<= 3.0075000524520874 & corona_HybRatio> 0.32500000298023224,rule,-0.383028405424922,0.9465020576131687,0.08619067919912596
salt<= 0.20000000670552254 & core_nHBAcc_Lipinski<= 3.0075000524520874 & core_mw_total> 8379.31982421875,rule,-0.24134663984682891,0.9053497942386831,0.0706496869049125
salt<= 0.20000000670552254 & corona_HybRatio> 0.32500000298023224 & core_nHBAcc_Lipinski<= 3.0075000524520874,rule,-0.10544682407806598,0.9465020576131687,0.023728092376325633
salt<= 0.20000000670552254 & core_nO<= 3.0075000524520874 & clogp_corona<= 0.7300000041723251,rule,-0.08703503963931732,0.9588477366255144,0.017288838536403457
corona_mw_total> 12302.64013671875 & core_nO> 3.0075000524520874,rule,0.12147532859612444,0.00411522633744856,0.0077765951816380335
core_nHBDon_Lipinski<= 0.9925000071525574 & corona_HybRatio> 0.6459999978542328,rule,0.00869123644308975,0.00823045267489712,0.0007852334838876793
core_HybRatio<= 0.5708961188793182 & core_nO> 3.0075000524520874,rule,0.004565232120143261,0.01646090534979424,0.000580878813632557
corona_nHBDon_Lipinski<= 1.0 & core_nO> 3.0075000524520874,rule,0.004127925394072025,0.00823045267489712,0.0003729486891353377
mon_core_apol<= 22.860639572143555 & core_nHBAcc_Lipinski> 3.0075000524520874 & corona_HybRatio> 0.32500000298023224,rule,0.0050538243555451525,0.00411522633744856,0.0003235352115230356
core_nHBAcc_Lipinski> 3.0075000524520874 & core_nS<= 0.014999999664723873,rule,0.002263170661537759,0.012345679012345678,0.00024990634290773323
corona_mv_total> 93.8947525024414 & core_nO> 3.0075000524520874,rule,0.001741240023478525,0.01646090534979424,0.0002215548766129314
sphere<= 0.5 & dp_corona<= 95.5 & corona_CrippenLogP<= 0.7397300004959106 & core_nO> 3.008750081062317 & core_HybRatio<= 0.5983766317367554 & salt<= 0.15000000596046448,rule,0.001467825107960213,0.012345679012345678,0.00016208181335703722
core_nHBAcc_Lipinski> 3.0075000524520874 & corona_CrippenLogP<= -0.4437200129032135,rule,0.001981775171802032,0.00411522633744856,0.00012686908057985084
core_nHBAcc_Lipinski> 3.0075000524520874 & dp_corona<= 54.5,rule,0.0017094336775085367,0.00411522633744856,0.00010943435060826656
dp_core> 313.0 & core_nHBAcc_Lipinski> 3.0075000524520874,rule,0.0014009259447776289,0.00411522633744856,8.968433407750416e-05
