rule,type,coef,support,importance
clogp_corona> 0.5,rule,-2.6711244768260016,0.5720164609053497,1.3216361926867957
corona_nHeavyAtom> -1.0511450171470642,rule,-0.791928900404926,0.6584362139917695,0.37555967639998233
corona_nHBAcc_Lipinski<= 46.56034851074219 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nN> 0.7838499844074249 & corona_nF> 38.402448654174805 & corona_nRotBt<= 0.20000000670552254,rule,-0.8157126625757123,0.7448559670781894,0.3556035293229042
corona_nRing> 84.13500213623047 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nCl<= 1.4000000357627869 & clogp_corona<= 0.5 & corona_nP<= 14063.41015625,rule,-0.7042856398257639,0.4074074074074074,0.3460520314870285
corona_nRotBt<= 0.20000000670552254 & corona_nCl<= 1.1115124821662903,rule,-0.6654591958854132,0.7078189300411523,0.30262761493750673
corona_n6Ring> 18.75 & corona_nRing<= 266.625 & corona_nHeavyAtom> 0.125 & clogp_corona<= 0.5,rule,2.2760613765744386,0.012345679012345678,0.251329775752207
corona_nF> 107.5754508972168 & corona_nRing> 148.125 & clogp_corona<= 0.5,rule,1.809660042441526,0.012345679012345678,0.19982828992910648
corona_nN<= 0.7838499844074249 & corona_n6Ring> 18.75 & corona_nRing<= 266.625 & clogp_corona<= 0.5,rule,1.3479421144763217,0.01646090534979424,0.17151176450537092
corona_nHBAcc_Lipinski<= 46.567935943603516 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nN> 0.7838499844074249 & corona_nRotBt<= 0.20000000670552254,rule,-0.4170199547577727,0.8148148148148148,0.16199045126424752
corona_HybRatio> 8379.31982421875 & corona_nHBAcc_Lipinski<= 46.56034851074219 & corona_nS<= 112.5 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nRotBt<= 0.20000000670552254,rule,-0.40914727629040726,0.8106995884773662,0.1602822460932774
corona_nHBDon_Lipinski> 59.0 & corona_CrippenMR> 47.0 & corona_n5Ring> 0.11499093100428581 & corona_nRotBt<= 0.15000000596046448 & corona_nCl<= 1.4000000357627869 & clogp_corona<= 0.5 & corona_nP<= 14063.41015625,rule,-0.32957984400333656,0.32098765432098764,0.15386634719235523
corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nO> 16.419999599456787 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nN> 0.7838499844074249 & corona_nRotBt<= 0.20000000670552254,rule,-0.3862019839076993,0.823045267489712,0.14738641403142277
clogp_corona<= 0.5,rule,0.26614021267727944,0.4567901234567901,0.1325722664402534
corona_n6Ring> 6.25 & corona_HybRatio> 28888.0400390625,rule,-0.22866666561129095,0.5308641975308642,0.11411529734118436
corona_nHBAcc_Lipinski<= 46.58311080932617 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nRotBt<= 0.20000000670552254,rule,-0.4276929204261861,0.9300411522633745,0.10909490492181889
corona_nHeavyAtom<= 0.7300000041723251 & corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nRotBt<= 0.20000000670552254,rule,-0.4503033163735193,0.9382716049382716,0.10837071154267015
corona_nHBDon_Lipinski<= 225.0 & corona_nN<= 0.7838499844074249 & corona_n6Ring> 18.75 & clogp_corona<= 0.5 & corona_nRotBt<= 0.20000000670552254,rule,0.9667270125030748,0.012345679012345678,0.10674900324158836
corona_nHBAcc_Lipinski<= 46.567935943603516 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nRotBt<= 0.20000000670552254,rule,-0.39751431957825184,0.9218106995884774,0.10672036792259856
corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nO<= 47.970001220703125 & clogp_corona<= 0.5,rule,0.25615985267017455,0.1111111111111111,0.08050327506258993
corona_HybRatio> 8580.31982421875 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nRotBt<= 0.20000000670552254 & corona_n6Ring> 6.25,rule,-0.12879161093080013,0.897119341563786,0.03912727051513757
corona_nN<= 0.7838499844074249 & corona_n6Ring> 18.75 & corona_n5Ring> 0.11866722255945206 & clogp_corona<= 0.5,rule,0.3016073737920395,0.01646090534979424,0.03837643494579926
corona_nHBAcc_Lipinski<= 46.58311080932617 & corona_nO> 16.419999599456787 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nN> 0.7838499844074249 & corona_nRotBt<= 0.20000000670552254,rule,-0.09533018072267048,0.8518518518518519,0.033865739691324566
corona_nCl<= 1.5699999928474426 & corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nRotBt<= 0.20000000670552254,rule,-0.013452893920620367,0.831275720164609,0.005038219183311226
