rule,type,coef,support,importance
mon_corona_apol> 0.5,rule,-3.3467684667929314,0.522633744855967,1.6716688501880705
corona_nHeavyAtom<= 0.7300000041723251 & corona_nCl<= 1.4000000357627869 & corona_nP<= 14063.41015625 & corona_nHBDon_Lipinski> 66.0 & mon_corona_apol<= 0.5 & corona_nRotBt<= 0.15000000596046448,rule,-1.8330565915928907,0.4156378600823045,0.9033882936183769
corona_nHeavyAtom<= 0.7300000041723251 & corona_nCl<= 1.4000000357627869 & corona_nS<= 95.5 & mon_corona_apol<= 0.5 & corona_nRotBt<= 0.15000000596046448 & corona_nF<= 107.5754508972168,rule,-0.9570171677989817,0.4279835390946502,0.47351912535678436
corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nHeavyAtom<= 0.125 & corona_nF> 38.33705139160156 & corona_nRotBt<= 0.20000000670552254,rule,-0.8902072022535233,0.757201646090535,0.38169787959224144
mon_corona_apol<= 0.5,rule,0.6790432969551196,0.4897119341563786,0.33944976800699345
mon_corona_apol<= 0.5 & corona_n3Ring> 0.13420390337705612 & corona_n6Ring> 18.75 & corona_nN<= 0.7838499844074249,rule,2.6844098524226623,0.012345679012345678,0.2964208844191235
corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nHeavyAtom<= 0.6400000005960464 & corona_nRotBt<= 0.15000000596046448,rule,-1.1283244499777236,0.9423868312757202,0.26291144038629527
corona_nHeavyAtom<= 0.7300000041723251 & corona_nHeavyAtom> -0.1361449956893921,rule,-0.5442849592887476,0.6460905349794238,0.2602670031814097
corona_nRing<= 262.94000244140625 & corona_nHeavyAtom> 0.125 & corona_n6Ring> 18.75,rule,1.3243590077141385,0.0205761316872428,0.18800653132487846
corona_HybRatio> 28888.0400390625 & corona_nHBAcc_Lipinski<= 46.575523376464844,rule,-0.24209422473013598,0.51440329218107,0.12099687832642837
corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nN> 0.7838499844074249 & corona_nRotBt<= 0.20000000670552254,rule,-0.3177550968067965,0.8600823045267489,0.11022975784923567
corona_nH> 71.54999923706055 & corona_nHeavyAtom<= 0.7300000041723251 & corona_nHBAcc_Lipinski<= 46.575523376464844 & corona_nRotBt<= 0.15000000596046448,rule,-0.24720171832975305,0.8641975308641975,0.08468604071220359
corona_nHeavyAtom<= 0.7300000041723251 & corona_nRotBt<= 0.20000000670552254 & corona_HybRatio> 8379.31982421875 & corona_nHBAcc_Lipinski<= 46.58311080932617,rule,-0.23169068847998642,0.8847736625514403,0.07397765355497539
corona_nCl<= 1.110099971294403 & corona_nHeavyAtom<= 0.7300000041723251,rule,-0.15257526459960477,0.7489711934156379,0.06615740619674597
corona_nRotBt<= 0.20000000670552254 & corona_nHBAcc_Lipinski<= 46.56034851074219 & corona_nN> 0.7838499844074249,rule,-0.17300804394673105,0.8765432098765432,0.0569128653739075
corona_nCl> 1.1098874807357788 & corona_nHeavyAtom<= -1.0511450171470642,rule,0.321083472036064,0.02880658436213992,0.05370524454474667
mon_corona_apol<= 0.5 & corona_CrippenMR> 47.0 & corona_nP> 14063.41015625 & corona_nCl<= 1.4000000357627869,rule,0.31945004470574684,0.012345679012345678,0.03527466742604428
corona_nHeavyAtom> 0.125 & corona_n6Ring> 18.75 & mon_corona_apol<= 0.5,rule,0.19064519490686735,0.02880658436213992,0.031887803968321984
corona_nF> 107.5754508972168 & mon_corona_apol<= 0.5 & corona_CrippenMR> 47.0 & corona_nCl<= 1.4000000357627869,rule,0.13761002889879886,0.012345679012345678,0.015195327358193816
mon_corona_apol<= 0.5 & corona_n6Ring> 18.75 & corona_n5Ring> 0.12725790590047836 & corona_nN<= 0.7838499844074249,rule,0.10780538514332329,0.01646090534979424,0.013717126003067154
mon_corona_apol<= 0.5 & corona_nP> 14063.41015625 & corona_nCl<= 1.4000000357627869,rule,0.06040385239072672,0.012345679012345678,0.006669981236964352
corona_nF> 107.5754508972168 & mon_corona_apol<= 0.5,rule,0.005084958332713042,0.012345679012345678,0.000561496913318536
