rule,type,coef,support,importance
sphere> 0.5,rule,-3.4354144205406554,0.551440329218107,1.7085925519841945
salt<= 0.15000000596046448 & sphere<= 0.5 & temp> 47.0 & corona_mv_total<= 107.5754508972168 & clogp_core<= 1.4000000357627869,rule,-1.1262324026455752,0.4279835390946502,0.557244530394066
salt<= 0.15000000596046448 & sphere<= 0.5 & temp> 47.0 & corona_mw_total<= 14063.41015625 & clogp_core<= 1.4000000357627869,rule,-1.0130966249835998,0.39094650205761317,0.49435309250376464
clogp_core> 1.110099971294403 & sphere<= 0.5,rule,1.2765264485204393,0.06995884773662552,0.32561336622722803
core_mw_total> 8379.31982421875 & conc> 7.5 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251 & mon_corona_mv> 0.7838499844074249,rule,-0.8051380779201961,0.823045267489712,0.3072651592933576
ratio_vol> 0.1131349727511406 & sphere<= 0.5 & conc> 18.75 & clogp_corona> 0.125,rule,1.6760549463430603,0.0205761316872428,0.2379334266134882
sphere<= 0.5 & mon_corona_mv<= 0.7838499844074249 & vesicle<= 0.5 & conc> 18.75,rule,1.4467346202155014,0.0205761316872428,0.2053790219343921
mon_core_mw<= 156.59500122070312 & sphere<= 0.5 & temp> 47.0 & corona_mv_total<= 107.5754508972168 & worm> 0.5 & corona_mv_total<= 39.6070499420166 & clogp_core<= 1.4000000357627869 & core_mv_total> 66.65700149536133,rule,1.5767207610673237,0.01646090534979424,0.20062149328123718
corona_mv_total> 39.6070499420166 & mon_core_psa<= 46.56034851074219 & salt<= 0.20000000670552254,rule,-0.43315909042959144,0.7613168724279835,0.18464647471111384
mon_core_psa<= 46.575523376464844 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251,rule,-0.7677037912526801,0.9506172839506173,0.16633514637797983
mon_core_psa<= 46.58311080932617 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251,rule,-0.7157930057843581,0.9465020576131687,0.1610707834216504
mon_core_psa<= 46.56034851074219 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251,rule,-0.536561244305095,0.9465020576131687,0.12073929093399616
mon_core_psa<= 46.575523376464844 & mon_corona_mv> 0.7838499844074249 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251,rule,-0.2858219062083952,0.8518518518518519,0.10153731169241136
ratio_vol> 0.12731080129742622 & mon_corona_mv<= 0.7838499844074249 & mon_core_psa<= 46.575523376464844 & conc> 17.5,rule,0.592098803804116,0.012345679012345678,0.06538139134332416
sphere<= 0.5 & mon_corona_psa<= 47.970001220703125 & mon_corona_mw> 103.54499816894531,rule,0.47069200416215246,0.012345679012345678,0.051975274951712926
corona_mw_total> 14063.41015625 & sphere<= 0.5 & clogp_core<= 1.4000000357627869 & clogp_corona<= 0.7300000041723251,rule,0.4127873934383057,0.00823045267489712,0.03729440398692508
ratio_mass<= 0.34790757298469543 & sphere<= 0.5 & corona_mw_total<= 14063.41015625 & clogp_core<= 1.4000000357627869 & clogp_corona<= 0.7300000041723251,rule,-0.0665139769066951,0.36213991769547327,0.03196787930559907
corona_mv_total> 107.5754508972168 & sphere<= 0.5,rule,0.18740223922717986,0.00823045267489712,0.016931366918881918
sphere<= 0.5 & corona_mw_total> 14338.47998046875 & clogp_corona<= 0.7300000041723251,rule,0.02314194448382898,0.012345679012345678,0.0025554054813515005
corona_mv_total> 107.5754508972168 & sphere<= 0.5 & clogp_core<= 1.4000000357627869,rule,0.002660947978434254,0.01646090534979424,0.00033857825060652893
corona_mv_total> 117.32430267333984 & sphere<= 0.5 & clogp_corona<= 0.7300000041723251,rule,0.00011168176723047693,0.01646090534979424,1.4210355737878895e-05
