rule,type,coef,support,importance
ratio_mass<= 0.16069836169481277 & mon_corona_apol<= 27.579115867614746 & conc> 6.25 & corona_mw_total<= 15904.21533203125 & mon_core_mw<= 145.30477905273438,rule,-2.7076540413150356,0.09917355371900827,0.8093039780964784
dp_core> 97.0 & clogp_corona<= 0.25 & ratio_mass<= 0.3262699395418167 & dp_corona<= 62.5,rule,-1.4708442006242355,0.48760330578512395,0.7351960291291548
corona_mv_total> 59.33734893798828 & core_mv_total> 153.19979858398438 & clogp_core<= 1.110099971294403 & clogp_core<= 1.1184750199317932 & mon_core_mw> 136.05999755859375 & dp_corona> 31.5 & dp_corona> 36.0,rule,1.3083478695726223,0.32231404958677684,0.6114727264614002
corona_mv_total<= 161.61068725585938 & ratio_mass> 0.22475843876600266,rule,1.204578758790604,0.49173553719008267,0.6022070994250553
core_mv_total<= 233.94070434570312 & mon_core_mw> 143.93306732177734 & ratio_vol<= 0.6271736919879913,rule,1.1830294940574657,0.36363636363636365,0.569091242714658
dp_core<= 310.5 & ratio_vol<= 0.290206179022789 & dp_corona<= 28.5,rule,2.03340237317718,0.07024793388429752,0.5196652539663925
mon_core_psa<= 46.575523376464844 & core_mv_total> 296.8424987792969 & mon_core_psa> 30.91499900817871 & conc<= 16.100000381469727 & ratio_vol<= 0.310355082154274 & temp> 53.0,rule,1.5227755173800666,0.1322314049586777,0.5158282893951139
mon_core_psa> 37.18000030517578 & dp_corona<= 64.5 & clogp_corona> -3.005000114440918 & conc<= 21.25 & core_mv_total> 152.34960174560547 & clogp_corona<= 0.26204000413417816,rule,-1.0951530985065254,0.28512396694214875,0.494432565080612
ratio_mass<= 0.3262699395418167 & dp_corona> 28.5 & core_mw_total<= 25933.9501953125 & core_mv_total<= 241.14749908447266 & dp_corona<= 64.0 & dp_core<= 250.5,rule,-1.1630160579063569,0.21074380165289255,0.47432074210608244
corona_mv_total<= 121.87800216674805 & conc> 16.100000381469727 & ratio_mass<= 0.2886810600757599 & core_mv_total> 181.89749908447266 & clogp_core<= 1.3700000047683716,rule,-1.0360984899883232,0.2190082644628099,0.4285036362529104
mon_core_mw> 144.07749938964844 & dp_core> 95.5 & dp_corona> 28.5 & dp_corona<= 74.0 & ratio_mass<= 0.3258424550294876 & dp_core<= 204.0 & core_mw_total<= 43368.080078125 & dp_corona> 31.5 & dp_corona> 36.0 & charged<= 0.5,rule,-1.1903142210908153,0.1487603305785124,0.4235757776882114
clogp_core<= 1.3499999642372131 & dp_core> 103.0 & conc> 14.25 & corona_mw_total<= 12760.52978515625,rule,-0.8452149818062867,0.359504132231405,0.4055807144587323
core_mw_total<= 72148.6015625 & conc> 14.5 & dp_corona> 28.5 & ratio_vol<= 0.2732319235801697 & mon_core_psa> 40.849998474121094 & core_mv_total> 141.36284637451172,rule,-0.838131716957797,0.2768595041322314,0.3750190552846062
ratio_mass<= 0.42596742510795593 & charged<= 0.5 & mon_core_mw<= 151.4948501586914 & corona_mv_total<= 92.65564727783203,rule,-0.8493402209550478,0.2644628099173554,0.37459874063249854
conc<= 21.25 & ratio_mass<= 0.6375802457332611 & mon_core_mw<= 145.30955505371094 & charged<= 0.5 & conc> 6.25,rule,-0.8069696259079967,0.30578512396694213,0.37180251491621924
mon_core_psa<= 47.144775390625 & mon_corona_apol<= 27.579115867614746 & clogp_core<= 1.1800000071525574 & dp_corona<= 62.5,rule,-0.7267211741849982,0.34710743801652894,0.34595581494316646
