rule,type,coef,support,importance
sphere> 0.5,rule,-3.2389017143056344,0.5165289256198347,1.6185657298845901
dp_corona<= 95.5 & clogp_corona<= 0.7300000041723251 & salt<= 0.15000000596046448 & corona_mw_total<= 14063.41015625 & dp_core> 66.0 & clogp_core<= 1.4000000357627869 & sphere<= 0.5,rule,-1.5366048170855948,0.371900826446281,0.742659726018649
mon_core_psa> 37.18000030517578 & salt<= 0.15000000596046448 & corona_mw_total<= 14063.41015625 & temp> 47.0 & clogp_core<= 1.4000000357627869 & sphere<= 0.5,rule,-1.3795979891769805,0.4090909090909091,0.6783015394779023
mon_core_psa<= 46.575523376464844 & salt<= 0.20000000670552254 & mon_corona_mv> 0.7838499844074249 & clogp_corona<= 0.7300000041723251,rule,-0.8093028867101479,0.8305785123966942,0.30358875459741863
mon_core_psa<= 46.56034851074219 & core_mv_total> 263.07000732421875,rule,-0.5386200154029274,0.47520661157024796,0.26897870767591897
mon_core_psa<= 46.575523376464844 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251,rule,-0.8931492467914132,0.9338842975206612,0.22193350970472467
clogp_corona<= 0.7300000041723251 & salt<= 0.20000000670552254 & mon_corona_mv> 0.7838499844074249 & mon_core_psa<= 46.58311080932617,rule,-0.4574146143727458,0.8305785123966942,0.17158709723200985
core_mv_total<= 262.94000244140625 & conc> 17.5 & sphere<= 0.5 & clogp_corona> 0.125,rule,1.5349426204176073,0.012396694214876033,0.16983858273107758
sphere<= 0.5 & clogp_core> 1.110099971294403,rule,0.5603153906952792,0.08264462809917356,0.15427965920811743
sphere<= 0.5,rule,0.3078522988369391,0.512396694214876,0.15387883201167257
clogp_corona<= 0.7300000041723251 & salt<= 0.20000000670552254 & mon_core_psa<= 46.58311080932617,rule,-0.5782496498499008,0.9297520661157025,0.14778002382071703
mon_core_psa<= 46.575523376464844 & ratio_vol> 0.12177855148911476 & conc> 18.75 & salt<= 0.20000000670552254 & mon_corona_mv<= 0.7838499844074249 & sphere<= 0.5,rule,1.2693223292880464,0.012396694214876033,0.14044818520743127
clogp_corona> -0.1361449956893921,rule,-0.2426342948814452,0.6983471074380165,0.11136317444100867
salt<= 0.20000000670552254 & clogp_core<= 1.5699999928474426 & mon_core_psa<= 46.58311080932617,rule,-0.22640114631708835,0.859504132231405,0.0786745706406841
mon_corona_psa<= 64.99999046325684 & sphere<= 0.5,rule,0.19761493938310842,0.12396694214876033,0.06512278504252719
ratio_mass> 0.13430150598287582 & mon_corona_mv<= 0.7838499844074249 & conc> 17.5 & sphere<= 0.5,rule,0.5416726578744385,0.012396694214876033,0.05993508506040517
conc> 18.75 & clogp_corona> 0.125 & salt<= 0.20000000670552254 & core_mw_total<= 33858.7998046875 & sphere<= 0.5,rule,0.28033466937874824,0.02066115702479339,0.03987682937670927
clogp_corona<= 0.7300000041723251 & clogp_corona> -1.0511450171470642,rule,-0.085993354105878,0.731404958677686,0.038114728815278325
mon_core_psa<= 46.575523376464844 & clogp_corona<= 0.7300000041723251 & conc> 18.75 & dp_core<= 225.0 & mon_corona_mv<= 0.7838499844074249 & sphere<= 0.5,rule,0.4109372908692984,0.008264462809917356,0.03720324362465727
clogp_corona<= -0.1361449956893921,rule,0.04195785961861029,0.30165289256198347,0.019257625729131717
corona_mv_total> 107.5754508972168 & sphere<= 0.5,rule,0.13707109618050803,0.01652892561983471,0.017476279995593844
corona_mw_total> 14063.41015625 & sphere<= 0.5,rule,0.10105683313581022,0.01652892561983471,0.012884536277609273
clogp_corona<= 0.7300000041723251 & sphere<= 0.5 & corona_mv_total> 117.32430267333984,rule,0.0987650897475204,0.012396694214876033,0.010928175843773794
clogp_core<= 1.4000000357627869 & corona_mv_total> 107.5754508972168 & sphere<= 0.5,rule,0.05500348742730381,0.01652892561983471,0.007012830376345826
clogp_corona<= 0.7300000041723251 & sphere<= 0.5 & mon_corona_mv> 0.7838499844074249 & corona_mv_total> 117.32430267333984,rule,0.06040514405087546,0.012396694214876033,0.006683718282886757
