rule,type,coef,support,importance
ratio_mass> 0.24669822305440903 & core_BzMA<= 0.5 & clogp_core> 0.8700000047683716,rule,1.8008879348418008,0.2066115702479339,0.7291333098011523
clogp_corona<= 0.7300000041723251 & ratio_vol> 0.20237330347299576 & mon_core_apol> 21.114044189453125 & ratio_vol<= 0.3403070867061615 & corona_mw_total<= 12760.52978515625 & core_mv_total> 133.6803970336914,rule,1.5809057428093285,0.28512396694214875,0.713736994977081
mon_core_psa<= 46.77286148071289 & dp_corona<= 70.5 & ratio_vol<= 0.2374986931681633 & core_BzMA<= 0.5 & mon_corona_apol<= 23.610912322998047 & dp_core> 151.5,rule,-1.969477786862444,0.1446280991735537,0.692715516634791
clogp_core<= 1.1299999952316284 & core_mv_total<= 275.37510681152344 & corona_mv_total> 25.373250007629395 & corona_mw_total<= 5985.85498046875,rule,1.948992073050601,0.09917355371900827,0.5825437865881447
mon_core_psa> 37.18000030517578 & core_BzMA<= 0.5 & temp> 47.0 & mon_core_mv> 1.0602500438690186 & ratio_vol> 0.21378567814826965,rule,1.4715353779965614,0.19421487603305784,0.5821321381732929
mon_core_psa<= 46.77286148071289 & dp_core> 96.5 & dp_corona<= 77.5 & mon_core_psa<= 47.144775390625 & mon_core_mw> 144.07749938964844,rule,-1.1464239665579987,0.6115702479338843,0.5587591848962161
mon_core_psa<= 46.78045082092285 & corona_mv_total<= 95.44729995727539 & ratio_vol> 0.3246205300092697 & ratio_vol<= 0.42269572615623474,rule,1.8157650751574508,0.09917355371900827,0.5427229166617888
ratio_vol> 0.2153598666191101 & ratio_vol> 0.21266014873981476,rule,-0.9650725586688523,0.47107438016528924,0.481728134609782
ratio_mass<= 0.2572299391031265 & ratio_mass<= 0.4180891811847687 & ratio_mass> 0.25202256441116333,rule,-2.3595999277872046,0.0371900826446281,0.4465007816001889
mon_corona_psa> 64.99999046325684 & conc> 11.25 & corona_mw_total> 5957.905029296875 & corona_mw_total<= 12760.52978515625 & ratio_vol> 0.21118800342082977 & clogp_corona> -5.230000019073486,rule,1.0728729478648806,0.2190082644628099,0.44371260439020777
mon_core_psa<= 46.78045082092285 & clogp_corona<= 0.26204000413417816 & conc<= 11.25,rule,-0.8999565988491941,0.36363636363636365,0.4329202456920882
ratio_mass> 0.1123320572078228 & mon_corona_apol<= 58.23068809509277 & conc> 11.25 & corona_mv_total<= 57.09070014953613 & temp> 47.0 & clogp_core<= 1.1800000071525574,rule,1.1411050803030554,0.15289256198347106,0.41066535452728237
ratio_vol<= 0.21378567814826965 & mon_corona_apol<= 58.23068809509277 & conc> 11.25 & dp_corona> 26.5 & dp_corona<= 105.0,rule,-0.9876230424034161,0.2190082644628099,0.40845544029486575
clogp_core<= 1.3299999833106995 & core_mw_total<= 43151.2109375 & ratio_mass> 0.1448010578751564 & core_mv_total> 125.76300048828125,rule,0.81541940815634,0.4132231404958678,0.40152246630402066
ratio_vol> 0.21378567814826965 & corona_mw_total> 7603.324951171875 & conc> 11.25 & mon_corona_apol<= 58.23068809509277,rule,1.01873046952402,0.1859504132231405,0.39635404959452775
dp_corona> 27.0 & ratio_vol> 0.21352563798427582 & core_BzMA> 0.5 & corona_mw_total<= 12760.52978515625 & ratio_mass<= 0.4074752926826477 & clogp_core<= 1.1800000071525574,rule,1.1890557772930324,0.11983471074380166,0.38616744794956137
mon_corona_psa> 64.99999046325684 & ratio_mass> 0.23455464094877243 & corona_mw_total> 6274.89501953125 & clogp_core<= 1.3700000047683716 & ratio_mass<= 0.33019132912158966 & corona_mw_total<= 12760.52978515625 & mon_core_mv> 1.1091200113296509,rule,0.8953115349704348,0.2024793388429752,0.35977874987105646
mon_corona_apol<= 23.929574966430664 & core_mv_total<= 327.8657989501953 & clogp_core<= 1.1225000023841858 & ratio_vol<= 0.3408524692058563,rule,0.787774396535823,0.2892561983471074,0.3571903679912998
corona_mv_total> 76.41344833374023 & conc<= 23.75 & clogp_core> 0.6649999916553497,rule,-0.7028266815579873,0.2809917355371901,0.3159089680467658
dp_corona> 25.5 & ratio_vol<= 0.2188851609826088 & ratio_vol> 0.12835952639579773 & ratio_mass<= 0.4134369045495987 & dp_corona> 105.0 & core_mv_total> 195.5250015258789,rule,1.6033520645688635,0.0371900826446281,0.3033980216644742
dp_core<= 177.5 & conc> 11.25 & clogp_core<= 1.3700000047683716 & mon_core_mw> 144.07749938964844 & corona_mw_total> 4599.625,rule,-0.9096754065230455,0.11570247933884298,0.2909758797249548
dp_corona> 31.5 & mon_core_psa<= 47.144775390625 & corona_mw_total> 5985.85498046875,rule,-0.6028649896282374,0.6446280991735537,0.28854677353818853
conc<= 21.25 & conc> 11.25 & mon_corona_apol> 42.472049713134766 & core_mv_total> 287.22509765625,rule,1.6115999622783268,0.028925619834710745,0.2701001551874371
mon_core_psa<= 46.78045082092285 & core_mw_total> 21611.625 & core_mv_total> 131.90919494628906,rule,-0.5887630570757112,0.7066115702479339,0.2680725930235768
conc<= 11.5 & mon_core_psa<= 47.144775390625 & dp_core> 64.0 & clogp_corona<= 0.25,rule,-0.5352727187200381,0.3677685950413223,0.25810740352741507
core_BzMA> 0.5 & core_mv_total<= 199.22949981689453 & dp_corona> 61.5 & core_mv_total<= 214.76239013671875,rule,-1.1960301417194918,0.0371900826446281,0.22632158392882354
clogp_corona<= 0.7300000041723251 & mon_core_psa<= 46.78045082092285 & clogp_corona<= 0.25 & mon_core_mw> 144.07749938964844,rule,-0.6496104816606901,0.8636363636363636,0.22292961745248618
dp_core<= 271.5 & core_BzMA> 0.5 & core_mv_total<= 354.31500244140625,rule,-0.4641698750682482,0.34710743801652894,0.22096819675220425
core_mv_total<= 147.30750274658203 & corona_mw_total> 5957.905029296875,rule,-0.6207545412495592,0.14049586776859505,0.215712675490008
corona_mv_total> 59.95919990539551 & clogp_core> 0.8950000107288361 & ratio_mass<= 0.325008288025856 & mon_core_psa<= 46.78045082092285 & ratio_vol> 0.21378567814826965,rule,0.5368848747100903,0.19421487603305784,0.21238900861044446
ratio_mass<= 0.1996261402964592 & ratio_vol> 0.17361659556627274,rule,0.7991563456761539,0.0743801652892562,0.20968948257701867
conc<= 22.5 & ratio_vol> 0.30759643018245697 & dp_core> 69.5,rule,-0.6351087071090747,0.12396694214876033,0.20929615919127711
ratio_vol<= 0.18629887700080872 & conc> 14.5 & dp_corona<= 26.5,rule,1.148817362993777,0.03305785123966942,0.20539437562400278
ratio_mass> 0.2571306973695755 & mon_corona_psa> 64.99999046325684 & core_BzMA<= 0.5,rule,0.5674847212559887,0.1487603305785124,0.2019406118763358
ratio_vol<= 0.18629887700080872 & conc> 14.5 & dp_corona> 26.5,rule,-0.46923844558494904,0.19834710743801653,0.18711116600432798
clogp_corona> -4.870000123977661 & core_mv_total> 214.76239013671875,rule,-0.3645389204118414,0.47107438016528924,0.1819641979716855
ratio_vol<= 0.34207870066165924 & corona_mw_total<= 5985.85498046875 & conc<= 25.0 & core_mv_total<= 275.37510681152344 & clogp_core> 1.1299999952316284,rule,-1.0509746700866365,0.028925619834710745,0.17614074716603975
ratio_vol> 0.20222675055265427 & clogp_core<= 1.4000000357627869 & conc> 11.25 & ratio_mass<= 0.3659862279891968 & clogp_corona<= 0.125 & corona_mw_total<= 12760.52978515625,rule,0.3953223647916702,0.256198347107438,0.17257111929433616
core_BzMA> 0.5 & conc<= 14.5,rule,-0.36099674159687956,0.2396694214876033,0.15410290447946418
conc<= 24.0 & corona_mv_total> 76.41344833374023,rule,-0.31752989995049785,0.2396694214876033,0.1355477050152642
ratio_mass> 0.1996261402964592 & ratio_vol> 0.17361659556627274,rule,-0.27161752163026875,0.5619834710743802,0.1347611793522561
core_mv_total> 131.0955047607422 & dp_core<= 162.5 & ratio_vol<= 0.28127048909664154 & dp_core> 146.5 & mon_core_psa<= 46.78045082092285 & ratio_vol<= 0.3246205300092697,rule,-0.5312471307756578,0.06198347107438017,0.12809724505512096
core_BzMA> 0.5 & ratio_mass> 0.3258424550294876,rule,-0.3223384132483583,0.16115702479338842,0.11851600952293063
mon_corona_psa<= 64.99999046325684 & corona_mw_total> 5957.905029296875,rule,-0.36258807928722686,0.11983471074380166,0.1177570606099288
ratio_vol> 0.1482042819261551 & corona_mw_total<= 5113.050048828125 & conc> 11.25 & conc> 17.25,rule,0.5515477309573842,0.0371900826446281,0.10436790155067836
mon_core_psa<= 46.78045082092285 & conc> 11.25 & conc<= 18.75 & ratio_mass<= 0.12798313051462173,rule,0.840473003339975,0.012396694214876033,0.09299679467637523
core_BzMA> 0.5 & mon_core_mw> 144.07749938964844,rule,-0.18166479419931794,0.45454545454545453,0.09045627789772735
