rule,type,coef,support,importance
dp_corona> 27.0 & ratio_mass<= 0.27740293741226196 & mon_corona_psa> 64.99999046325684 & ratio_vol> 0.05362701416015625 & mon_core_mw<= 144.3500518798828,rule,2.071709951586777,0.2768595041322314,0.926979248187683
corona_mv_total<= 107.5754508972168 & mon_core_mv> 1.1306999921798706 & corona_mv_total> 25.373250007629395 & core_DAAM<= 0.5 & core_BzMA<= 0.5,rule,1.9571632728475035,0.19008264462809918,0.7679247110011275
clogp_corona<= 0.26204000413417816 & corona_mw_total> 2972.0750122070312 & core_BzMA<= 0.5 & clogp_core> 0.6649999916553497 & core_mw_total<= 167132.796875 & ratio_vol<= 0.36136870086193085,rule,1.282841434757386,0.4297520661157025,0.635058635206364
mon_corona_psa> 64.99999046325684 & ratio_vol<= 0.24287910759449005 & mon_corona_apol<= 58.23068809509277 & clogp_corona> -5.230000019073486 & core_mv_total<= 1508.25 & clogp_core<= 1.1800000071525574,rule,1.4521913275756406,0.24793388429752067,0.6270754407055642
core_mv_total<= 1315.3499755859375 & corona_mv_total<= 66.25379943847656 & ph> 4.0 & conc> 6.25,rule,-1.2846772976012624,0.30578512396694213,0.5919011506368375
conc> 7.5 & mon_core_mw> 136.05999755859375 & mon_core_psa<= 47.144775390625 & core_BzMA> 0.5,rule,-1.0060165052580337,0.5371900826446281,0.5016148991167417
dp_corona> 39.0 & ratio_mass> 0.1853875368833542,rule,-0.9545102877001758,0.45454545454545453,0.47527892358557466
corona_mw_total> 5806.375,rule,-0.9119875621515171,0.743801652892562,0.3981123467829577
ratio_mass<= 0.25327782332897186 & conc> 12.75 & temp> 65.0 & clogp_core<= 1.1800000071525574,rule,0.8418529128575571,0.2644628099173554,0.37129648776038837
ratio_mass<= 0.37611378729343414 & core_BzMA<= 0.5 & ph<= 4.25,rule,1.2630425229825917,0.08677685950413223,0.35555631005678145
core_mw_total<= 57902.3984375 & ratio_mass> 0.22791093587875366 & corona_mw_total> 10526.5048828125,rule,-0.9798247290900577,0.1446280991735537,0.3446293215139315
corona_mw_total> 5806.375 & corona_mw_total> 2502.9550170898438,rule,-0.8408204085761306,0.8057851239669421,0.33262440684950245
mon_corona_psa<= 67.27016067504883 & conc> 6.25,rule,-0.7331878525631002,0.7727272727272727,0.30725718192057294
ph> 3.8499999046325684 & conc> 6.25,rule,-0.816465682838887,0.8347107438016529,0.30326916106626456
ratio_mass<= 0.2776370942592621 & mon_core_mv> 1.1306999921798706 & core_BzMA<= 0.5 & mon_core_psa<= 46.56034851074219 & clogp_corona<= 0.125,rule,0.61047040967748,0.2768595041322314,0.2731528131967627
core_mv_total> 292.4524383544922 & ratio_mass<= 0.24850651621818542 & dp_corona> 35.0 & core_mw_total<= 43889.85546875,rule,0.7403718552177571,0.13636363636363635,0.2540765876103778
core_mv_total> 241.14749908447266 & mon_core_mw> 143.06749725341797 & core_BzMA<= 0.5 & ratio_mass<= 0.2515832781791687 & core_mw_total<= 57992.19921875,rule,0.577907976948052,0.2190082644628099,0.2390078471638292
dp_core> 218.5 & core_mw_total<= 57902.3984375 & ph> 4.0 & dp_corona> 71.5 & ratio_mass<= 0.2526310235261917,rule,0.9351026901384892,0.07024793388429752,0.23897895633720326
core_mw_total> 28815.5 & mon_corona_psa> 60.35000038146973 & ratio_vol> 0.22555115818977356 & ratio_mass<= 0.256848081946373 & ratio_vol<= 0.24641400575637817 & clogp_corona> -5.230000019073486 & clogp_core<= 1.1800000071525574,rule,-1.4225216927477864,0.024793388429752067,0.2211949250535668
mon_core_mw<= 144.21502685546875 & conc<= 13.75 & core_mv_total> 261.2925109863281,rule,-0.6587273916786727,0.128099173553719,0.2201468276297454
core_mv_total> 269.5874938964844 & conc> 11.25 & ratio_vol> 0.08537353202700615,rule,0.5169974249874553,0.23140495867768596,0.2180336371809942
clogp_core> 1.1175000071525574 & ratio_mass> 0.24669822305440903 & core_BzMA<= 0.5 & ratio_mass<= 0.37611378729343414,rule,1.0905256681784985,0.04132231404958678,0.21705236320614965
temp> 60.0 & ratio_vol<= 0.156751848757267 & conc> 17.25 & conc> 6.25,rule,0.689439093846747,0.10743801652892562,0.21349813691358052
dp_core> 258.0 & conc<= 16.0 & charged<= 0.5 & core_mw_total<= 57932.169921875,rule,0.8992504417990642,0.05371900826446281,0.2027471281129295
mon_corona_psa> 64.99999046325684 & clogp_corona> -5.230000019073486 & ratio_mass<= 0.2762204259634018 & clogp_core<= 1.1800000071525574,rule,0.4284532809086611,0.30578512396694213,0.19740520863682107
conc<= 21.5,rule,-0.5857658771845304,0.871900826446281,0.19576307471791532
ratio_vol<= 0.24269799888134003 & corona_mw_total> 2972.0750122070312 & mon_corona_apol<= 23.610912322998047 & mon_core_apol> 21.89402484893799 & clogp_corona> -0.019999995827674866,rule,0.46653276906785773,0.21487603305785125,0.19162195210618746
ph<= 3.8499999046325684 & ratio_mass<= 0.36692018806934357 & core_mw_total<= 32778.19921875,rule,0.7082105411340015,0.07024793388429752,0.18099340080194187
core_mw_total<= 57932.169921875 & ratio_mass<= 0.2709534019231796 & corona_mw_total> 3982.2750244140625,rule,0.3418275852299854,0.5371900826446281,0.17044035439207753
ratio_mass<= 0.24669822305440903 & core_mw_total<= 57830.359375,rule,0.3244036593708682,0.3884297520661157,0.15811212045020145
ratio_mass<= 0.2534535080194473 & mon_core_psa<= 46.939849853515625 & core_BzMA> 0.5 & clogp_corona> -4.870000123977661 & mon_core_mw> 142.81749725341797 & conc> 6.25 & clogp_corona> -5.230000019073486,rule,-0.3650052529789454,0.24380165289256198,0.15672392491076687
ratio_vol<= 0.2661999613046646 & conc> 12.75 & ratio_vol<= 0.23347940295934677 & clogp_core<= 1.1800000071525574,rule,0.3403574984741083,0.2190082644628099,0.14076309070167978
