rule,type,coef,support,importance
corona_mv_total> 76.41344833374023 & conc<= 23.75,rule,-1.5907489535514376,0.35269709543568467,0.7600748556135589
ratio_vol> 0.21136220544576645 & corona_mw_total> 6241.409912109375 & corona_mv_total> 71.51275253295898 & ratio_vol<= 0.39029955863952637 & conc> 11.5 & core_BzMA> 0.5 & dp_corona<= 88.0,rule,2.153009007202503,0.0954356846473029,0.6325880287348984
mon_corona_psa> 47.970001220703125 & corona_mw_total<= 12760.52978515625 & mon_core_mv> 1.0602500438690186,rule,1.0906581720990702,0.5850622406639004,0.5373795948351798
ratio_vol<= 0.2077510803937912 & dp_core> 139.0 & dp_corona<= 106.0,rule,-1.0990491664689865,0.3900414937759336,0.5360714432837744
dp_corona<= 69.5 & core_mw_total> 21459.9296875 & core_mv_total> 121.50825119018555 & clogp_corona> -5.230000019073486,rule,-1.0705655027941805,0.42738589211618255,0.5296077818456769
clogp_corona> -5.230000019073486 & mon_core_psa<= 46.78045082092285 & ratio_vol<= 0.21136220544576645 & core_mw_total> 26242.3349609375,rule,-1.027827943499561,0.4149377593360996,0.506422431856036
mon_core_psa<= 46.73492431640625 & dp_core> 165.0 & dp_corona<= 77.5 & corona_mw_total<= 12760.52978515625 & mon_corona_mv<= 1.9341000318527222,rule,-1.1479906528641506,0.2572614107883817,0.5018150355391797
core_BzMA<= 0.5 & core_mv_total> 78.80249977111816 & core_mw_total<= 34072.083984375 & corona_mv_total<= 37.27190017700195,rule,-2.7278613250397696,0.03319502074688797,0.48868408994511875
ratio_mass> 0.13556132465600967 & ratio_vol<= 0.42269572615623474 & corona_mw_total<= 6274.89501953125,rule,1.3497645329678154,0.15352697095435686,0.48658298175448367
ratio_mass<= 0.33380846679210663 & ratio_mass> 0.21588078141212463 & mon_core_apol> 21.14738368988037 & dp_corona> 30.0 & dp_corona<= 95.0,rule,1.0471856351545263,0.26141078838174275,0.4601367380620911
ratio_mass> 0.3092688173055649 & core_BzMA> 0.5 & core_mv_total<= 264.7174987792969,rule,-1.2567473614524338,0.15767634854771784,0.45800556695466477
core_mv_total<= 327.8657989501953 & dp_core<= 271.5 & core_BzMA> 0.5 & ratio_vol<= 0.33559589087963104 & mon_core_mw> 144.07749938964844 & dp_core> 97.0,rule,-1.123379216699013,0.16182572614107885,0.41373030230876245
core_mw_total> 22332.0 & ratio_mass> 0.1988619714975357 & clogp_core<= 1.3700000047683716 & corona_mv_total> 59.33734893798828 & conc> 11.25,rule,1.137878010363691,0.13692946058091288,0.3911715847944746
ratio_vol> 0.2077510803937912 & ph> 3.0 & core_BzMA> 0.5 & ratio_vol> 0.21528394520282745,rule,-0.8743314003179634,0.24481327800829875,0.3759419008189481
core_mv_total> 305.72999572753906 & clogp_corona<= -5.230000019073486 & conc<= 21.5 & conc> 11.25,rule,2.92465058961109,0.016597510373443983,0.3736466682703929
corona_mv_total<= 66.25379943847656 & mon_core_psa<= 47.144775390625 & dp_core> 146.0 & dp_core<= 173.5,rule,-1.7145544941254747,0.04979253112033195,0.37294313272751006
ratio_mass<= 0.1996176615357399 & corona_mv_total<= 55.807579040527344 & ratio_mass> 0.13525748997926712,rule,0.9962917657334537,0.12448132780082988,0.32890566471111826
charged<= 0.5 & ratio_vol> 0.17266446352005005,rule,0.6777922120043763,0.3651452282157676,0.32633720026937424
dp_core<= 299.5 & clogp_core<= 1.1399999856948853 & ratio_mass<= 0.41608381271362305,rule,0.6436748332199226,0.5145228215767634,0.321701628995144
ratio_mass<= 0.41409866511821747 & core_mw_total<= 39910.16015625 & mon_core_psa> 37.18000030517578 & ratio_mass> 0.2571306973695755,rule,0.6636991161316641,0.3153526970954357,0.3083919016259292
