rule,type,coef,support,importance
mon_core_mv> 1.1306999921798706 & dp_core<= 1160.0 & ratio_mass<= 0.27740293741226196 & mon_corona_psa> 64.99999046325684 & mon_core_mw<= 144.21502685546875,rule,2.682505866815036,0.34439834024896265,1.2746508137235737
core_mv_total<= 1078.3499755859375 & corona_mv_total> 25.373250007629395 & mon_core_mv> 1.1009750366210938 & worm<= 0.5 & sphere<= 0.5,rule,1.8481778092224466,0.17427385892116182,0.7010966504923237
conc> 11.25 & ratio_mass<= 0.22923817485570908 & corona_mw_total> 10526.5048828125,rule,2.1121172478656884,0.1037344398340249,0.6440177843405526
conc> 7.5 & mon_core_apol> 20.513930320739746 & sphere<= 0.5 & clogp_corona<= 0.125 & ratio_vol<= 0.25289787352085114 & clogp_corona> -5.230000019073486 & dp_core> 99.5,rule,1.4891381583901309,0.24481327800829875,0.6402943204872014
core_mv_total> 247.16400146484375 & corona_mw_total> 3269.2850952148438 & ratio_mass<= 0.25279106944799423 & core_mw_total<= 57932.169921875,rule,1.20811959433034,0.3236514522821577,0.5652414334880228
conc<= 21.5 & mon_corona_mv> 1.2652412056922913,rule,-1.1638529388923793,0.3112033195020747,0.5388473367753999
ratio_vol> 0.07563044503331184 & mon_core_psa<= 46.575523376464844 & sphere> 0.5,rule,-0.9609414642217644,0.5020746887966805,0.4804665958804434
temp> 53.0 & ratio_vol> 0.04581556282937527 & corona_mv_total<= 79.01139831542969 & ratio_vol<= 0.24350963532924652 & sphere<= 0.5,rule,1.1325430817326507,0.2033195020746888,0.4558126179336458
mon_core_psa<= 47.144775390625 & ph> 4.0,rule,-0.9545385763313855,0.8091286307053942,0.3751221107415247
mon_core_mw> 144.07749938964844 & clogp_corona> -0.019999995827674866 & worm> 0.5 & core_mv_total<= 303.3946838378906 & sphere<= 0.5,rule,-1.1071142496871251,0.12448132780082988,0.3654914762207472
corona_mw_total> 8461.2001953125 & conc<= 12.75 & corona_mv_total> 54.56194877624512 & ratio_mass<= 0.25099053978919983 & mon_core_psa<= 47.144775390625 & corona_mw_total> 8723.81494140625,rule,-1.1393228361229442,0.0912863070539419,0.3281430100445581
core_mv_total> 266.4352569580078 & corona_mw_total<= 12760.52978515625 & corona_mw_total> 2972.0750122070312 & clogp_corona> -5.230000019073486 & mon_core_psa> 46.349998474121094,rule,0.7548194530028607,0.24066390041493776,0.32267519652143956
conc> 8.75 & sphere> 0.5,rule,-0.6343722147998718,0.5145228215767634,0.31705228223619114
ph<= 3.8499999046325684 & sphere<= 0.5 & ratio_vol<= 0.3722815066576004,rule,1.075327648444285,0.0954356846473029,0.31594823574721986
clogp_corona> -5.230000019073486 & mon_corona_psa> 64.99999046325684 & ratio_vol<= 0.24243927747011185 & mon_core_mv> 1.1777499914169312,rule,0.6948590567128188,0.2697095435684647,0.3083846069649411
conc> 8.75 & core_mv_total> 106.55249786376953 & worm<= 0.5,rule,-0.6157350922432824,0.5601659751037344,0.30563049168238166
mon_core_mw<= 145.30955505371094 & dp_corona> 35.0 & ratio_vol<= 0.23150651156902313 & core_mv_total> 247.16400146484375 & dp_core<= 396.5,rule,0.8137540814185615,0.15767634854771784,0.29656230906348874
corona_mv_total<= 66.25379943847656 & ratio_vol<= 0.2364276573061943 & core_mw_total<= 58101.298828125 & dp_corona<= 45.5,rule,-0.7738052682851548,0.15352697095435686,0.2789527103009876
mon_core_psa<= 47.144775390625 & dp_corona> 39.0,rule,-0.5952027788991657,0.7012448132780082,0.272431617003924
