rule,type,coef,support,importance
core_BzMA> 0.5,rule,-2.4944728008743495,0.5684647302904564,1.2354884322762203
salt<= 0.20000000670552254 & clogp_corona<= 0.125 & corona_mw_total<= 14338.47998046875,rule,-1.6110248279590345,0.7966804979253111,0.6483863229862142
conc> 18.75 & core_BzMA<= 0.5 & core_mv_total<= 278.4750061035156 & clogp_corona> 0.125,rule,3.417609458758919,0.02074688796680498,0.4871317021863601
salt<= 0.20000000670552254 & mon_core_psa<= 46.58311080932617 & clogp_corona<= 0.7300000041723251 & core_mw_total> 8744.2900390625,rule,-0.9065304229503837,0.9004149377593361,0.27145686468481756
salt<= 0.20000000670552254 & mon_core_psa<= 46.58311080932617 & core_mw_total> 8440.11962890625 & clogp_corona<= 0.7300000041723251,rule,-0.7666519274625967,0.8879668049792531,0.24180760638772716
corona_mw_total<= 14063.41015625 & corona_mv_total> 39.6070499420166 & salt<= 0.15000000596046448 & core_BzMA<= 0.5 & clogp_corona<= 0.7300000041723251,rule,-0.4822205950836629,0.3112033195020747,0.22326126842654967
salt<= 0.20000000670552254 & corona_mv_total<= 39.6070499420166 & core_mv_total> 66.65700149536133 & core_DAAM> 0.5,rule,1.1655266484944464,0.029045643153526972,0.19573212619658062
mon_core_psa<= 46.575523376464844 & core_mw_total> 28888.0400390625,rule,-0.30138605905043075,0.5103734439834025,0.15066059438101098
salt<= 0.20000000670552254 & core_mw_total> 8406.06982421875 & mon_core_psa<= 46.575523376464844,rule,-0.40100388920456603,0.8962655601659751,0.12227239586175266
clogp_corona<= 0.7300000041723251 & core_mw_total> 8379.31982421875 & corona_mv_total<= 117.32430267333984,rule,-0.24806305887931274,0.8381742738589212,0.09135935827916636
salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251 & mon_core_psa<= 46.56034851074219,rule,-0.28688368102495787,0.946058091286307,0.06480789295020531
core_BzMA<= 0.5 & core_mw_total> 8379.31982421875 & corona_mw_total> 14338.47998046875,rule,0.6341420149116282,0.008298755186721992,0.05752855080974024
dp_core> 125.0 & corona_mv_total> 107.5754508972168 & core_BzMA<= 0.5 & clogp_corona<= 0.7300000041723251,rule,0.5186912783871866,0.012448132780082987,0.057509687652605904
conc<= 18.75 & dp_corona> 112.5 & mon_core_psa<= 46.56034851074219 & ratio_vol<= 0.3432571440935135,rule,-0.2488074628084827,0.04979253112033195,0.05411961821202304
mon_corona_apol<= 33.95053958892822 & core_BzMA<= 0.5 & corona_mw_total> 14758.5302734375,rule,0.45895614236167354,0.012448132780082987,0.05088657838152846
salt<= 0.20000000670552254 & mon_core_psa<= 46.58311080932617,rule,-0.26482138521890036,0.966804979253112,0.047441560333649775
conc> 7.5 & mon_core_psa<= 46.575523376464844 & salt<= 0.20000000670552254 & dp_corona<= 112.5 & clogp_corona<= 0.7300000041723251,rule,-0.1458895825476997,0.8838174273858921,0.04674940162152346
salt<= 0.20000000670552254 & mon_core_psa<= 46.56034851074219,rule,-0.1481865535949655,0.950207468879668,0.032232954808466475
salt<= 0.20000000670552254 & mon_core_psa<= 46.567935943603516 & clogp_corona<= 0.7300000041723251,rule,-0.11669931380708451,0.941908713692946,0.027297835118539508
mon_core_psa<= 46.567935943603516 & salt<= 0.15000000596046448,rule,-0.1029042246864811,0.9377593360995851,0.024860852186699367
salt<= 0.20000000670552254 & mon_core_psa<= 46.57552528381348,rule,-0.11613861693497954,0.9543568464730291,0.024239288504391294
salt<= 0.20000000670552254 & mon_core_psa<= 46.575523376464844,rule,-0.05315940156860717,0.9336099585062241,0.013234705784715476
mon_core_psa<= 46.575523376464844 & salt<= 0.15000000596046448,rule,-0.036485509118975704,0.946058091286307,0.008242187080033351
salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251 & dp_corona<= 112.5 & mon_core_psa<= 46.575523376464844,rule,-0.020611214674072148,0.8630705394190872,0.007085576340489234
salt<= 0.20000000670552254 & dp_corona<= 112.5 & mon_core_psa<= 46.575523376464844,rule,-0.021371086459418157,0.9004149377593361,0.0063994853104883944
conc<= 18.75 & ratio_mass<= 0.37258826196193695 & dp_corona> 112.5,rule,-0.022684783862267757,0.04564315352697095,0.004734540803125892
clogp_corona> -5.230000019073486,rule,-0.014054261381129229,0.950207468879668,0.003057027516832031
salt<= 0.20000000670552254 & mon_core_psa<= 46.567935943603516,rule,-0.013406295314129684,0.9585062240663901,0.00267360798232756
mon_core_psa<= 46.56034851074219 & salt<= 0.15000000596046448,rule,-0.007862277014770323,0.9377593360995851,0.0018994643544578168
salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251 & mon_core_psa<= 46.575523376464844,rule,-0.0008109450414105658,0.921161825726141,0.0002185383540191136
