rule,type,coef,support,importance
corona_mw_total<= 6338.16015625 & dp_core> 42.0 & conc> 6.25,rule,-2.5097302361162552,0.2396694214876033,1.071357921776847
mon_corona_psa> 64.99999046325684 & corona_mw_total> 6338.16015625 & ratio_mass<= 0.3262699395418167 & dp_corona<= 63.5 & mon_core_mw<= 145.30955505371094 & mon_corona_apol<= 58.23068809509277,rule,-1.9536353959442467,0.3305785123966942,0.919032035014517
conc> 16.100000381469727 & core_mw_total<= 72148.6015625 & core_mv_total> 247.16400146484375 & clogp_corona<= 0.6400000005960464 & mon_core_mw<= 151.08499908447266 & dp_core> 103.5,rule,-2.558039064892599,0.1487603305785124,0.9102834924342552
corona_mw_total<= 12760.52978515625 & mon_core_psa> 40.260000228881836 & conc> 14.5 & core_mw_total> 16317.32470703125,rule,-1.3057388738496736,0.35537190082644626,0.624960390161399
mon_core_mw> 144.0270004272461 & ratio_mass<= 0.6467368900775909,rule,2.3011623534472987,0.9256198347107438,0.6037986757294879
conc> 16.100000381469727 & dp_core> 92.5 & clogp_core<= 1.3499999642372131 & ratio_vol<= 0.2732319235801697 & core_mv_total<= 540.548095703125,rule,-1.3333128822449993,0.2396694214876033,0.5691668762021209
mon_corona_apol> 23.929574966430664 & core_mv_total> 153.19979858398438 & conc<= 21.25 & core_mv_total> 296.8424987792969,rule,1.6850609877502751,0.12396694214876033,0.5553014606657296
conc<= 16.100000381469727 & ratio_mass<= 0.32691285014152527 & corona_mw_total> 10396.32470703125 & mon_core_mv<= 1.1879655122756958 & ph> 4.25 & mon_core_mw<= 144.8274154663086,rule,1.701737727137436,0.11570247933884298,0.5443311192808599
clogp_core<= 1.1800000071525574 & mon_corona_apol<= 23.610912322998047 & dp_corona<= 64.5,rule,-1.1119075655880009,0.3181818181818182,0.5178937309490108
conc<= 14.5 & clogp_core<= 1.3700000047683716 & dp_corona<= 62.5 & mon_corona_mv<= 2.335800051689148 & clogp_core> 0.8700000047683716 & charged> 0.5 & mon_core_mv<= 1.1879655122756958 & salt<= 0.20000000670552254,rule,1.4890505275008885,0.09504132231404959,0.4366968348892226
corona_mv_total<= 71.51275253295898 & charged> 0.5,rule,1.3454635891518036,0.1115702479338843,0.42360170108790196
mon_core_mw> 144.89492797851562,rule,1.0553922332171468,0.18181818181818182,0.4070590935924321
corona_mv_total<= 122.24875259399414 & ratio_vol<= 0.4202622175216675 & mon_core_mw<= 145.30955505371094 & mon_corona_apol<= 24.010971069335938,rule,-0.7966240177898396,0.40082644628099173,0.39039828241390856
dp_corona<= 28.5 & core_mw_total<= 43296.0390625 & dp_core> 104.0,rule,1.7733824472880078,0.049586776859504134,0.38498302496743453
mon_corona_apol<= 24.189985275268555 & clogp_core<= 1.3700000047683716 & ratio_vol<= 0.21067793667316437 & dp_corona<= 64.5,rule,-0.9525140886479327,0.15289256198347106,0.34279449163695674
mon_corona_apol<= 34.15211868286133 & mon_corona_apol> 24.010971069335938 & ratio_vol> 0.1838052198290825,rule,-1.5587103511247373,0.049586776859504134,0.33837992867344385
clogp_core<= 1.1800000071525574 & dp_corona> 28.5 & dp_corona<= 62.5,rule,-0.6478589070812684,0.5206611570247934,0.3236527751615657
corona_mv_total<= 122.24875259399414 & dp_corona> 27.5 & mon_core_mw<= 145.30955505371094 & ratio_vol<= 0.31153184175491333,rule,-0.6252779409531759,0.4628099173553719,0.31177294769204944
ratio_vol> 0.14675621688365936 & dp_corona> 62.5,rule,0.8069184635801214,0.17768595041322313,0.30844309545680376
core_mv_total<= 233.4946517944336 & mon_core_mw> 143.93306732177734 & dp_corona> 61.0,rule,1.108491613755659,0.06611570247933884,0.2754426935955321
core_mw_total<= 38898.451171875 & core_mv_total<= 252.99750518798828 & corona_mv_total<= 38.33705139160156 & ratio_mass<= 0.46555738151073456,rule,-0.8993941013853379,0.09917355371900827,0.26882430806195157
corona_mw_total> 10396.32470703125 & conc> 16.5 & corona_mw_total<= 14086.16015625 & ratio_mass<= 0.2848168909549713,rule,-1.021694577304636,0.0743801652892562,0.2680809686688916
core_mv_total<= 181.1636962890625 & corona_mv_total<= 54.56194877624512,rule,0.705777861419721,0.14049586776859505,0.24525834395347199
mon_core_mw<= 145.30955505371094 & mon_corona_apol<= 26.98116111755371 & core_mw_total<= 12174.759765625 & ratio_vol<= 0.42269572615623474,rule,-1.147769690333313,0.045454545454545456,0.23907915846947414
