rule,type,coef,support,importance
dp_core> 167.5 & mon_core_mw<= 145.30955505371094 & dp_core> 99.5 & conc> 11.25,rule,2.175240031609976,0.2644628099173554,0.9593825375398297
core_BzMA> 0.5 & ratio_vol> 0.21901758015155792 & ratio_vol> 0.2072615921497345,rule,-1.9716931482341657,0.2644628099173554,0.8696088469844591
clogp_core<= 1.1225000023841858 & ratio_mass> 0.13525748997926712 & charged<= 0.5 & ratio_mass<= 0.3376651853322983,rule,1.7745953469121436,0.34710743801652894,0.8447966032142281
ratio_mass> 0.2239799052476883 & conc> 11.25 & ratio_mass<= 0.4039231240749359 & clogp_corona<= 0.125 & dp_corona> 30.0,rule,1.6987635232989902,0.2190082644628099,0.7025648178250185
core_mv_total> 121.23968505859375 & ratio_mass<= 0.2571306973695755 & dp_corona<= 77.5 & clogp_corona> -5.230000019073486 & corona_mw_total<= 12760.52978515625 & core_mv_total> 166.7061538696289,rule,-1.0563611767747525,0.3512396694214876,0.504262130978308
conc<= 11.25 & mon_core_psa<= 46.78045082092285 & clogp_corona<= 0.25,rule,-0.9515628892056872,0.3760330578512397,0.46092609926523825
dp_corona> 106.0 & ratio_mass> 0.13513534516096115 & mon_core_psa<= 46.77286148071289 & core_mw_total<= 79244.0 & core_mv_total> 195.5250015258789 & core_mv_total> 131.0955047607422 & ratio_vol<= 0.20989006012678146,rule,2.2860498855605296,0.04132231404958678,0.45500307287296565
mon_core_psa<= 46.78045082092285 & core_mv_total<= 237.59249877929688 & conc<= 24.0 & core_BzMA> 0.5 & mon_core_mw> 144.07749938964844,rule,-1.1973821317680473,0.17355371900826447,0.4534788640177409
core_mw_total> 43151.2109375 & clogp_corona> -5.230000019073486,rule,-1.0053731738498397,0.256198347107438,0.4388782152793138
dp_corona> 41.5 & mon_core_psa<= 47.144775390625,rule,-0.9091785628028868,0.640495867768595,0.4362739646239142
core_mv_total> 131.0955047607422 & core_mw_total> 21611.625 & mon_core_psa<= 46.78045082092285 & dp_core> 67.5,rule,-0.9126140276082387,0.6942148760330579,0.420477028773879
corona_mw_total<= 12760.52978515625 & dp_corona<= 77.5 & dp_corona<= 61.0 & mon_core_psa<= 47.144775390625,rule,0.8639911212872833,0.6900826446280992,0.39956071426179995
clogp_corona> -4.870000123977661 & dp_corona<= 77.5 & core_mw_total<= 36019.375 & core_mw_total> 22692.6005859375,rule,-1.0378173754427948,0.17355371900826447,0.39304765954603404
ratio_vol<= 0.2087843045592308 & mon_core_psa<= 46.78045082092285 & dp_core> 146.5 & ratio_vol> 0.1554911881685257,rule,-0.9573011843673419,0.2066115702479339,0.3875866829523954
mon_corona_psa> 64.99999046325684 & dp_core<= 299.5 & dp_core> 108.0 & corona_mv_total> 50.81744956970215 & dp_corona> 28.0 & ratio_mass> 0.23468215763568878 & ratio_mass> 0.16695963591337204 & mon_core_psa> 37.18000030517578,rule,0.9150671917271817,0.19421487603305784,0.3619960680915546
ratio_mass<= 0.2572299391031265 & ratio_vol> 0.22273391485214233 & ratio_mass<= 0.3346700370311737,rule,-1.3707198752015417,0.07024793388429752,0.35030720011917854
core_mv_total> 97.17000198364258 & ratio_mass<= 0.4180891811847687 & corona_mw_total<= 8503.89013671875,rule,-0.6990440691390157,0.39669421487603307,0.34198041408195023
corona_mw_total<= 12760.52978515625 & dp_core> 127.5 & ratio_mass> 0.22350908070802689 & mon_core_mv> 1.1064050197601318,rule,0.7892245400747286,0.2231404958677686,0.3285950518064326
ratio_mass<= 0.325008288025856 & core_mw_total<= 33151.849609375 & dp_corona<= 30.0 & conc<= 24.0,rule,-1.5362223215800177,0.045454545454545456,0.31999341240551016
dp_core<= 255.5 & ratio_vol> 0.2374986931681633 & core_BzMA<= 0.5 & mon_corona_mv> 0.5112999975681305 & core_mw_total<= 43151.2109375 & clogp_core> 0.6649999916553497,rule,0.8095938564680022,0.17355371900826447,0.30661364706081273
dp_core<= 147.0 & core_mv_total<= 414.1575012207031 & conc> 11.25 & clogp_core<= 1.1399999856948853 & dp_corona<= 77.5,rule,0.8332028130127789,0.1487603305785124,0.2964969444542717
