rule,type,coef,support,importance
mon_core_mw> 137.06749725341797 & core_mv_total<= 1374.5999755859375 & mon_corona_apol> 11.84615421295166 & sphere<= 0.5 & ratio_vol<= 0.25237123668193817 & clogp_corona> -5.230000019073486 & clogp_core<= 1.1800000071525574,rule,2.853399807639481,0.23140495867768596,1.2033660291562984
ratio_vol<= 0.37466323375701904 & corona_mw_total<= 5806.375 & corona_mv_total> 25.095650672912598,rule,2.7415914762862217,0.1859504132231405,1.0666618074823984
ratio_mass> 0.18418686836957932,rule,-1.8529710019675367,0.5950413223140496,0.9095939033883904
conc> 6.25 & sphere> 0.5 & mon_core_psa<= 47.144775390625,rule,-1.6273887649075864,0.5206611570247934,0.8129993803774656
ratio_mass<= 0.2776370942592621 & ratio_mass<= 0.26459378004074097,rule,-1.6539629409183196,0.6652892561983471,0.7804873273712737
mon_core_apol<= 22.746054649353027 & ratio_mass<= 0.2776370942592621 & mon_core_apol> 22.060723304748535 & mon_corona_psa> 64.99999046325684,rule,1.4851615152031272,0.3181818181818182,0.6917444057174729
worm<= 0.5 & core_mv_total<= 1374.5999755859375 & corona_mw_total<= 13123.77001953125 & sphere<= 0.5 & clogp_core<= 1.1800000071525574,rule,1.1831582026557856,0.18181818181818182,0.4563377390805783
ratio_mass<= 0.22923817485570908 & sphere> 0.5 & conc> 12.75 & corona_mw_total> 10526.5048828125,rule,1.9536460901660824,0.05785123966942149,0.456101990842536
core_mw_total> 12447.0 & corona_mw_total<= 8503.89013671875,rule,-0.8863713835771767,0.43388429752066116,0.439294022246493
core_mw_total<= 57415.880859375 & ratio_mass<= 0.27740293741226196 & dp_corona> 36.0 & core_mw_total> 17418.330078125 & clogp_core<= 1.3799999952316284 & temp> 53.0 & ratio_mass<= 0.244181327521801,rule,1.1208700207886055,0.18181818181818182,0.4323135231972707
core_mv_total> 258.92250061035156 & core_mw_total<= 58101.298828125 & mon_core_mw> 143.06749725341797 & ratio_vol<= 0.23150651156902313,rule,0.9212573116927676,0.28512396694214875,0.41592323150132593
conc> 6.25 & ph> 4.25,rule,-0.9910127044882541,0.8099173553719008,0.38883988640629114
dp_core> 203.0 & ratio_vol<= 0.23803839087486267 & conc> 11.25 & mon_core_mw<= 144.21502685546875,rule,0.7942862133919474,0.2231404958677686,0.3307024885642167
dp_core<= 398.5 & dp_corona> 28.5 & ratio_mass<= 0.2534535080194473,rule,0.6655265346404454,0.33884297520661155,0.3150046226725385
ratio_vol<= 0.2598588168621063 & mon_core_mv> 1.1171250343322754 & clogp_corona> -5.230000019073486 & mon_corona_psa> 64.99999046325684,rule,0.656842390691372,0.3347107438016529,0.30995686138543554
mon_core_mv> 1.1171250343322754 & corona_mw_total<= 11545.81982421875 & ratio_mass<= 0.2776370942592621 & sphere<= 0.5 & corona_mv_total> 25.373250007629395,rule,0.680202009840896,0.2892561983471074,0.30841521033419744
mon_core_mw> 136.05999755859375 & clogp_core<= 1.1600000262260437 & corona_mw_total> 2502.9550170898438 & core_mv_total> 200.52059936523438,rule,0.5922427522071859,0.5082644628099173,0.2960809223634993
ratio_mass<= 0.27740293741226196 & corona_mv_total> 32.95805072784424 & mon_corona_psa> 64.99999046325684 & core_mw_total<= 57902.3984375 & clogp_corona> -5.230000019073486,rule,0.650209800484443,0.2603305785123967,0.28532178706072286
corona_mw_total<= 5806.375 & conc<= 18.75,rule,1.0286098292864148,0.07851239669421488,0.27667157099046663
mon_core_psa<= 46.567935943603516 & ratio_mass> 0.050914010033011436 & clogp_corona<= 0.125 & sphere<= 0.5,rule,0.4950004778057124,0.40082644628099173,0.24258286470644108
ratio_mass<= 0.2503932863473892 & temp> 65.0 & conc> 13.25,rule,0.5241013649973254,0.30578512396694213,0.24147402742423088
conc> 8.75 & ph> 3.8499999046325684 & conc<= 13.25,rule,-0.4965980245869278,0.3512396694214876,0.2370548857942537
conc> 13.75 & core_mw_total> 28815.5 & ratio_mass<= 0.2777072787284851 & ratio_mass> 0.24669822305440903 & sphere<= 0.5,rule,-1.5644197642243223,0.02066115702479339,0.22253437346788008
ratio_vol<= 0.2663721889257431 & ratio_vol<= 0.25644005835056305 & conc> 11.25 & conc> 16.5,rule,-0.4641466107550796,0.29338842975206614,0.21133286810863663
conc> 6.25 & mon_core_psa<= 47.144775390625,rule,-1.3111066463025305,0.9752066115702479,0.20387044910782995
mon_corona_psa<= 58.04500198364258 & ph> 4.25 & sphere<= 0.5 & core_mv_total<= 256.55250549316406,rule,-0.9017280179149505,0.049586776859504134,0.19575584531451462
conc<= 21.5 & ph> 4.25,rule,-0.3861459459359696,0.7107438016528925,0.17508516795385015
conc<= 21.25,rule,-0.5687377558936237,0.8966942148760331,0.17309979968875858
ratio_vol> 0.09127827733755112 & worm<= 0.5 & sphere<= 0.5,rule,0.3388429489912812,0.256198347107438,0.14791601027489137
ratio_vol<= 0.2374986931681633 & mon_core_mw> 142.92556762695312 & mon_corona_psa> 64.99999046325684 & core_mv_total<= 1481.25 & dp_corona> 28.0 & ph> 4.25 & mon_core_mw<= 144.21502685546875,rule,0.32947562435576183,0.19008264462809918,0.12927509785486785
ratio_vol<= 0.3821823298931122 & dp_corona<= 31.5 & sphere<= 0.5,rule,0.4744265846661695,0.0743801652892562,0.12448410826952867
conc> 8.75 & mon_core_mw> 144.07749938964844 & core_mv_total<= 269.5874938964844 & conc> 13.25,rule,-0.2775690276449424,0.2644628099173554,0.12242091641140553
ratio_mass<= 0.22923817485570908 & corona_mw_total> 10526.5048828125 & conc> 11.25 & dp_corona<= 89.0 & sphere> 0.5,rule,0.5588434254681413,0.04132231404958678,0.11122918946298986
corona_mw_total<= 12760.52978515625 & ratio_mass<= 0.24669822305440903 & ratio_mass> 0.19838710129261017 & clogp_core<= 1.1022250056266785,rule,0.36788872539490597,0.09090909090909091,0.10576057252219369
mon_corona_psa> 64.99999046325684 & dp_corona> 27.0 & conc> 12.75 & ratio_mass<= 0.2776370942592621 & mon_core_mw<= 144.3500518798828 & sphere> 0.5,rule,0.4169572771060788,0.06611570247933884,0.1036073111380999
core_mv_total> 334.1699981689453 & ratio_mass> 0.09134742990136147 & mon_core_mv<= 1.1898742318153381 & corona_mw_total> 2502.9550170898438 & core_mw_total<= 57920.158203125 & conc> 11.25 & conc> 16.75 & ph> 3.8499999046325684,rule,0.45520764221051996,0.05371900826446281,0.10263218994766238
clogp_core> 1.1299999952316284 & ph<= 3.8499999046325684 & ratio_mass<= 0.37267646193504333,rule,0.6166852687877105,0.024793388429752067,0.0958914387784464
core_mv_total<= 278.3376007080078 & ratio_mass<= 0.19169365614652634,rule,-0.34373949936765286,0.08264462809917356,0.09464671807962383
corona_mw_total<= 14063.41015625 & core_mw_total> 32345.9599609375 & ratio_vol> 0.048236310482025146 & sphere<= 0.5 & corona_mw_total> 2972.0750122070312 & ratio_vol<= 0.24243927747011185,rule,0.23295197541253077,0.18181818181818182,0.0898483208209104
conc> 21.25 & core_mw_total<= 79244.0 & dp_corona> 42.5,rule,-0.32976644171415564,0.045454545454545456,0.06868998549142552
ratio_vol<= 0.24269799888134003 & corona_mw_total> 9204.02490234375 & conc> 11.25 & clogp_core<= 1.1800000071525574,rule,0.1857724939934778,0.1487603305785124,0.0661075262498795
ph> 3.125 & worm> 0.5 & sphere<= 0.5,rule,-0.17132697046688763,0.17768595041322313,0.06548941868498478
dp_core<= 402.5 & corona_mv_total> 25.373250007629395 & worm<= 0.5 & sphere<= 0.5,rule,0.15448762649510545,0.2024793388429752,0.06208047473976883
conc<= 22.75,rule,-0.1944071850440358,0.8884297520661157,0.06120657218251388
dp_corona<= 40.0 & ratio_vol> 0.24641400575637817 & ratio_vol<= 0.3722815066576004 & sphere<= 0.5 & mon_corona_mw<= 307.10499572753906,rule,0.30194890128991625,0.024793388429752067,0.04695152624478935
ratio_mass<= 0.2776370942592621 & ratio_mass> 0.26459378004074097,rule,0.19237186874781936,0.05371900826446281,0.043372615798005804
mon_core_mw> 136.05999755859375 & ratio_mass<= 0.2503932863473892 & mon_corona_mw<= 163.93566131591797 & clogp_core<= 1.1800000071525574,rule,0.07189504821562068,0.3140495867768595,0.033369096930600264
core_mw_total<= 57415.880859375 & ratio_mass<= 0.27740293741226196 & dp_corona<= 36.0 & clogp_core<= 1.3799999952316284 & temp> 53.0 & ratio_mass<= 0.244181327521801,rule,-0.11663651510057188,0.08677685950413223,0.03283408766722337
core_mv_total> 269.5874938964844 & core_mw_total<= 57343.83984375 & clogp_corona> -5.230000019073486,rule,0.07880475867852219,0.2066115702479339,0.031906024473643595
corona_mv_total> 33.25825023651123 & core_mw_total<= 188018.9140625 & ratio_vol<= 0.25945471227169037 & sphere<= 0.5 & mon_corona_mv> 0.6130499839782715,rule,0.06866096271283122,0.26859504132231404,0.03043251424724479
clogp_core> 0.6649999916553497 & ph> 3.125 & worm> 0.5 & sphere<= 0.5 & conc> 6.25,rule,-0.07368115428663145,0.1859504132231405,0.02866687976256412
mon_corona_psa<= 64.99999046325684 & conc> 6.25,rule,-0.055264757887867666,0.28512396694214875,0.024950571786100446
ratio_mass<= 0.27740293741226196 & conc<= 16.75 & conc> 12.75 & corona_mv_total> 35.745649337768555 & core_mw_total<= 92942.33984375 & clogp_core<= 1.3499999642372131 & ratio_mass<= 0.25327782332897186 & clogp_corona> -5.230000019073486 & temp> 63.0,rule,0.09397861139775308,0.049586776859504134,0.020401786514508188
corona_mw_total> 8503.89013671875 & ratio_vol<= 0.2598588168621063 & ratio_mass<= 0.22791093587875366 & core_mw_total<= 57920.158203125,rule,0.05278619843698041,0.11983471074380166,0.01714327614115306
ratio_mass<= 0.2776370942592621 & mon_core_psa<= 46.56034851074219 & sphere<= 0.5 & temp> 65.0,rule,0.00887155133204729,0.24793388429752067,0.003830853315019416
ph> 3.125 & worm> 0.5 & mon_core_psa<= 47.144775390625 & sphere<= 0.5 & conc> 6.25,rule,-0.009013255551909072,0.19834710743801653,0.003594080518509806
