rule,type,coef,support,importance
ratio_vol> 0.2153329774737358 & ratio_vol> 0.21378567814826965,rule,-1.8820188830950402,0.4854771784232365,0.9406124167735387
conc<= 11.25 & clogp_corona<= 0.25 & mon_core_psa<= 46.77286148071289,rule,-1.4332577826732198,0.34854771784232363,0.6829623068819873
mon_core_mw> 144.07749938964844 & ratio_vol> 0.2798312157392502 & sphere> 0.5,rule,-1.6587656592223636,0.16182572614107885,0.6109082377953032
dp_corona> 25.5 & mon_core_psa<= 46.78045082092285 & ratio_vol<= 0.21378567814826965,rule,-1.194603488693982,0.46473029045643155,0.5958138612928621
core_mv_total> 264.7174987792969 & mon_core_psa<= 46.78045082092285,rule,-1.0841948918082043,0.45228215767634855,0.5396230953277559
dp_corona<= 106.0 & ratio_mass<= 0.23455464094877243 & dp_corona> 25.5,rule,-1.0681257350994637,0.42323651452282157,0.5277312626073299
ratio_vol<= 0.24641400575637817 & clogp_corona<= 0.25 & dp_core<= 177.5,rule,-1.6539937545795633,0.1037344398340249,0.5043287223821673
dp_corona<= 77.5 & ratio_mass<= 0.23455464094877243 & core_mv_total> 227.56964874267578,rule,-1.0174325355865117,0.36099585062240663,0.4886619971328156
dp_core<= 250.5 & clogp_core<= 1.1399999856948853 & ratio_mass> 0.13515383005142212 & corona_mw_total<= 12760.52978515625 & corona_mw_total<= 8503.89013671875 & corona_mw_total> 6274.89501953125,rule,-1.6250500639927656,0.0995850622406639,0.4866146619675912
dp_core<= 299.5 & ratio_mass<= 0.3659862279891968 & clogp_core<= 1.1399999856948853,rule,0.9608262042269047,0.4979253112033195,0.4804089663791331
clogp_core<= 1.1200000047683716 & core_mv_total<= 357.41070556640625 & ratio_mass> 0.1459200158715248 & charged<= 0.5,rule,1.0164166548588063,0.2987551867219917,0.46522637771456815
clogp_corona<= 0.6050000041723251 & sphere<= 0.5 & ratio_vol> 0.21378567814826965 & mon_core_mw> 136.05999755859375,rule,1.1126831614886614,0.21991701244813278,0.46086245892089517
dp_corona> 30.0 & ratio_vol> 0.20205283910036087 & conc> 12.75 & ratio_vol<= 0.38812877237796783 & clogp_corona<= 0.6050000041723251,rule,1.0755304384203561,0.23651452282157676,0.4570376758516058
dp_corona<= 61.0 & ratio_mass<= 0.4180891811847687 & dp_corona<= 112.5 & core_mw_total<= 21684.0400390625,rule,1.0054956902167342,0.24481327800829875,0.4323394549342173
clogp_core<= 1.1225000023841858 & core_mv_total<= 354.9075012207031 & ratio_mass<= 0.325008288025856,rule,0.8280338346491557,0.42738589211618255,0.4096275859040254
mon_core_mv<= 1.1874029636383057 & dp_corona> 30.0 & ratio_vol<= 0.3003617376089096 & clogp_core<= 1.1100000143051147 & corona_mw_total<= 10236.2548828125 & ratio_vol<= 0.24648290127515793 & ratio_vol> 0.20190628618001938,rule,-1.7782557476247038,0.04564315352697095,0.37113972284859337
conc> 11.25 & ratio_mass<= 0.3659862279891968 & core_mv_total<= 298.0274963378906 & clogp_core<= 1.1399999856948853,rule,0.7738654174830935,0.3112033195020747,0.3582886680083446
core_mw_total> 14306.75 & mon_core_mw<= 144.07749938964844 & sphere> 0.5,rule,2.04383394963765,0.029045643153526972,0.3432302170628907
core_mw_total<= 28951.4599609375 & corona_mw_total<= 5957.905029296875 & corona_mv_total> 35.12380027770996,rule,0.8607205181071118,0.1825726141078838,0.332509888023116
sphere> 0.5 & ratio_mass> 0.23525848239660263,rule,-0.7318760955744645,0.2697095435684647,0.32481309684367704
sphere<= 0.5 & mon_core_apol> 20.513930320739746 & core_mv_total<= 297.43499755859375,rule,0.6318028116699768,0.3153526970954357,0.29357108636688345
dp_corona<= 70.5 & dp_corona> 28.0 & sphere<= 0.5 & ratio_vol<= 0.2188851609826088 & core_mw_total> 23525.33984375,rule,-0.8419350739336502,0.14107883817427386,0.29308000530039213
dp_core> 65.0 & core_mv_total<= 122.10074996948242 & conc<= 25.0,rule,-0.9083053452060066,0.11618257261410789,0.2910607504420584
mon_corona_mv<= 2.179200053215027 & conc> 11.25 & mon_core_psa<= 46.78045082092285 & ratio_vol<= 0.245297871530056,rule,-0.5175685852562593,0.34439834024896265,0.24593393308695366
conc> 14.5 & clogp_corona<= -5.230000019073486 & core_mv_total> 241.73999786376953,rule,1.5329139548931987,0.024896265560165973,0.2388417758386886
corona_mv_total<= 38.33705139160156 & dp_core> 67.5 & sphere<= 0.5,rule,-0.9907704649340198,0.058091286307053944,0.23175705074664896
core_mv_total<= 131.03009796142578 & ratio_mass<= 0.3154779523611069 & sphere<= 0.5,rule,-1.4322611791697115,0.024896265560165973,0.2231591684619648
clogp_corona> -5.230000019073486 & mon_core_mv> 1.1064050197601318 & core_mw_total> 18221.4951171875 & temp> 47.0 & ratio_vol> 0.20190628618001938,rule,0.47066022197969853,0.29045643153526973,0.21366703719627556
mon_core_psa> 40.45249938964844 & dp_core<= 172.5 & ratio_vol> 0.20656581968069077 & ratio_mass<= 0.3346700370311737 & conc<= 11.5 & mon_corona_mv> 0.6130499839782715,rule,1.0448446133212397,0.04149377593360996,0.20837262144474628
conc> 11.25 & conc<= 21.25 & core_mv_total> 331.2074890136719 & clogp_corona<= -5.230000019073486,rule,1.8734816094981939,0.012448132780082987,0.20772152275272213
corona_mw_total> 6274.89501953125 & corona_mw_total<= 8503.89013671875 & mon_core_psa<= 47.144775390625 & core_mw_total<= 33311.08984375,rule,-0.7211901529277688,0.0912863070539419,0.20771417906581482
corona_mw_total<= 12760.52978515625 & ratio_mass> 0.12590861693024635,rule,0.4637353002774079,0.7593360995850622,0.19824062370895773
clogp_core<= 1.1399999856948853 & ratio_mass> 0.13515383005142212 & corona_mw_total<= 12760.52978515625 & corona_mw_total> 8503.89013671875 & corona_mw_total> 6274.89501953125 & ratio_vol<= 0.307685062289238 & ratio_vol> 0.20935127139091492,rule,0.49083476227596434,0.2033195020746888,0.197545401649153
ratio_vol<= 0.24430229514837265 & mon_core_psa<= 46.76527404785156 & dp_core> 146.5 & core_mv_total> 121.23968505859375 & dp_core<= 177.5,rule,-0.7531677158162569,0.06639004149377593,0.1875106346430515
mon_core_mw> 144.07749938964844 & conc<= 24.0 & conc> 11.25 & dp_corona<= 77.5,rule,-0.35088395829836144,0.3817427385892116,0.17046433120131096
ratio_vol> 0.14768917113542557 & conc> 12.75 & ratio_mass<= 0.2239799052476883 & conc<= 18.75,rule,-0.7607718385293377,0.04979253112033195,0.16548009043988723
ratio_mass> 0.16706863045692444 & mon_core_psa> 37.18000030517578 & conc<= 23.75 & mon_corona_apol> 23.871322631835938,rule,-0.3664635461956303,0.23651452282157676,0.15572562286900918
dp_corona> 77.5 & dp_core> 165.0 & core_mw_total<= 46826.0,rule,0.46648303603368135,0.11618257261410789,0.149481562839046
corona_mw_total<= 12760.52978515625 & dp_corona<= 77.5 & ratio_mass> 0.1681925356388092 & core_mv_total<= 329.93609619140625,rule,0.29592075480323193,0.4854771784232365,0.14789795089152755
dp_corona<= 61.0 & core_mv_total> 122.10074996948242 & dp_core<= 144.5,rule,0.4941930378644531,0.0954356846473029,0.14520171471246504
dp_core> 42.0 & corona_mw_total<= 6241.409912109375 & ratio_vol> 0.20190628618001938 & ratio_vol> 0.3003617376089096,rule,0.7856980042017963,0.03319502074688797,0.14075426438675476
corona_mw_total> 5957.905029296875 & conc<= 21.25 & mon_corona_psa<= 64.99999046325684,rule,-0.3900012402920001,0.14522821576763487,0.1374094426194088
corona_mw_total<= 9444.1298828125 & clogp_core<= 1.1399999856948853 & dp_core> 137.5 & corona_mv_total> 50.81744956970215 & ratio_mass<= 0.3346700370311737 & ratio_mass<= 0.2571306973695755 & core_mv_total<= 298.0274963378906,rule,-0.4257541160552661,0.0954356846473029,0.1250932792664523
conc<= 18.75 & ratio_vol> 0.14768917113542557 & conc> 12.75 & dp_corona<= 95.0 & ratio_mass> 0.2239799052476883,rule,0.3667597646299335,0.12863070539419086,0.12278777707474527
dp_core> 146.0 & dp_core<= 153.5 & dp_core> 99.5,rule,-0.5085998269855645,0.058091286307053944,0.11896963028695047
ratio_mass<= 0.20027776062488556 & conc> 21.25 & dp_corona<= 25.5 & ratio_mass<= 0.12578686326742172,rule,-1.0692961563246852,0.012448132780082987,0.11855778286763617
ratio_mass<= 0.25704318284988403 & ratio_mass> 0.2516185939311981,rule,-0.7204855704569718,0.024896265560165973,0.11225812940432332
conc> 14.5 & clogp_core<= 1.3700000047683716,rule,0.2173266561048543,0.5311203319502075,0.10845264836995852
ratio_vol<= 0.24641400575637817 & ratio_vol<= 0.24319090694189072,rule,0.22507071876918316,0.6556016597510373,0.10694723108475883
ratio_vol<= 0.2440025433897972 & dp_corona<= 25.5 & core_mv_total> 133.6803970336914 & ratio_vol<= 0.1873665526509285 & conc> 14.0,rule,0.5828460856859126,0.03319502074688797,0.10441425535344703
corona_mw_total<= 5985.85498046875 & conc<= 24.0 & core_mw_total<= 32590.6904296875 & dp_corona> 33.0,rule,0.3172822162993057,0.11618257261410789,0.10167109603109348
sphere> 0.5 & mon_core_mw<= 168.5749969482422 & core_mw_total<= 33311.08984375,rule,-0.23112913135082996,0.24066390041493776,0.0988046049737619
dp_corona> 77.5 & core_mw_total> 23773.2001953125 & ratio_mass<= 0.4162764251232147 & ratio_mass<= 0.2572299391031265 & core_mw_total<= 40126.279296875,rule,0.4361449243453182,0.05394190871369295,0.09852646015542361
mon_corona_apol<= 23.871322631835938 & mon_core_psa> 37.18000030517578 & conc<= 23.75 & ratio_vol> 0.17424138635396957 & dp_corona<= 50.0,rule,0.3516464882139858,0.07883817427385892,0.09476381358373617
mon_core_psa<= 46.77286148071289 & ratio_vol<= 0.19024543464183807 & ratio_mass<= 0.33380846679210663,rule,-0.18166921509237752,0.4315352697095436,0.08997901827939749
clogp_core<= 0.8950000107288361 & core_mv_total> 122.10074996948242 & dp_core> 144.5,rule,-0.3579449798858204,0.06224066390041494,0.0864766948395417
ratio_vol> 0.21136220544576645 & conc<= 11.25 & sphere> 0.5,rule,-0.21819989737273182,0.13692946058091288,0.0750112040832939
