rule,type,coef,support,importance
dp_corona> 27.0 & ratio_mass<= 0.27740293741226196 & mon_corona_psa> 64.99999046325684 & mon_core_mw> 142.8679962158203 & mon_core_mw<= 144.3500518798828,rule,1.7096986654484787,0.2863070539419087,0.7728430378497745
mon_core_apol> 21.89402484893799 & corona_mw_total<= 12760.52978515625 & mon_corona_psa> 64.99999046325684 & clogp_corona> -5.230000019073486 & core_mw_total<= 152724.796875 & ratio_vol<= 0.24217402189970016,rule,1.5988594589666134,0.2074688796680498,0.6483282321074959
sphere> 0.5 & clogp_core> 0.6649999916553497 & conc<= 27.5 & mon_corona_mv> 0.7838499844074249,rule,-1.2273302959096182,0.43983402489626555,0.6092060798888663
conc<= 21.5 & corona_mw_total> 5834.324951171875,rule,-1.0445690289060336,0.6680497925311203,0.4919013720785483
ph<= 4.25 & ratio_mass<= 0.3618442416191101 & sphere<= 0.5,rule,1.52741981876396,0.1078838174273859,0.4738569805860387
ratio_mass<= 0.21148799359798431 & conc> 6.25 & mon_core_mw<= 145.30955505371094 & conc<= 12.75,rule,-1.1339635052877608,0.16597510373443983,0.4219005189160002
corona_mw_total<= 8321.31005859375 & conc> 7.5 & ph> 4.25,rule,-0.9250067289448505,0.26141078838174275,0.4064509334864596
dp_corona<= 106.0 & mon_core_psa<= 47.144775390625 & core_mv_total> 271.36500549316406 & conc<= 12.75,rule,-1.1230287580530072,0.12448132780082988,0.370745330696577
ratio_vol<= 0.24243927747011185 & dp_core> 99.5 & clogp_corona<= 0.26204000413417816 & sphere<= 0.5 & mon_corona_mv> 0.7838499844074249 & mon_core_mw> 137.06749725341797 & corona_mv_total<= 107.5754508972168,rule,0.7955057004348041,0.29045643153526973,0.3611381165157912
core_mw_total<= 167132.796875 & mon_core_mw<= 146.88470458984375 & ratio_mass<= 0.25279106944799423 & mon_core_mw> 142.81749725341797 & ph> 4.25 & clogp_corona> -5.230000019073486 & core_mv_total> 241.14749908447266,rule,0.8280717264317103,0.25311203319502074,0.36004110331219413
core_mv_total> 52.38750076293945 & corona_mw_total<= 5113.050048828125 & conc<= 18.75,rule,1.3035918144308691,0.08298755186721991,0.35961327638521196
mon_core_apol> 21.89402484893799 & dp_core<= 1010.0 & mon_corona_mv> 0.7838499844074249 & sphere<= 0.5 & ratio_mass<= 0.2470535710453987,rule,0.8069144839195216,0.22821576763485477,0.3386478208262946
