rule,type,coef,support,importance
conc> 16.100000381469727 & clogp_core<= 1.3499999642372131 & ratio_vol<= 0.2732319235801697 & dp_core> 97.0,rule,-2.1269019115307533,0.24481327800829875,0.9145177071137357
dp_corona<= 59.5 & mon_core_psa<= 46.73492431640625 & ratio_mass<= 0.43092384934425354 & charged<= 0.5 & corona_mv_total<= 103.62355041503906 & clogp_core<= 1.9449999928474426,rule,-1.7394019799927287,0.27800829875518673,0.7792825348646448
mon_corona_apol<= 26.98116111755371 & mon_core_mw<= 145.30955505371094 & core_mw_total> 6051.35986328125,rule,-1.2631550243387157,0.46473029045643155,0.6300042479245782
corona_mw_total<= 14326.26513671875 & mon_core_mw<= 145.30955505371094 & mon_corona_mv<= 1.3014912009239197 & conc> 6.25 & ratio_mass<= 0.18580711632966995,rule,-1.806238253895338,0.13692946058091288,0.6209357012416606
corona_mv_total> 77.73125076293945 & dp_core> 104.5 & ratio_vol<= 0.3629118651151657,rule,1.3197331879978373,0.2572614107883817,0.5768879345707875
mon_corona_apol<= 23.610912322998047 & clogp_core<= 1.3499999642372131 & ratio_vol<= 0.19815023988485336 & dp_corona<= 64.0,rule,-1.5401930940585702,0.16597510373443983,0.573041603705978
mon_core_mw> 144.89492797851562,rule,1.0067644334966737,0.27800829875518673,0.4510480893842237
ratio_mass<= 0.2840854078531265 & conc> 16.5 & corona_mw_total<= 14086.16015625 & corona_mv_total> 80.2186508178711,rule,-1.6000808176829557,0.07883817427385892,0.43119941591326005
conc> 16.100000381469727 & mon_core_mw> 144.07749938964844,rule,0.7302463593532688,0.4605809128630705,0.3639867071563873
dp_corona> 28.5 & core_mv_total> 95.00925064086914 & core_mw_total<= 16161.47509765625,rule,1.2030472292237235,0.0954356846473029,0.35347426446601815
corona_mw_total> 5985.85498046875 & mon_corona_psa> 64.99999046325684 & ratio_mass> 0.3262699395418167 & clogp_core> 0.8700000047683716,rule,0.9895922941812852,0.12863070539419086,0.3313063474545055
mon_core_psa<= 46.58311080932617 & mon_core_mw> 143.93306732177734 & conc<= 14.5,rule,0.6829125247097374,0.36929460580912865,0.3295830227531702
ratio_vol<= 0.2540517672896385 & core_mw_total<= 27668.5751953125 & dp_corona> 59.0,rule,2.0511342787120284,0.024896265560165973,0.31958516135063864
conc> 16.100000381469727 & mon_corona_psa> 58.589988708496094 & mon_core_mw<= 144.89492797851562 & core_mv_total> 100.13249969482422 & ratio_vol<= 0.23616201430559158 & corona_mw_total<= 15904.21533203125,rule,-0.9642392206339879,0.11618257261410789,0.30898440997255305
core_mw_total<= 60506.0390625 & ratio_vol<= 0.17676769196987152 & temp> 47.0 & conc> 7.5,rule,-0.7319714886061817,0.1950207468879668,0.2900193109096662
dp_corona> 28.5 & ratio_mass<= 0.3428267538547516 & mon_core_mw<= 145.30955505371094 & corona_mv_total<= 80.25510025024414 & mon_corona_apol<= 58.23068809509277,rule,-0.5933176205092218,0.34439834024896265,0.2819277292677625
conc> 16.100000381469727 & dp_core> 103.0 & corona_mw_total<= 12760.52978515625,rule,-0.5978389526174357,0.33195020746887965,0.2815302703187586
mon_core_mw> 144.0270004272461 & corona_mv_total> 46.47684860229492,rule,0.6516856449758059,0.7593360995850622,0.27858687627380524
core_mw_total<= 65901.78125 & ratio_mass> 0.16801152378320694 & dp_corona> 26.5,rule,-0.5702079199265622,0.6182572614107884,0.2770149772231009
ratio_mass<= 0.6375802457332611 & mon_core_mw> 143.93306732177734,rule,1.3140914934508574,0.9585062240663901,0.26206833611191704
dp_core> 37.0 & conc> 6.25 & corona_mv_total<= 42.9744987487793,rule,-0.7091583872696129,0.16182572614107885,0.26117655515471594
dp_core<= 311.0 & dp_corona<= 28.5,rule,0.8419985886496582,0.1037344398340249,0.25673861904588174
mon_corona_mw<= 262.55499267578125,rule,0.6109163793135841,0.7842323651452282,0.251302784382236
dp_core> 93.5 & dp_corona> 28.5 & ratio_mass<= 0.3148741126060486 & dp_core<= 350.5 & mon_core_psa> 30.91499900817871 & charged<= 0.5 & dp_corona<= 62.5,rule,-0.6119224703451309,0.2074688796680498,0.24813101061560822
mon_corona_apol<= 23.610912322998047 & clogp_core<= 1.3499999642372131 & dp_corona<= 63.5 & dp_core> 105.0,rule,-0.5425890832324619,0.25311203319502074,0.23591479570734755
conc<= 21.25 & corona_mw_total<= 9204.02490234375 & corona_mv_total> 55.68614959716797 & charged> 0.5 & dp_corona<= 61.0,rule,1.1656018211491692,0.04149377593360996,0.2324551459011531
corona_mv_total<= 84.57159805297852 & mon_core_mw<= 145.30955505371094 & charged<= 0.5 & conc<= 16.100000381469727,rule,-0.552892122985369,0.21991701244813278,0.22900249786841742
dp_corona> 28.5 & ratio_mass<= 0.325008288025856 & dp_core<= 250.5,rule,-0.4614141147526979,0.4315352697095436,0.22853398163576372
corona_mv_total> 77.73125076293945 & mon_core_mw<= 151.08499908447266 & conc> 15.5 & dp_corona<= 95.0 & ratio_mass<= 0.26661282777786255,rule,-0.743771548746933,0.0912863070539419,0.2142179784808461
mon_core_psa<= 47.144775390625 & charged<= 0.5 & dp_corona<= 64.5 & conc<= 27.5 & clogp_core<= 1.3799999952316284,rule,-0.49648763486033165,0.23651452282157676,0.21097827324989263
core_mw_total<= 28815.5 & dp_corona> 59.0,rule,0.7040677721521841,0.0995850622406639,0.2108302436580411
core_mv_total<= 181.1636962890625 & corona_mw_total<= 6338.16015625,rule,0.6807012549075567,0.0995850622406639,0.20383323467825815
conc<= 21.25 & ratio_mass<= 0.32691285014152527 & corona_mv_total> 55.68614959716797 & corona_mw_total> 9204.02490234375 & charged> 0.5 & dp_corona<= 61.0,rule,-0.5270298560527752,0.17012448132780084,0.19802731642551877
corona_mw_total> 5985.85498046875 & conc> 16.100000381469727 & mon_core_mw<= 145.30955505371094 & ratio_mass<= 0.3021478205919266 & corona_mw_total<= 12760.52978515625,rule,-0.5834069038505391,0.13278008298755187,0.19797149091999872
mon_corona_apol> 23.610912322998047 & dp_corona> 27.0 & core_mv_total> 152.74724578857422 & core_mw_total<= 38729.33984375,rule,-0.6001702794826312,0.12033195020746888,0.19526498488186
clogp_corona<= 0.25 & dp_corona> 28.5 & dp_corona<= 62.5,rule,-0.389591824010786,0.5850622406639004,0.19195629015008903
mon_core_mw> 145.30955505371094,rule,0.43537823629249633,0.24896265560165975,0.1882628312893311
corona_mv_total<= 80.2186508178711 & dp_corona> 27.5 & clogp_corona<= 0.25 & mon_core_mw<= 144.48985290527344 & conc> 7.5,rule,-0.3680425173647203,0.36929460580912865,0.1776224054849599
