rule,type,coef,support,importance
ratio_vol> 0.20237330347299576 & ratio_mass<= 0.3659862279891968 & corona_mw_total<= 12760.52978515625 & clogp_corona<= 0.7300000041723251 & core_mv_total> 147.30750274658203 & mon_core_mv> 1.175034999847412,rule,2.0901600319962776,0.24481327800829875,0.8987195646395796
core_BzMA> 0.5 & mon_core_mw> 144.07749938964844 & ph> 3.0 & ratio_mass> 0.24916428327560425,rule,-1.6965070912239675,0.1825726141078838,0.6553874005163474
clogp_core<= 1.1225000023841858 & dp_corona<= 61.0 & ratio_mass<= 0.3659862279891968 & dp_core<= 146.0,rule,1.865768845422055,0.12863070539419086,0.6246421531430726
dp_corona<= 77.5 & clogp_corona> -5.230000019073486 & ratio_mass<= 0.24669822305440903,rule,-1.1125563696244087,0.3775933609958506,0.5393507756271285
ratio_vol> 0.20237330347299576 & corona_mw_total> 8883.884765625 & core_mw_total> 21611.625 & ratio_vol> 0.21352563798427582 & conc> 11.5 & ratio_mass<= 0.32691285014152527 & core_mw_total> 15957.125,rule,1.5444666689760815,0.12448132780082988,0.5098745707385982
core_BzMA> 0.5 & corona_mw_total> 6246.945068359375 & ratio_vol> 0.22826136648654938 & mon_core_mw> 144.07749938964844,rule,-1.3188851406680973,0.17427385892116182,0.5003122263953161
ratio_vol> 0.17220113426446915 & charged<= 0.5,rule,1.016419544492938,0.34854771784232363,0.4843345316235458
dp_core<= 299.0 & ratio_mass<= 0.1996176615357399,rule,1.401725654246769,0.13692946058091288,0.4818752455226082
mon_corona_mw<= 262.55499267578125 & mon_core_psa<= 46.78045082092285,rule,-0.9941718267062808,0.7759336099585062,0.4145358471992787
ratio_vol<= 0.25525064766407013 & core_mw_total> 14560.28515625 & mon_core_psa<= 46.78045082092285 & dp_core> 139.0,rule,-0.8068048820307956,0.6058091286307054,0.3942663437700593
ratio_vol> 0.1452501118183136 & charged> 0.5,rule,-0.7707972482727915,0.34854771784232363,0.3672929414252465
core_mw_total<= 16208.99951171875 & dp_core> 66.0 & core_BzMA<= 0.5 & ratio_vol> 0.20190628618001938,rule,-2.320450866597993,0.024896265560165973,0.3615471070346556
ratio_mass> 0.14530982822179794 & corona_mw_total<= 5957.905029296875 & corona_mv_total> 35.12380027770996,rule,1.0684951248334504,0.12863070539419086,0.3577222853926817
conc> 11.25 & conc<= 21.25 & dp_corona<= 25.5 & ratio_vol<= 0.18775033205747604,rule,2.0968423423682516,0.029045643153526972,0.3521321545937282
core_BzMA> 0.5 & ratio_vol> 0.27826790511608124,rule,-0.9460450485364699,0.15767634854771784,0.34477406685687223
ratio_vol<= 0.24641400575637817 & dp_core<= 177.5,rule,-1.061331041473892,0.1078838174273859,0.3292605716757253
conc> 11.25 & ratio_mass> 0.15254571288824081 & conc<= 18.75 & ratio_vol<= 0.2087094783782959,rule,-1.4071914772721617,0.058091286307053944,0.3291645826666166
core_mv_total> 195.5250015258789 & dp_corona> 77.5 & dp_core<= 287.5 & corona_mw_total<= 12760.52978515625,rule,1.261822506225946,0.07053941908713693,0.3230945978181321
mon_corona_mw> 71.54999923706055 & mon_core_mw> 144.07749938964844 & dp_corona> 41.5,rule,-0.6337312325206436,0.5228215767634855,0.3165353815089705
clogp_core> 1.1022250056266785 & mon_core_mw> 136.91849517822266 & clogp_core<= 1.1399999856948853,rule,1.3221354802215857,0.058091286307053944,0.30926862520479426
ratio_vol<= 0.34861548244953156 & temp> 47.0 & dp_corona> 30.0 & mon_core_mw> 137.01950073242188 & ratio_vol> 0.2065049707889557 & dp_corona<= 95.0,rule,0.6732660281705019,0.2697095435684647,0.2988014295480606
ratio_vol> 0.12835952639579773 & ratio_mass<= 0.2034248262643814 & dp_corona> 106.0,rule,1.302079345055253,0.04564315352697095,0.27175695503652264
