rule,type,coef,support,importance
conc> 12.75 & ratio_vol> 0.14268996566534042 & conc> 16.5,rule,-1.372969521137984,0.36929460580912865,0.662614066299284
corona_mw_total> 2972.0750122070312 & mon_core_apol> 21.01402473449707 & corona_mv_total<= 107.5754508972168 & sphere<= 0.5 & clogp_core<= 1.3799999952316284 & core_mv_total> 109.02000045776367 & dp_core<= 1160.0 & clogp_corona<= 0.6400000005960464 & worm<= 0.5,rule,1.6004565631256777,0.2033195020746888,0.6441329320658982
ratio_vol> 0.06241041608154774 & clogp_corona> -5.230000019073486 & ratio_vol<= 0.2598588168621063 & sphere<= 0.5 & clogp_corona<= 0.125,rule,1.3499976028808793,0.26556016597510373,0.5962008281338401
ratio_mass<= 0.25327782332897186 & dp_corona> 36.0 & mon_core_mw> 136.81749725341797 & core_mw_total<= 43889.85546875,rule,1.1949479645967893,0.2572614107883817,0.5223412349443302
conc<= 12.75 & charged> 0.5 & corona_mv_total> 25.694899559020996,rule,-1.2230992255690425,0.21161825726141079,0.49958171798352274
mon_core_mv> 1.1009750366210938 & sphere<= 0.5 & ratio_vol> 0.048236310482025146 & corona_mv_total> 25.373250007629395 & worm<= 0.5,rule,1.1790761025256653,0.22406639004149378,0.49163464296932124
core_mw_total<= 57830.359375 & core_mv_total> 241.14749908447266 & dp_corona> 29.5 & ratio_vol<= 0.23205580562353134,rule,1.0812517458044286,0.26556016597510373,0.47751431920627085
core_mw_total> 31192.76953125 & mon_core_mw<= 144.21502685546875 & ratio_vol> 0.08637072518467903 & conc> 14.0,rule,1.0501349133140472,0.17427385892116182,0.39836322382816286
sphere> 0.5 & temp> 65.0 & corona_mv_total> 78.9749526977539 & conc> 7.5 & corona_mv_total> 37.132450103759766 & ratio_mass<= 0.2250964269042015 & conc> 11.5,rule,1.5483914541422674,0.04149377593360996,0.30879461137928055
sphere> 0.5 & core_mw_total<= 188018.9140625 & dp_corona<= 106.0,rule,-0.5989071096164351,0.45228215767634855,0.2980867284534228
mon_core_psa<= 47.144775390625 & ph> 4.25,rule,-0.8371361630279148,0.8547717842323651,0.29494884034751073
sphere<= 0.5 & mon_core_psa<= 46.56034851074219 & core_mv_total<= 1374.5999755859375 & ratio_vol<= 0.24243927747011185 & clogp_corona<= 0.125,rule,0.6768821844078344,0.24481327800829875,0.2910433903485817
conc> 6.25 & mon_core_psa<= 46.54517364501953 & mon_corona_psa<= 64.99999046325684,rule,-0.6283605094095053,0.3070539419087137,0.28984508211688154
clogp_core<= 1.3499999642372131 & corona_mv_total> 71.51275253295898 & ratio_vol<= 0.24243927747011185 & conc> 12.75,rule,0.7754793909685217,0.16182572614107885,0.2856019749078053
conc<= 23.75 & conc> 8.75,rule,-0.9491468718561267,0.9004149377593361,0.28421818775911983
ratio_mass> 0.04912480339407921 & dp_core> 56.0 & dp_core<= 280.5 & ph<= 4.25 & conc> 7.5 & corona_mw_total<= 12760.52978515625 & clogp_corona<= 0.125,rule,0.854265044783664,0.0954356846473029,0.25099655360893725
dp_core<= 250.5 & ph> 4.25 & core_mw_total<= 57932.169921875,rule,-0.4954388236948668,0.4605809128630705,0.24694836711522627
ph<= 4.25 & ratio_vol<= 0.3612772226333618 & mon_core_psa<= 40.849998474121094,rule,1.486114216772703,0.024896265560165973,0.23154995588636548
temp> 65.0 & ratio_mass<= 0.2776370942592621 & conc> 6.25 & dp_corona> 28.5 & core_mw_total<= 58029.259765625,rule,0.4580632486978053,0.36929460580912865,0.2210676545757123
mon_corona_psa> 64.99999046325684 & clogp_core> 0.6649999916553497 & ratio_mass<= 0.27740293741226196 & sphere<= 0.5 & corona_mv_total<= 80.87694931030273 & ratio_mass<= 0.2624443471431732 & corona_mw_total<= 12760.52978515625,rule,0.6013400737827407,0.14937759336099585,0.2143538483302576
ratio_mass<= 0.2776370942592621 & ratio_mass> 0.26028554141521454 & mon_corona_psa> 64.99999046325684 & worm> 0.5,rule,1.4735794355724587,0.02074688796680498,0.21003782539210947
temp<= 65.0 & conc> 6.25,rule,-0.5717103326758836,0.15767634854771784,0.20835254807970296
ratio_mass<= 0.25327782332897186 & ratio_vol<= 0.16124044358730316 & conc<= 22.5 & conc> 6.25,rule,-0.45815042057423633,0.24896265560165975,0.19810980004006712
temp> 65.0 & core_mw_total<= 165692.0 & sphere<= 0.5 & mon_core_apol> 21.180723190307617 & ratio_vol<= 0.24714445322752,rule,0.47086901918332486,0.21991701244813278,0.19502933226756536
conc<= 22.5 & clogp_corona> -0.019999995827674866 & clogp_corona<= 0.26204000413417816 & clogp_core<= 1.3244499564170837 & ratio_vol<= 0.19229382276535034 & conc<= 18.75,rule,0.5873017277408311,0.12448132780082988,0.19388583926153397
clogp_core> 0.6649999916553497 & ratio_mass<= 0.24669822305440903 & clogp_core<= 1.3499999642372131,rule,0.38527389170314996,0.45643153526970953,0.1919042211500971
worm> 0.5 & ratio_vol> 0.1966133862733841 & sphere<= 0.5 & conc<= 18.75 & ratio_vol> 0.13778958469629288,rule,-0.6993576673900709,0.07883817427385892,0.18846711638587432
conc> 6.25 & mon_corona_psa<= 64.99999046325684,rule,-0.40150918649950534,0.2987551867219917,0.1837756825031914
sphere<= 0.5 & ratio_mass<= 0.2776370942592621 & corona_mv_total> 25.373250007629395 & mon_core_psa<= 46.56034851074219,rule,0.38461355695727295,0.2987551867219917,0.1760423454965955
corona_mv_total> 17.21065044403076 & corona_mw_total> 5806.375,rule,-0.4270728348678885,0.7966804979253111,0.1718832511092313
corona_mw_total> 5806.375,rule,-0.4056446090117487,0.7800829875518672,0.1680140209069432
sphere> 0.5 & conc> 7.5,rule,-0.32048183613094433,0.4979253112033195,0.16023953859879803
corona_mv_total> 25.373250007629395 & ratio_mass<= 0.25099053978919983 & clogp_core<= 1.3499999642372131 & core_mv_total> 250.03500366210938 & core_mw_total<= 57932.169921875,rule,0.37369864258933455,0.23651452282157676,0.1588001166464215
sphere<= 0.5 & corona_mw_total> 10497.1396484375 & conc<= 23.75,rule,-0.7028482586203746,0.05394190871369295,0.15877555161788634
corona_mw_total> 2502.9550170898438 & sphere> 0.5 & conc> 7.5,rule,-0.31554803366186784,0.5020746887966805,0.15777265860108294
mon_core_psa<= 47.144775390625 & mon_core_psa<= 46.54517364501953 & ratio_mass<= 0.27526772022247314 & ratio_mass> 0.09066605567932129 & sphere<= 0.5 & mon_core_mw> 137.06749725341797 & ratio_mass<= 0.272342711687088,rule,0.3135030300100423,0.3153526970954357,0.1456711230139834
corona_mw_total<= 8503.89013671875 & core_mw_total<= 52301.041015625 & mon_corona_apol> 27.579115867614746 & ratio_mass<= 0.25327782332897186 & core_mw_total<= 57902.3984375,rule,-0.4683768903774672,0.0995850622406639,0.14025356340374098
sphere> 0.5 & conc> 8.75,rule,-0.27999353383582815,0.5062240663900415,0.13998591982750533
sphere<= 0.5 & ph> 4.25 & dp_core<= 165.0,rule,-0.464237964761585,0.08713692946058091,0.13093163731060423
corona_mv_total<= 117.32430267333984 & mon_core_mw<= 146.88470458984375 & dp_core> 217.5 & charged<= 0.5 & ratio_mass<= 0.25363345444202423,rule,0.3622175924427743,0.14522821576763487,0.12762040819983192
conc<= 12.75 & ratio_mass<= 0.2499207928776741,rule,-0.28907210210720696,0.24481327800829875,0.12429419268299348
sphere<= 0.5 & ratio_mass<= 0.25953298807144165 & ratio_vol<= 0.25322093069553375 & clogp_core<= 1.117062509059906,rule,-0.2736206994773035,0.27800829875518673,0.12258686303266231
corona_mw_total> 5894.639892578125,rule,-0.283218527948461,0.7510373443983402,0.12246712743204882
ph> 4.25 & conc<= 21.25,rule,-0.2988271087265882,0.7883817427385892,0.12205760353435095
sphere> 0.5 & ratio_vol> 0.16078487783670425 & temp> 53.0 & dp_core> 223.5 & conc> 11.5 & corona_mw_total<= 12760.52978515625 & ratio_vol<= 0.2225760817527771,rule,0.7451853936228159,0.024896265560165973,0.11610658391737705
dp_core<= 223.5 & ratio_vol> 0.16078487783670425 & temp> 53.0 & dp_corona<= 42.0 & sphere<= 0.5 & ratio_mass> 0.183467797935009 & corona_mw_total<= 12760.52978515625 & ratio_vol<= 0.2225760817527771,rule,-1.0273159141447707,0.012448132780082987,0.1139032403373385
clogp_core> 0.6649999916553497 & corona_mw_total> 2502.9550170898438 & core_mv_total> 266.0325012207031 & core_mv_total<= 1445.0499877929688,rule,0.20067184852098086,0.4024896265560166,0.09840938593726349
corona_mw_total> 2502.9550170898438 & ratio_vol<= 0.2663721889257431 & mon_core_mw<= 144.41756439208984,rule,0.19608124399576857,0.4854771784232365,0.09799925731643572
conc> 18.75 & worm> 0.5 & ratio_vol> 0.1966133862733841 & sphere<= 0.5 & ratio_vol> 0.13778958469629288,rule,0.2999978522856887,0.0954356846473029,0.08814410407353099
mon_corona_psa> 64.99999046325684 & clogp_corona> -5.230000019073486 & core_mw_total<= 192080.0 & mon_core_mw<= 151.4948501586914 & ratio_vol<= 0.24299359321594238,rule,0.2022000759575673,0.22821576763485477,0.0848598165710591
mon_core_mw<= 144.21502685546875 & dp_corona> 28.0 & conc> 14.0 & ratio_mass<= 0.250987283885479 & corona_mv_total> 54.56194877624512,rule,0.23916370312578783,0.14107883817427386,0.0832535685350141
conc<= 18.75 & corona_mw_total<= 5806.375,rule,0.2744127881155254,0.07883817427385892,0.0739504109085503
ratio_mass<= 0.25327782332897186 & sphere> 0.5 & corona_mw_total> 10526.5048828125 & conc> 13.25,rule,0.31252998225828843,0.058091286307053944,0.07310575912545696
mon_core_psa<= 47.144775390625 & ratio_mass> 0.26998448371887207 & clogp_corona> -5.230000019073486 & ratio_mass<= 0.2776370942592621 & conc> 15.0,rule,0.623059338607609,0.012448132780082987,0.0690814545094691
sphere<= 0.5 & ratio_mass<= 0.2776370942592621 & mon_core_psa<= 46.56034851074219 & clogp_corona<= 0.125,rule,0.14312457610102017,0.27800829875518673,0.06412231545573899
ratio_vol> 0.16704042255878448 & ratio_mass> 0.25327782332897186 & ratio_mass<= 0.26964738965034485 & ratio_vol<= 0.249942347407341 & ratio_mass<= 0.2776370942592621,rule,-0.25274511287027596,0.058091286307053944,0.05912112242197782
conc> 7.5 & ph> 4.25,rule,-0.1239150320054169,0.8381742738589212,0.045636774198874276
conc> 6.25,rule,-0.3737142280208386,0.9875518672199171,0.04143541528525546
conc> 6.25 & dp_corona> 40.5,rule,-0.07675264916468238,0.6307053941908713,0.0370418892621152
sphere<= 0.5 & ratio_mass> 0.25953298807144165 & ratio_vol<= 0.25322093069553375 & clogp_core<= 1.117062509059906,rule,0.39782010390225137,0.008298755186721992,0.036089729937963694
