rule,type,coef,support,importance
core_BzMA> 0.5,rule,-3.830791886305718,0.5601659751037344,1.9014781234555638
core_BzMA<= 0.5 & core_mv_total> 75.84000015258789 & temp> 47.0 & dp_corona<= 95.5 & corona_mv_total<= 107.5754508972168 & salt<= 0.15000000596046448 & clogp_core<= 1.3799999952316284,rule,-1.493159910961871,0.34439834024896265,0.709507300271713
core_BzMA<= 0.5 & corona_mw_total<= 14063.41015625 & salt<= 0.15000000596046448 & clogp_corona<= 0.7300000041723251 & clogp_core<= 1.3799999952316284,rule,-0.9764095660439724,0.4315352697095436,0.48360628489848884
salt<= 0.20000000670552254 & core_mw_total> 8379.31982421875 & clogp_corona<= 0.7300000041723251 & mon_core_psa<= 46.57552528381348,rule,-1.2219299058421558,0.8672199170124482,0.4146459077921343
core_BzMA<= 0.5 & temp> 47.0 & corona_mw_total<= 14063.41015625 & salt<= 0.15000000596046448 & clogp_core<= 1.3799999952316284,rule,-0.6955644328067151,0.45228215767634855,0.34619479861693825
salt<= 0.20000000670552254 & mon_corona_mv> 0.7838499844074249 & mon_core_psa<= 46.58311080932617 & clogp_corona<= 0.7300000041723251,rule,-0.6192132987631073,0.8215767634854771,0.23707734523077623
salt<= 0.20000000670552254 & mon_core_psa<= 46.575523376464844 & corona_mv_total> 38.33705139160156,rule,-0.5574783622842854,0.8381742738589212,0.20531418770253793
core_BzMA<= 0.5,rule,0.3260949576532778,0.43983402489626555,0.16186272879074165
clogp_corona> 0.125 & conc> 17.5 & core_mv_total<= 262.94000244140625,rule,1.447557208415372,0.012448132780082987,0.1604973254497327
salt<= 0.20000000670552254 & dp_corona<= 120.0 & mon_corona_mv> 0.7838499844074249 & clogp_corona<= 0.7300000041723251 & mon_core_psa<= 46.575523376464844,rule,-0.34372072133164855,0.8132780082987552,0.13394390756538915
core_mw_total> 18010.0 & core_BzMA<= 0.5 & corona_mw_total> 14063.41015625,rule,0.9227513750485034,0.016597510373443983,0.11788860459212842
mon_corona_mv<= 0.7838499844074249 & conc> 18.75 & mon_core_psa<= 46.56034851074219 & ratio_vol<= 0.16369593143463135 & core_mv_total<= 278.4750061035156,rule,0.8491731995491403,0.012448132780082987,0.09415173823798276
corona_mv_total<= 39.6070499420166 & dp_core> 54.0 & core_DAAM> 0.5,rule,0.4965685489298971,0.029045643153526972,0.08339098725022645
mon_corona_mv<= 0.7838499844074249 & core_mv_total<= 308.1000061035156 & core_BzMA<= 0.5 & conc> 18.75,rule,0.532204316771774,0.02074688796680498,0.07585816866100002
salt<= 0.20000000670552254 & mon_core_psa<= 46.567935943603516 & corona_mv_total> 38.33705139160156,rule,-0.20108196137132808,0.8423236514522822,0.07328175936315014
core_EGEMA<= 0.5 & clogp_corona> 0.125 & conc> 17.5 & core_BzMA<= 0.5,rule,0.5246647920362151,0.012448132780082987,0.05817199858486678
mon_corona_mv<= 0.7838499844074249 & mon_core_psa<= 46.575523376464844 & conc> 17.5 & core_BzMA<= 0.5 & ratio_vol> 0.10737603530287743,rule,0.43026331756905284,0.008298755186721992,0.03903293669918412
mon_corona_mv<= 0.7838499844074249 & conc> 18.75 & core_EGEMA<= 0.5 & mon_core_psa<= 46.58311080932617 & core_BzMA<= 0.5,rule,0.34214072994348055,0.012448132780082987,0.03793471633736694
clogp_corona> -0.1361449956893921,rule,-0.07948392762210635,0.6721991701244814,0.03731069419900875
clogp_corona<= -1.0511450171470642 & clogp_core> 1.1084749698638916,rule,0.09193167340403899,0.04149377593360996,0.01833386853583012
clogp_core> 1.1070625185966492 & clogp_corona<= -0.1361449956893921,rule,0.07587058832391361,0.04564315352697095,0.01583494902828781
salt<= 0.20000000670552254 & core_mw_total> 28888.0400390625 & core_mw_total> 8406.06982421875 & mon_core_psa<= 46.575523376464844,rule,-0.030602673244517688,0.4896265560165975,0.01529804316494747
