rule,type,coef,support,importance
dp_core> 208.5 & corona_mw_total<= 14063.41015625 & conc> 16.100000381469727 & temp> 47.0 & mon_core_mw<= 145.30955505371094 & ph> 4.25,rule,-3.420756330957642,0.1115702479338843,1.0769806128416737
corona_mv_total<= 46.47684860229492 & ratio_mass<= 0.4528997391462326 & conc> 6.25,rule,-2.116995593155491,0.2024793388429752,0.8507094996974095
salt<= 0.20000000670552254 & mon_corona_mw<= 315.11000061035156 & mon_core_psa<= 46.58311080932617 & charged> 0.5 & conc<= 16.5 & mon_core_mw> 144.0270004272461,rule,2.1562027706160194,0.17768595041322313,0.8242045349298234
mon_core_mw> 136.05999755859375 & core_mv_total<= 598.7518615722656 & ratio_vol<= 0.2730328440666199 & conc> 16.100000381469727 & clogp_core<= 1.3499999642372131 & core_mw_total> 15514.4501953125,rule,-1.7525425244140795,0.28512396694214875,0.7912264476451567
core_mw_total> 28815.5 & clogp_corona<= 0.26204000413417816 & mon_core_mw<= 145.30955505371094 & corona_mv_total<= 121.87800216674805,rule,-1.6352572323252528,0.3347107438016529,0.7716603046217297
ratio_mass> 0.32691285014152527 & corona_mw_total<= 14063.41015625 & corona_mv_total> 47.563249588012695 & clogp_core<= 1.3700000047683716 & mon_core_apol> 20.513930320739746,rule,2.084867053953477,0.1115702479338843,0.6563932593326928
clogp_core<= 1.3700000047683716 & mon_corona_mv<= 1.27847820520401 & ratio_mass> 0.18284936994314194,rule,1.2431049236459415,0.41735537190082644,0.61300309019406
clogp_corona> -3.005000114440918 & ratio_vol<= 0.4202622175216675 & clogp_core<= 1.3700000047683716 & dp_corona<= 64.0,rule,-1.227894124800535,0.4628099173553719,0.6122464038300048
charged> 0.5 & conc<= 21.5 & corona_mv_total<= 71.51275253295898 & mon_core_mw<= 145.30955505371094,rule,2.1016108271631455,0.09090909090909091,0.6041706335550913
core_mv_total<= 181.1636962890625 & corona_mw_total<= 6338.16015625,rule,1.5016829230961513,0.1487603305785124,0.5343769743493884
conc<= 16.100000381469727 & mon_core_mw<= 145.30955505371094 & core_mv_total<= 103.09500122070312,rule,-2.00427655771299,0.05785123966942149,0.4679222776189756
mon_corona_apol<= 23.610912322998047 & dp_core> 104.0 & dp_corona<= 64.0 & mon_core_psa> 30.91499900817871,rule,-0.974520716210448,0.2768595041322314,0.43604582782651397
dp_corona<= 62.5 & mon_corona_apol<= 23.610912322998047 & clogp_core<= 1.1800000071525574 & mon_core_psa<= 46.78045082092285,rule,-0.8623647839455033,0.36363636363636365,0.4148368650435905
core_mv_total<= 353.7225036621094 & dp_corona<= 28.5 & mon_core_psa<= 47.144775390625,rule,1.6189550409985152,0.07024793388429752,0.413747270898536
core_mv_total> 142.09529876708984 & ratio_mass<= 0.3258424550294876 & dp_corona> 28.5 & core_mw_total<= 58922.912109375 & mon_core_psa> 35.45249938964844,rule,-0.8237349797208577,0.48760330578512395,0.4117408804335199
dp_core> 250.5,rule,0.869480286580527,0.33884297520661155,0.41153927805971
dp_core<= 200.5 & core_mw_total> 15828.89990234375 & dp_corona<= 59.0 & core_mw_total<= 43223.25 & dp_corona> 28.5,rule,-1.035630351980777,0.1859504132231405,0.4029292302235481
conc> 18.75,rule,0.6678198807495614,0.43388429752066116,0.33097783500938616
mon_core_mw> 144.89492797851562,rule,0.6950944800790279,0.256198347107438,0.3034314350157404
charged> 0.5 & corona_mv_total<= 71.51275253295898,rule,0.833908715580173,0.15289256198347106,0.30011032659338643
corona_mv_total<= 151.3578872680664 & conc<= 14.25,rule,0.5536071919476454,0.4090909090909091,0.27218987959539137
dp_core> 93.5 & mon_corona_mv<= 1.3572869896888733 & dp_corona<= 64.0 & clogp_core<= 1.3499999642372131 & ratio_vol<= 0.3038876950740814,rule,-0.5885428437519492,0.2603305785123967,0.2582614039591421
mon_core_mw> 144.89492797851562 & conc> 6.25,rule,0.5795126047975814,0.26859504132231404,0.2568566606868236
ratio_mass<= 0.43092384934425354 & dp_corona<= 62.5 & charged<= 0.5,rule,-0.5445129787284805,0.3305785123966942,0.2561505959461706
