rule,type,coef,support,importance
clogp_corona<= 0.7300000041723251 & core_BzMA<= 0.5 & mon_core_apol> 20.513930320739746 & core_mv_total<= 266.0325012207031,rule,1.4342047328565477,0.2809917355371901,0.6446513045295048
ratio_vol> 0.2072615921497345 & core_BzMA> 0.5 & ratio_vol> 0.2153598666191101,rule,-1.4229175029218453,0.2644628099173554,0.6275731343784714
ratio_mass<= 0.41828179359436035 & ratio_vol> 0.21352563798427582 & dp_corona> 25.5 & conc> 11.5 & dp_corona<= 99.0,rule,1.4180586617947526,0.24793388429752067,0.6123365037414256
dp_core> 146.0 & dp_corona> 41.5 & core_BzMA<= 0.5 & dp_corona<= 70.0 & ratio_mass<= 0.2571306973695755,rule,-1.4311983553040446,0.1487603305785124,0.5092948951063133
corona_mv_total<= 106.75745010375977 & clogp_core<= 1.1399999856948853 & clogp_core> 1.1022250056266785,rule,2.076880017630835,0.06198347107438017,0.5007887914238714
conc<= 11.25 & conc> 8.75 & mon_core_psa<= 46.76527404785156 & clogp_corona<= 0.25,rule,-1.038715301454018,0.33884297520661155,0.49164098584812516
clogp_core<= 1.1349999904632568 & ratio_mass> 0.13556132465600967 & charged<= 0.5,rule,0.981955013880935,0.3512396694214876,0.4687437769497067
conc> 8.75 & mon_core_psa<= 46.78045082092285 & dp_corona> 25.5 & ratio_vol<= 0.20577701181173325 & dp_core> 139.0,rule,-0.9149756414858331,0.4380165289256198,0.45395891909013414
dp_core<= 299.0 & clogp_core<= 1.1399999856948853 & ratio_mass<= 0.41409866511821747,rule,0.9074642194035848,0.5247933884297521,0.4531739371302729
ratio_vol<= 0.11640449240803719 & clogp_corona<= 0.17204000055789948 & conc> 11.25 & dp_corona<= 46.5 & conc> 18.75,rule,-2.2799571021876264,0.0371900826446281,0.4314301827837161
dp_core<= 177.5 & core_mw_total<= 32778.19921875,rule,-0.874850899242574,0.40082644628099173,0.42873461106550176
core_mw_total> 23773.2001953125 & ratio_mass> 0.11229489371180534 & core_mw_total<= 50347.9609375 & ratio_vol<= 0.23803839087486267 & dp_corona> 77.5,rule,1.7570999034984223,0.05785123966942149,0.41021593835694603
dp_corona> 41.5,rule,-0.8514481268116412,0.6446280991735537,0.40752509111225055
mon_corona_psa> 93.28999710083008 & conc> 11.25 & ratio_vol<= 0.2458944171667099 & core_mw_total> 29392.3203125,rule,2.108421263466588,0.0371900826446281,0.39897091493943654
mon_core_mw> 136.05999755859375 & ratio_mass> 0.2571306973695755 & core_BzMA<= 0.5,rule,1.0288481850969735,0.1652892561983471,0.38215681628406967
