rule,type,coef,support,importance
ratio_mass> 0.04836334474384785 & mon_core_apol> 22.060723304748535 & corona_mw_total> 2972.0750122070312 & ratio_mass<= 0.2776370942592621 & core_DAAM<= 0.5 & core_BzMA<= 0.5 & corona_mv_total<= 107.5754508972168,rule,1.541514809542688,0.19008264462809918,0.6048383040111659
conc> 7.5 & conc<= 27.5 & core_BzMA> 0.5 & corona_mw_total<= 10526.5048828125,rule,-1.1767295933242015,0.3677685950413223,0.5674165885252891
mon_core_mw<= 144.21502685546875 & mon_core_mw> 143.06749725341797 & ph> 3.8499999046325684 & dp_core<= 1213.0 & ratio_vol<= 0.2598588168621063 & clogp_corona> -5.230000019073486 & mon_corona_psa> 64.99999046325684,rule,1.3469197395298784,0.21487603305785125,0.5532288553594228
ratio_vol> 0.045436443760991096 & conc<= 21.25 & corona_mw_total> 5806.375,rule,-1.0845500113222115,0.6652892561983471,0.5117874885802296
ratio_vol<= 0.2661999613046646 & ratio_mass> 0.04836334474384785 & temp> 65.0 & clogp_corona> -5.230000019073486 & core_BzMA<= 0.5,rule,1.0324792271859957,0.2768595041322314,0.4619791573879424
mon_corona_psa> 64.99999046325684 & ratio_mass<= 0.36308322846889496 & dp_corona<= 44.5,rule,1.0583177981953913,0.24380165289256198,0.4544146085088538
ratio_vol> 0.16736537218093872 & ratio_mass<= 0.24801789224147797,rule,-1.038271165066333,0.256198347107438,0.4532392625470476
ratio_mass<= 0.24669822305440903 & corona_mv_total> 25.373250007629395 & clogp_core<= 1.105650007724762 & dp_corona> 36.0 & core_mv_total<= 475.7774963378906,rule,0.8488715736911107,0.26859504132231404,0.37624430593088903
clogp_core> 0.8700000047683716 & clogp_core<= 1.1800000071525574 & clogp_corona> -5.230000019073486 & dp_core<= 1060.0 & mon_corona_psa> 64.99999046325684 & ratio_vol<= 0.24269799888134003,rule,0.8841246440121642,0.23553719008264462,0.37516422859131887
ratio_vol> 0.04581556282937527 & clogp_corona> -5.230000019073486 & ratio_vol<= 0.2249355912208557 & mon_corona_psa> 64.99999046325684 & mon_core_mv> 1.1306999921798706,rule,0.9120256641295501,0.21487603305785125,0.3746020638177869
ratio_mass> 0.04836334474384785 & clogp_core<= 1.162500023841858 & mon_core_mw> 136.81749725341797 & corona_mw_total> 2972.0750122070312 & core_BzMA<= 0.5 & ratio_vol<= 0.25264447927474976 & salt<= 0.15000000596046448 & clogp_corona<= 0.25,rule,0.7913825423157924,0.256198347107438,0.34546431793557686
mon_core_mw<= 144.21502685546875 & dp_core<= 550.0 & core_mw_total> 30760.5302734375 & corona_mv_total<= 118.1515007019043 & conc> 12.75 & ratio_mass<= 0.250987283885479,rule,0.9473782107447211,0.15702479338842976,0.34467906642838086
core_mv_total<= 1374.5999755859375 & temp> 65.0 & core_BzMA<= 0.5 & ratio_vol<= 0.25945471227169037,rule,0.7501596999956749,0.28512396694214875,0.338677199740173
mon_core_psa<= 47.144775390625 & conc> 6.25,rule,-2.7675155986830786,0.987603305785124,0.3062205197211887
corona_mw_total<= 8503.89013671875 & ratio_vol> 0.1057920902967453 & ph> 3.8499999046325684,rule,-0.6688767506397405,0.2892561983471074,0.30328014435662015
dp_core<= 165.5 & ph> 3.8499999046325684,rule,-0.7049164635048123,0.24380165289256198,0.30267310947731535
dp_corona<= 34.5 & ph<= 4.0 & ratio_mass<= 0.37267646193504333,rule,1.7335472648772068,0.028925619834710745,0.29053822054335965
ph> 4.0 & conc> 6.25,rule,-0.7320269865094513,0.8429752066115702,0.2663290916434713
core_DAAM<= 0.5 & core_BzMA<= 0.5 & dp_core<= 386.0 & mon_core_apol> 21.01402473449707,rule,0.7578714601913809,0.14049586776859505,0.2633609091708243
ratio_vol> 0.04581556282937527 & clogp_core<= 1.112500011920929 & clogp_corona> -5.230000019073486 & mon_corona_psa> 64.99999046325684 & ratio_vol> 0.2249355912208557,rule,-0.63648586535925,0.2190082644628099,0.26323415231798347
mon_core_mw<= 144.21502685546875 & conc<= 12.75 & ratio_vol<= 0.1997920423746109 & ratio_mass<= 0.250987283885479 & conc> 6.25,rule,-0.798023004891078,0.12396694214876033,0.26298356171221493
core_BzMA<= 0.5 & ph<= 4.25 & ratio_vol<= 0.3722815066576004,rule,0.826330910218287,0.07851239669421488,0.22226335446033949
mon_core_mw> 143.06749725341797 & core_mv_total<= 1514.5499877929688 & ratio_vol<= 0.2663721889257431 & mon_corona_psa> 64.99999046325684 & mon_core_mw<= 144.41756439208984,rule,0.4463020025080472,0.3181818181818182,0.2078743021113244
mon_corona_mw<= 163.93566131591797 & ratio_vol<= 0.2661999613046646 & clogp_core<= 1.1800000071525574,rule,0.4353165624481004,0.3140495867768595,0.20204618994427861
