rule,type,coef,support,importance
sphere> 0.5,rule,-2.84692899695489,0.5206611570247934,1.422248672482632
salt<= 0.20000000670552254 & clogp_core<= 1.4000000357627869 & mon_core_psa<= 46.58311080932617 & clogp_corona<= 0.7300000041723251,rule,-1.6535654710753265,0.8099173553719008,0.6488031959896191
mon_corona_mv> 0.7838499844074249 & corona_mv_total> 38.402448654174805 & salt<= 0.15000000596046448 & mon_core_psa<= 46.575523376464844 & clogp_corona<= 0.7300000041723251,rule,-1.1776666456152707,0.743801652892562,0.5140899409941906
mon_corona_mv> 0.7838499844074249 & salt<= 0.20000000670552254 & core_mw_total> 8379.31982421875 & mon_core_psa<= 46.58311080932617,rule,-0.8282926811908554,0.8223140495867769,0.3166133507432816
sphere<= 0.5 & dp_core<= 235.0 & clogp_corona> 0.125 & conc> 17.5,rule,2.1780112528642896,0.01652892561983471,0.2776919098865661
corona_mv_total<= 117.32430267333984 & clogp_corona<= 0.7300000041723251,rule,-0.7021120104179935,0.8966942148760331,0.2136933008280149
mon_core_psa<= 46.58311080932617 & core_mw_total<= 33858.7998046875 & mon_corona_mv<= 0.7838499844074249 & sphere<= 0.5 & conc> 17.5,rule,1.2126853275261509,0.01652892561983471,0.15461485988618795
clogp_core<= 1.1115124821662903 & clogp_corona<= 0.7300000041723251,rule,-0.3393473554733632,0.7520661157024794,0.14653468068906575
clogp_core<= 1.4000000357627869 & mon_core_psa> 37.18000030517578 & salt<= 0.15000000596046448 & clogp_corona<= 0.6520400047302246 & sphere<= 0.5,rule,-0.264530245016299,0.4380165289256198,0.1312448754365083
sphere<= 0.5 & corona_mw_total> 14063.41015625,rule,0.7583756147790024,0.01652892561983471,0.09669131534670813
clogp_core<= 1.4000000357627869 & temp> 47.0 & sphere<= 0.5 & corona_mv_total> 107.5754508972168,rule,0.6320627794175379,0.012396694214876033,0.06993658604914776
corona_mw_total> 5957.905029296875 & corona_mw_total<= 6681.97998046875 & sphere<= 0.5,rule,0.5791950386239406,0.012396694214876033,0.06408686759769473
conc> 18.75 & dp_core<= 235.0 & sphere<= 0.5 & mon_corona_mv<= 0.7838499844074249,rule,0.478535186843144,0.01652892561983471,0.06101224215790469
mon_corona_mv> 0.7838499844074249 & clogp_corona> -5.230000019073486 & clogp_corona<= 0.7300000041723251,rule,-0.15621178331789667,0.8305785123966942,0.05859875397665181
mon_core_psa<= 46.575523376464844 & salt<= 0.20000000670552254 & clogp_corona<= 0.7300000041723251,rule,-0.2085944601971193,0.9214876033057852,0.05610694683199987
sphere<= 0.5 & corona_mv_total> 117.32430267333984,rule,0.4140516465262866,0.01652892561983471,0.0527907247331041
mon_core_psa<= 46.575523376464844 & salt<= 0.20000000670552254 & core_mw_total> 8440.11962890625,rule,-0.14617435979871157,0.8760330578512396,0.04817085915476189
conc> 18.75 & mon_core_apol<= 24.274309158325195 & salt<= 0.20000000670552254 & clogp_corona> 0.125 & core_mv_total<= 262.94000244140625 & mon_core_psa<= 46.58311080932617,rule,0.3969265864515652,0.012396694214876033,0.04391919801723754
conc> 17.5 & sphere<= 0.5 & core_mv_total<= 266.625 & mon_corona_mv<= 0.7838499844074249,rule,0.26476211746729256,0.012396694214876033,0.029295442183558663
conc> 18.75 & core_mv_total> 188.31749725341797 & ratio_vol> 0.12177855148911476 & mon_corona_mv<= 0.7838499844074249,rule,0.22903293942861738,0.01652892561983471,0.02920122395750996
mon_core_psa<= 46.567935943603516 & clogp_corona<= 0.6520400047302246 & salt<= 0.20000000670552254,rule,-0.0649598089994349,0.9421487603305785,0.015165642517614032
clogp_core<= 1.4000000357627869 & sphere<= 0.5 & corona_mv_total> 107.5754508972168 & clogp_corona<= 0.7300000041723251,rule,0.07385422745109202,0.02066115702479339,0.010505559063894849
salt<= 0.20000000670552254 & mon_core_psa<= 46.56034851074219 & clogp_corona<= 0.7300000041723251,rule,-0.035100660812010256,0.9214876033057852,0.009441242629772957
mon_corona_mv> 0.7838499844074249 & clogp_corona<= 0.125 & core_mw_total> 8379.31982421875 & salt<= 0.15000000596046448,rule,-0.02242413643672359,0.8099173553719008,0.008798473143003104
conc> 6.25 & salt<= 0.15000000596046448,rule,-0.03881778626194191,0.9669421487603306,0.00694014142648429
conc> 6.25 & salt<= 0.20000000670552254,rule,-0.02022189792902042,0.9586776859504132,0.004024857792974931
