rule,type,coef,support,importance
mon_core_psa<= 47.144775390625 & charged<= 0.5 & ratio_mass<= 0.4180891811847687 & dp_corona<= 62.5 & corona_mw_total<= 14338.47998046875 & clogp_core<= 1.3700000047683716,rule,-2.219702551976905,0.2880658436213992,1.005218746709553
ratio_mass<= 0.284612700343132 & dp_corona<= 95.0 & conc> 16.100000381469727 & corona_mv_total> 45.89739990234375 & mon_core_mw<= 144.21502685546875,rule,-2.2732956948481164,0.13991769547325103,0.7886099593083159
temp> 47.0 & conc> 6.25 & core_mv_total> 248.8499984741211 & mon_core_mw<= 144.89492797851562 & corona_mv_total> 37.27190017700195,rule,-1.4239887638465665,0.3497942386831276,0.6791071378416249
mon_core_mw> 144.89492797851562,rule,1.2737425520337982,0.25925925925925924,0.5581898193304343
ratio_mass<= 0.32691285014152527 & dp_corona<= 62.5 & dp_corona> 28.5 & ratio_vol> 0.1373351514339447,rule,-1.0742408805073904,0.411522633744856,0.5286441378603377
temp> 47.0 & dp_core> 96.5 & core_mw_total<= 62401.591796875 & conc> 16.100000381469727,rule,-1.0877522725097364,0.2839506172839506,0.49048179805067765
ratio_vol> 0.20205283910036087 & mon_corona_apol<= 24.189985275268555,rule,1.0254095681049333,0.32098765432098764,0.4787186701223131
core_mw_total<= 43780.015625 & ratio_mass<= 0.32691285014152527 & dp_corona<= 28.5,rule,1.9797650597681453,0.06172839506172839,0.476453404656754
corona_mw_total<= 12760.52978515625 & dp_core<= 250.5 & dp_corona<= 62.5 & dp_core> 104.5,rule,-0.9874231913226998,0.345679012345679,0.4696077491629274
mon_corona_mv<= 0.7838499844074249 & conc> 6.25 & core_mv_total> 182.60625457763672 & mon_core_mw> 143.93306732177734,rule,-1.8405337772344847,0.06995884773662552,0.469479030030955
corona_mw_total> 5113.050048828125 & mon_corona_psa> 64.99999046325684 & ratio_vol<= 0.31153184175491333 & mon_core_mw<= 145.30955505371094 & corona_mv_total<= 85.00909805297852 & clogp_corona> -4.0350000858306885,rule,-1.1196250750121786,0.2139917695473251,0.45918183383842465
dp_core> 93.5 & ratio_vol<= 0.3082078844308853 & clogp_core<= 1.3700000047683716 & mon_corona_apol<= 58.23068809509277 & corona_mv_total<= 122.24875259399414,rule,-0.9508328436439143,0.6337448559670782,0.4580925879547089
corona_mw_total<= 9204.02490234375 & charged> 0.5 & conc<= 22.5,rule,1.535964689267618,0.09053497942386832,0.4407399675444304
clogp_core<= 1.1800000071525574 & dp_corona<= 62.5 & mon_corona_apol<= 23.610912322998047,rule,-0.90794139660359,0.3497942386831276,0.43300164919126327
dp_core> 37.0 & core_mw_total> 12102.72021484375 & clogp_corona> -0.019999995827674866,rule,0.8584561274035317,0.4444444444444444,0.42657027923900376
mon_core_psa<= 46.575523376464844 & mon_core_mw> 144.21502685546875,rule,1.0029641117011925,0.21810699588477367,0.4141845120758836
dp_corona> 27.5 & ratio_vol<= 0.3003617376089096 & corona_mw_total> 10396.32470703125 & conc> 16.5 & ratio_vol<= 0.27414771914482117 & corona_mw_total<= 15206.64990234375 & mon_core_mw<= 145.30955505371094,rule,-1.463218893597869,0.06584362139917696,0.36289079037292904
mon_corona_mv<= 2.179200053215027 & core_mw_total> 39701.697265625 & core_mv_total> 182.60625457763672,rule,0.684360249046557,0.29218106995884774,0.3112231541881942
