rule,type,coef,support,importance
clogp_core<= 1.1800000071525574 & ratio_vol<= 0.2663028985261917 & clogp_core> 0.8700000047683716 & mon_corona_psa> 64.99999046325684 & clogp_corona> -5.230000019073486 & ratio_mass> 0.04836334474384785,rule,2.3103915978820257,0.2757201646090535,1.0324595795312437
mon_corona_mv<= 1.9341000318527222 & dp_corona<= 87.0 & ratio_mass<= 0.2503932863473892 & mon_core_apol> 21.01402473449707 & clogp_core<= 1.1800000071525574 & corona_mw_total> 2972.0750122070312 & ratio_mass> 0.05505071580410004 & mon_corona_apol<= 24.010971069335938 & clogp_corona> -5.230000019073486 & dp_core> 99.5,rule,1.6775814919633087,0.23868312757201646,0.715117182983341
mon_core_psa<= 46.56034851074219 & corona_mv_total> 23.207500457763672 & mon_core_mw> 136.05999755859375 & clogp_corona<= 0.26204000413417816 & sphere<= 0.5 & ratio_vol<= 0.2598588168621063,rule,1.4930070188705533,0.30864197530864196,0.6896692272422651
mon_core_psa<= 46.59070014953613 & sphere> 0.5 & conc> 7.5 & corona_mw_total> 3982.2750244140625,rule,-1.2036631465073284,0.5185185185185185,0.6014186527431291
corona_mw_total> 10526.5048828125 & sphere> 0.5 & conc> 11.25 & ratio_mass<= 0.22923817485570908,rule,2.5263612436248515,0.053497942386831275,0.5684925410396378
ratio_mass<= 0.26028554141521454 & ratio_vol<= 0.26070041954517365,rule,-1.1170894942415615,0.6296296296296297,0.5394468531619406
core_mw_total<= 43780.015625 & dp_core> 215.5 & ratio_vol<= 0.22674328833818436 & clogp_corona> -5.230000019073486,rule,1.4466227609507312,0.12345679012345678,0.47588218768700186
conc> 6.25 & clogp_corona> -5.230000019073486 & core_mv_total> 229.29750061035156 & conc<= 22.5,rule,-0.9336744166122871,0.45267489711934156,0.4647413855534107
corona_mv_total> 17.21065044403076 & conc<= 18.75 & corona_mw_total<= 5806.375,rule,1.4248225523202556,0.09053497942386832,0.4088481003854554
clogp_core<= 1.162500023841858 & ratio_mass> 0.10285210609436035 & conc> 6.25 & ratio_vol<= 0.23616201430559158 & dp_core> 102.0 & core_mw_total<= 179647.796875 & conc> 14.25 & clogp_corona<= 0.26204000413417816 & conc> 12.75,rule,0.858059861044271,0.23045267489711935,0.36134839484945663
