rule,type,coef,support,importance
ratio_mass<= 0.3258424550294876 & conc<= 22.5 & dp_corona> 28.5 & dp_corona<= 62.5,rule,-1.8697827589310088,0.43388429752066116,0.9266819801684508
ratio_mass<= 0.6375802457332611 & mon_core_mw<= 145.30955505371094 & mon_corona_apol<= 23.610912322998047 & dp_corona<= 64.0,rule,-1.5385886952053827,0.30991735537190085,0.7115346244478149
core_mw_total<= 38181.201171875 & dp_core> 104.0 & dp_corona> 28.0,rule,-1.3284423656367181,0.4214876033057851,0.6559812938158741
core_mw_total> 6051.35986328125 & mon_core_mw<= 145.30955505371094 & core_mv_total<= 100.13249969482422,rule,-2.7998268186746538,0.049586776859504134,0.60781350333466
clogp_core<= 1.1800000071525574 & conc<= 16.5 & clogp_core<= 1.1094499826431274 & core_mv_total> 152.86499786376953 & corona_mv_total> 80.2186508178711,rule,1.622869797130952,0.1322314049586777,0.5497344433310316
clogp_corona<= 0.7300000041723251 & mon_core_mw<= 146.06500244140625 & corona_mw_total<= 12760.52978515625 & conc> 14.5,rule,-1.1187931314995978,0.3512396694214876,0.5340645046577457
ratio_vol> 0.10414684936404228 & ratio_mass<= 0.28840941190719604 & mon_core_psa> 30.91499900817871 & clogp_corona<= 0.125 & mon_core_mw> 144.07749938964844 & conc> 17.25 & dp_core> 96.5,rule,-1.2423774942688735,0.2190082644628099,0.5138153168228161
dp_corona<= 112.5 & clogp_core> 0.6649999916553497,rule,1.6876767428043504,0.9173553719008265,0.4646922020296995
dp_corona<= 62.5 & clogp_core<= 1.4000000357627869 & charged<= 0.5 & dp_core> 96.5,rule,-1.126291311766433,0.21487603305785125,0.4626087471457571
mon_core_mw<= 144.89492797851562 & corona_mv_total> 46.47684860229492 & ratio_mass<= 0.28667521476745605 & dp_core<= 404.5 & conc> 16.100000381469727 & dp_corona<= 87.0,rule,-1.2965767135009536,0.1446280991735537,0.4560390647412686
conc<= 16.5 & mon_core_mw> 143.97650146484375 & charged> 0.5 & dp_corona> 28.5 & mon_corona_mv<= 2.179200053215027,rule,1.0999958496100175,0.15702479338842976,0.40020504822528413
ratio_mass<= 0.4341815710067749 & corona_mw_total<= 5113.050048828125 & conc> 6.25,rule,-1.0320379681004035,0.15702479338842976,0.3754803301670429
