rule,type,coef,support,importance
ratio_vol> 0.15598160028457642 & conc<= 24.0 & charged> 0.5 & clogp_core<= 1.1022250056266785 & clogp_core<= 1.1225000023841858,rule,-1.7468767010864847,0.21487603305785125,0.7175057053759086
dp_corona> 41.5,rule,-1.4924593323391169,0.6570247933884298,0.7084753563914852
dp_core<= 278.5 & ratio_mass<= 0.41608381271362305 & clogp_core<= 1.4000000357627869,rule,1.0580032014848113,0.5165289256198347,0.5287124695596441
ratio_mass> 0.23039664328098297 & sphere> 0.5,rule,-1.1710246842269858,0.2809917355371901,0.5263562258783069
clogp_corona<= 0.7300000041723251 & ratio_vol> 0.18579816073179245 & dp_corona> 30.0 & conc> 11.25,rule,1.081739775559683,0.34297520661157027,0.513505431207524
ratio_vol<= 0.21352563798427582 & ratio_mass<= 0.3983301371335983 & mon_core_psa<= 46.77286148071289 & dp_corona> 25.5,rule,-1.0355328277691542,0.4049586776859504,0.5083265447204579
mon_core_mw> 144.07749938964844 & ratio_mass> 0.3086767792701721 & sphere> 0.5,rule,-1.3898088581512336,0.14049586776859505,0.4829596358780219
core_mv_total> 330.0224914550781 & conc> 11.25 & clogp_core<= 1.4000000357627869 & clogp_corona<= -5.230000019073486 & conc<= 21.5,rule,3.2846344797063898,0.02066115702479339,0.4672301467470131
conc> 11.25 & ratio_mass> 0.1988619714975357 & clogp_corona> -5.230000019073486 & mon_core_psa> 46.349998474121094 & ratio_vol<= 0.33588677644729614 & corona_mv_total> 93.05669784545898,rule,1.8916582351419071,0.049586776859504134,0.4106594777021704
corona_mw_total<= 5985.85498046875 & ratio_mass> 0.16077952086925507 & clogp_core<= 1.4000000357627869,rule,1.1238491759532279,0.14049586776859505,0.3905384439139352
dp_corona<= 63.5 & conc<= 24.0 & ratio_vol> 0.19606174528598785 & clogp_core<= 1.1022250056266785 & clogp_core<= 1.1225000023841858 & charged<= 0.5,rule,1.3520949230282366,0.09090909090909091,0.3886999608653888
ratio_vol<= 0.245297871530056 & dp_core> 176.0,rule,0.7051198274647611,0.5413223140495868,0.3513538349592072
core_mw_total<= 32778.19921875 & core_mv_total> 75.84000015258789 & mon_core_psa<= 37.18000030517578 & sphere<= 0.5,rule,-2.045586174760695,0.028925619834710745,0.3428351676498235
core_mv_total<= 237.59249877929688 & temp> 47.0 & core_mv_total> 120.64718627929688 & ratio_mass> 0.1812993735074997 & corona_mw_total<= 10497.1396484375 & ratio_vol> 0.23847127705812454,rule,0.9515987862115292,0.15289256198347106,0.34246508902011313
ratio_vol> 0.2072615921497345 & ratio_vol> 0.21672466397285461,rule,-0.679598742419858,0.45867768595041325,0.33863694521425824
clogp_core> 1.1022250056266785 & conc<= 24.0 & clogp_core<= 1.1225000023841858,rule,1.1245430455619028,0.08677685950413223,0.31656762817122996
dp_corona<= 77.5 & ratio_mass<= 0.277507483959198,rule,-0.6170236479572925,0.5041322314049587,0.30850128791239045
ratio_vol> 0.21378567814826965 & corona_mw_total<= 12760.52978515625 & conc> 11.25,rule,0.6817856683871458,0.28512396694214875,0.30780813871189305
clogp_corona<= 0.25 & mon_core_mw<= 146.474853515625 & corona_mw_total<= 12760.52978515625 & conc<= 14.5 & dp_corona<= 46.0,rule,-0.9037217418966097,0.1322314049586777,0.30612866761460517
dp_corona<= 95.5 & ratio_vol<= 0.21378567814826965 & dp_corona> 34.5 & sphere<= 0.5 & dp_core> 146.5,rule,-0.7835495957386637,0.18181818181818182,0.3022108541142475
ratio_mass> 0.13430433720350266 & corona_mw_total<= 7450.64501953125 & clogp_core<= 1.1399999856948853,rule,0.8048013746301197,0.1487603305785124,0.286390233858666
ratio_vol<= 0.3410034775733948 & clogp_core<= 1.3600000143051147 & core_mv_total<= 283.0776062011719 & dp_corona> 30.0,rule,0.5747026984674201,0.3677685950413223,0.2771204586258914
core_mv_total> 132.6416473388672 & mon_core_mw> 136.8679962158203 & ratio_mass> 0.2156645804643631 & corona_mw_total<= 12760.52978515625 & clogp_corona> -5.230000019073486,rule,0.6174478776141654,0.2768595041322314,0.27627485640423405
clogp_core<= 1.1800000071525574 & corona_mw_total<= 8503.89013671875 & corona_mw_total> 6246.945068359375 & clogp_corona> -5.230000019073486,rule,-0.7922463073403488,0.11570247933884298,0.25341409098693146
dp_corona<= 77.5 & dp_core> 139.0 & ratio_vol<= 0.24641400575637817,rule,-0.501935165884035,0.4132231404958678,0.2471590002820176
ratio_vol<= 0.34861548244953156 & core_mv_total> 121.23968505859375 & core_mv_total<= 298.0274963378906,rule,0.49968329539982953,0.4132231404958678,0.24605015177832582
mon_corona_mw<= 287.114990234375 & conc> 17.25 & core_mv_total> 266.0325012207031 & conc> 11.25,rule,-0.5578374824322001,0.21074380165289255,0.22750665121352462
ratio_mass<= 0.23455464094877243 & dp_corona<= 71.0 & dp_corona> 28.0 & dp_core> 144.0 & sphere<= 0.5,rule,-0.6023368608020276,0.16115702479338842,0.22146464149720396
mon_core_psa<= 46.78045082092285 & ratio_vol<= 0.24641400575637817 & mon_corona_psa<= 93.28999710083008,rule,-0.4445825414522042,0.5785123966942148,0.21953367213637856
ratio_mass> 0.25161533802747726 & ratio_vol<= 0.24641400575637817 & charged<= 0.5,rule,-1.527389702530792,0.02066115702479339,0.2172669498729522
core_mw_total<= 43079.169921875 & dp_core> 97.5 & sphere> 0.5 & core_mv_total> 116.6609992980957 & mon_core_mw> 144.07749938964844,rule,-0.5315964519953236,0.2024793388429752,0.21362073363779718
core_mw_total<= 39910.16015625 & ratio_mass<= 0.41608381271362305 & clogp_core<= 1.4000000357627869,rule,0.4052769689237643,0.5330578512396694,0.202195103998816
ratio_vol<= 0.3410034775733948 & core_mv_total<= 283.0776062011719 & dp_corona<= 30.0,rule,-0.7971815256153623,0.06611570247933884,0.19808704366841678
mon_core_psa<= 46.78045082092285 & conc<= 14.5,rule,-0.4033585837296519,0.3925619834710744,0.1969683321452391
ratio_mass<= 0.31451675295829773 & ratio_mass<= 0.2572299391031265 & core_mv_total<= 300.989990234375 & corona_mw_total> 5985.85498046875,rule,-0.5382026735787455,0.1446280991735537,0.18929959280031514
core_mv_total> 121.23968505859375 & dp_core<= 299.5 & mon_core_mw<= 146.88470458984375,rule,0.3809901375678282,0.38016528925619836,0.18494300537513106
ratio_vol<= 0.245297871530056 & dp_core<= 176.0,rule,-0.5468844806937552,0.1115702479338843,0.17217946155383554
mon_core_psa<= 46.73492431640625 & core_mw_total> 33311.08984375 & clogp_corona> -5.230000019073486,rule,-0.3567893214258116,0.35537190082644626,0.1707685954591309
ratio_mass<= 0.23843830823898315 & dp_core> 135.5 & clogp_corona> -5.230000019073486 & conc> 11.25,rule,-0.3962017472704148,0.24380165289256198,0.17011890207592412
ratio_mass> 0.13539154082536697 & core_mv_total> 132.94794464111328,rule,0.3440556125669044,0.6033057851239669,0.16831597040479354
mon_core_psa<= 46.78045082092285 & ratio_mass<= 0.2239799052476883 & core_mv_total> 214.76239013671875 & clogp_core<= 1.1399999856948853 & dp_corona> 25.5,rule,-0.35181642732021357,0.3512396694214876,0.16794227699215653
ratio_mass> 0.13556132465600967 & mon_core_mw> 136.05999755859375 & core_mv_total<= 286.17750549316406 & sphere<= 0.5,rule,0.35912305161664715,0.28512396694214875,0.1621345288001647
mon_core_psa<= 46.77286148071289 & conc<= 23.75,rule,-0.45852268290562076,0.859504132231405,0.15933698125401874
core_mv_total<= 283.0776062011719 & ratio_mass<= 0.25704318284988403 & dp_corona<= 86.5 & clogp_corona> -0.019999995827674866 & dp_corona> 27.0 & sphere<= 0.5,rule,-0.6523723887273115,0.06198347107438017,0.15730363686667498
ratio_vol> 0.21136220544576645 & charged<= 0.5,rule,-0.33954906208001806,0.30991735537190085,0.15702761571146387
ratio_vol> 0.20055698603391647 & conc> 11.25 & ratio_mass<= 0.4180891811847687 & clogp_core<= 1.4000000357627869 & corona_mw_total<= 12760.52978515625,rule,0.33384327589177915,0.2809917355371901,0.15005703047945865
clogp_corona<= 0.7300000041723251 & clogp_core> 0.8950000107288361 & sphere<= 0.5,rule,0.3054667849622493,0.40082644628099173,0.149698861094622
dp_core> 99.5 & ratio_vol<= 0.24641400575637817 & dp_core<= 177.5,rule,-0.49307274597309464,0.09917355371900827,0.14737692804106314
ratio_mass<= 0.25161533802747726 & ratio_vol<= 0.24641400575637817 & charged<= 0.5,rule,0.3009841552039109,0.3305785123966942,0.14158940877014575
corona_mw_total> 4599.625 & ratio_vol<= 0.2458944171667099 & dp_core<= 176.0 & conc> 11.25,rule,-0.6113323168314145,0.049586776859504134,0.13271393598940107
core_mw_total<= 43368.080078125 & conc> 11.25 & dp_core> 173.5,rule,0.29783831113128667,0.2190082644628099,0.12317825049298194
dp_corona<= 95.5 & dp_core> 139.0 & ratio_mass<= 0.2158416137099266 & ratio_mass<= 0.2431768849492073 & ratio_mass<= 0.22700722515583038 & clogp_corona<= 0.25 & ratio_mass<= 0.24669822305440903 & clogp_corona> -5.230000019073486 & mon_core_psa<= 47.144775390625 & clogp_core> 0.6649999916553497 & sphere<= 0.5,rule,-0.34522982795598145,0.1487603305785124,0.12285074837097619
ratio_mass> 0.24669822305440903 & clogp_corona> -5.230000019073486 & mon_core_psa<= 47.144775390625 & clogp_core> 0.6649999916553497 & sphere<= 0.5,rule,0.2888376504362495,0.18181818181818182,0.1114031243375245
clogp_core<= 1.1800000071525574 & corona_mw_total<= 6246.945068359375 & clogp_corona> -5.230000019073486 & core_mw_total<= 28951.4599609375,rule,0.31378625645481284,0.14049586776859505,0.10904096291524236
sphere> 0.5 & ratio_mass> 0.2778170108795166,rule,-0.2684193158378881,0.2066115702479339,0.10867609271236119
core_mw_total<= 32383.853515625 & core_mv_total<= 191.32138061523438 & sphere> 0.5 & clogp_core> 0.8950000107288361,rule,-0.27626967914138284,0.18181818181818182,0.10655572557660191
mon_core_mw<= 144.07749938964844 & core_mw_total<= 43079.169921875 & sphere> 0.5 & core_mv_total> 116.6609992980957,rule,0.7403387085470601,0.02066115702479339,0.10531112839924199
ratio_vol<= 0.17424138635396957 & clogp_corona> -4.870000123977661,rule,-0.2158700484005412,0.3181818181818182,0.10054589808207551
clogp_core<= 1.1800000071525574 & corona_mw_total> 6246.945068359375 & ratio_vol<= 0.3504716753959656 & corona_mw_total> 8503.89013671875 & ratio_mass> 0.21649018675088882 & clogp_corona> -5.230000019073486,rule,0.22401933622331446,0.23140495867768596,0.0944758103521047
dp_corona<= 95.5 & ratio_vol<= 0.17040535807609558 & dp_core<= 250.5 & dp_core<= 299.5,rule,-0.3860388540241004,0.06198347107438017,0.09308382261288088
ratio_mass> 0.1409200131893158 & dp_corona> 106.5 & ratio_vol<= 0.20223822444677353,rule,0.453978615074307,0.04132231404958678,0.09035746165564314
clogp_core> 0.6649999916553497 & mon_core_psa> 37.18000030517578 & sphere<= 0.5 & ratio_vol> 0.21378567814826965,rule,0.2328306338882275,0.17768595041322313,0.08899908066922545
corona_mw_total<= 5985.85498046875 & mon_core_psa<= 46.78045082092285 & corona_mv_total> 25.095650672912598 & ratio_mass> 0.13556132465600967,rule,0.24263868798903915,0.15702479338842976,0.08827781292302138
mon_core_psa<= 46.78045082092285 & corona_mw_total> 5985.85498046875,rule,-0.18807087129983452,0.7148760330578512,0.08490900810172779
sphere> 0.5 & ratio_vol> 0.21352563798427582 & conc<= 11.5 & ratio_mass> 0.25099053978919983,rule,-0.29502800484154423,0.08677685950413223,0.08305268180295426
mon_corona_apol<= 45.03404998779297,rule,-0.2878746293925076,0.9297520661157025,0.07357050644137482
corona_mw_total> 5957.905029296875 & mon_core_psa<= 46.73492431640625,rule,-0.16053365090087804,0.7396694214876033,0.07044456746775328
conc<= 16.5 & conc> 11.25 & corona_mv_total> 35.745649337768555 & clogp_core<= 1.4000000357627869 & ratio_mass<= 0.17375510185956955,rule,0.4397059908137319,0.024793388429752067,0.06837205659463509
clogp_core<= 1.1399999856948853 & core_mw_total<= 36273.880859375 & dp_corona> 28.0 & conc> 11.25,rule,0.15810877573111037,0.24793388429752067,0.0682734625516065
ratio_mass> 0.1812993735074997 & mon_corona_mv> 1.2348999977111816 & core_mv_total<= 237.59249877929688 & ratio_vol<= 0.23847127705812454,rule,-0.277114359241924,0.05371900826446281,0.062478857817129634
dp_corona<= 30.0 & clogp_corona<= 0.7300000041723251 & ratio_vol> 0.18579816073179245,rule,-0.2119275726229564,0.08677685950413223,0.05965926273263527
ratio_mass> 0.13539154082536697 & ratio_vol<= 0.13979461044073105 & sphere<= 0.5,rule,0.35100119823128445,0.028925619834710745,0.05882692996543591
core_mv_total<= 298.0274963378906 & clogp_core<= 1.4000000357627869 & conc> 14.5,rule,0.12084215389971678,0.34710743801652894,0.05752694061618422
core_mv_total<= 298.0274963378906 & clogp_core<= 1.4000000357627869 & conc> 12.75,rule,0.11980277821342629,0.33884297520661155,0.05670461954853621
dp_core<= 287.5 & dp_corona> 77.5 & core_mv_total> 204.27141571044922,rule,0.20633178110624684,0.07851239669421488,0.055498339991101577
dp_core> 69.5 & ratio_mass<= 0.4134369045495987 & clogp_core> 1.1225000023841858,rule,-0.14559216729711347,0.15289256198347106,0.05239627798658607
core_mv_total> 234.51625061035156 & corona_mw_total<= 12760.52978515625 & ratio_vol> 0.20223822444677353,rule,0.15407074003715876,0.12396694214876033,0.05077306258375228
core_mw_total<= 20422.44921875 & mon_core_psa<= 46.750099182128906 & core_mv_total> 129.91050338745117,rule,0.17015554696354257,0.09090909090909091,0.04891628044695838
dp_core<= 299.5 & ratio_mass<= 0.41409866511821747,rule,0.09484345922796936,0.5867768595041323,0.04670207660144101
ratio_vol<= 0.32351022958755493 & core_mv_total<= 131.17675018310547,rule,-0.1398044446354857,0.05785123966942149,0.032639015760249274
core_mw_total<= 43368.080078125 & dp_core<= 173.5 & dp_corona> 61.0 & conc> 11.25,rule,-0.12995401833255826,0.0371900826446281,0.02459085121772616
core_mw_total> 9862.4345703125 & ratio_mass<= 0.3983301371335983,rule,-0.055039504460781534,0.8636363636363636,0.018888143003556658
core_mv_total<= 237.59249877929688 & ratio_vol<= 0.4202622175216675 & core_mv_total<= 120.64718627929688 & ratio_mass> 0.1812993735074997 & core_mw_total<= 9696.884765625 & ratio_vol> 0.23847127705812454,rule,0.10564117833796184,0.024793388429752067,0.016426668671673455
corona_mw_total<= 5985.85498046875 & core_mw_total<= 28951.4599609375 & dp_corona> 33.0,rule,0.053467151494510846,0.10330578512396695,0.016273147189052477
conc<= 18.75 & core_mv_total<= 328.2449951171875 & corona_mw_total> 2991.5499877929688 & sphere<= 0.5,rule,0.022682059604547642,0.19008264462809918,0.008899673475576079
