rule,type,coef,support,importance
mon_core_mv> 1.1009750366210938 & corona_mv_total> 25.373250007629395 & ratio_vol<= 0.24243927747011185 & dp_core> 99.5 & clogp_core<= 1.3799999952316284 & clogp_corona> -5.230000019073486 & sphere<= 0.5 & ratio_vol> 0.07563044503331184,rule,2.227903414906758,0.24380165289256198,0.9566047739220583
mon_core_psa<= 46.54517364501953 & ratio_mass<= 0.2776370942592621 & mon_corona_psa> 64.99999046325684 & clogp_core<= 1.4000000357627869 & mon_core_mw> 136.05999755859375 & dp_core<= 1160.0 & dp_corona> 27.0 & mon_core_psa<= 47.144775390625,rule,1.504164345666323,0.30578512396694213,0.6930274307868547
temp> 65.0 & mon_core_mv> 1.114549994468689 & ratio_mass<= 0.2776370942592621 & clogp_core<= 1.3799999952316284 & corona_mv_total<= 107.5754508972168 & ratio_mass> 0.057601381093263626 & sphere<= 0.5,rule,1.5584143614802086,0.23553719008264462,0.66128834402484
ph<= 3.8499999046325684 & ratio_vol<= 0.3735172301530838 & corona_mv_total<= 56.84994888305664,rule,2.10181971798623,0.10743801652892562,0.6508690875281798
ratio_vol<= 0.2661999613046646 & corona_mv_total> 32.95805072784424 & clogp_core<= 1.1800000071525574 & corona_mw_total> 3982.2750244140625,rule,1.1789718931859283,0.5867768595041323,0.5805401459911936
mon_core_psa<= 47.144775390625 & conc> 8.75 & sphere> 0.5,rule,-1.1540322917943822,0.5082644628099173,0.5769373185544876
ratio_mass> 0.18624325096607208,rule,-1.0846620230608626,0.6157024793388429,0.5276108003542338
mon_core_psa<= 47.144775390625 & sphere> 0.5 & conc> 6.25,rule,-1.0137781279359008,0.5206611570247934,0.5064561140059964
ratio_vol> 0.11499093100428581 & ph> 4.25 & corona_mw_total<= 8503.89013671875,rule,-1.0296687236487976,0.2727272727272727,0.45857508673497754
ph> 4.25 & conc> 7.5,rule,-1.2263191448546926,0.8429752066115702,0.44616451296626064
conc> 6.25 & mon_corona_psa<= 64.99999046325684,rule,-0.9664210585600447,0.26859504132231404,0.4283456198607853
mon_core_mw> 144.07749938964844 & dp_core<= 250.5 & conc> 12.75,rule,-0.8576090232740741,0.34710743801652894,0.4082650115185264
core_mw_total> 28815.5 & dp_core<= 1213.0 & corona_mv_total> 76.48755264282227 & ratio_vol> 0.2249355912208557,rule,-1.174910688867584,0.11570247933884298,0.3758161085152268
worm<= 0.5 & ratio_vol> 0.045436443760991096 & corona_mv_total> 23.207500457763672 & corona_mv_total<= 71.51275253295898 & sphere<= 0.5,rule,0.9396315085782464,0.15289256198347106,0.3381582583900249
ratio_mass<= 0.25327782332897186 & clogp_core<= 1.1800000071525574 & core_mv_total> 247.16400146484375 & dp_core<= 402.0,rule,0.7333220364877987,0.2809917355371901,0.32961612567023707
dp_corona> 27.0 & ratio_mass<= 0.25327782332897186 & mon_core_mw<= 146.06500244140625 & conc> 13.25,rule,0.7551924000484351,0.22727272727272727,0.3164786320934665
corona_mv_total> 68.2973518371582 & mon_core_mv> 1.114549994468689 & dp_core<= 1213.0 & corona_mw_total<= 12760.52978515625 & ratio_vol<= 0.2249355912208557,rule,0.7457393388799481,0.19008264462809918,0.29260290862620175
conc<= 11.25 & mon_core_mw<= 144.3500518798828 & core_mw_total> 31480.9296875 & ratio_mass> 0.11513203009963036,rule,-0.794586434506988,0.09917355371900827,0.2374978311762769
temp> 53.0 & worm<= 0.5 & salt<= 0.15000000596046448 & corona_mv_total<= 72.13460159301758 & sphere<= 0.5,rule,0.70844983598224,0.12396694214876033,0.23346527608746498
core_mw_total<= 57932.169921875 & core_mv_total> 239.9625015258789 & ratio_vol<= 0.23150651156902313,rule,0.46870538467628226,0.3140495867768595,0.21754315215493483
mon_core_psa<= 46.977787017822266 & ph> 3.8499999046325684 & ph<= 7.224999904632568 & ratio_mass<= 0.25953298807144165 & core_mv_total<= 258.92250061035156 & sphere<= 0.5,rule,-0.9095669749849512,0.05785123966942149,0.2123492633509644
corona_mw_total> 5806.375,rule,-0.4515169669689851,0.7644628099173554,0.19159404248715944
clogp_core<= 1.1800000071525574 & mon_corona_psa> 64.99999046325684 & mon_core_psa> 40.260000228881836 & core_mw_total<= 129672.0 & charged<= 0.5 & ratio_vol<= 0.25025592744350433,rule,0.5347381180770971,0.13636363636363635,0.18350837535047018
sphere> 0.5 & ratio_vol<= 0.23803839087486267 & conc> 11.25 & corona_mv_total> 80.87694931030273 & corona_mw_total<= 12760.52978515625,rule,0.8202898461675376,0.04132231404958678,0.16326607875453533
corona_mw_total> 5806.375 & corona_mw_total> 3982.2750244140625,rule,-0.38011117490350504,0.7644628099173554,0.1612941305023179
worm> 0.5 & corona_mw_total> 2502.9550170898438 & ph> 3.125 & sphere<= 0.5,rule,-0.3867101787234707,0.2066115702479339,0.15656902747322166
dp_corona<= 40.0 & ratio_vol> 0.24641400575637817 & ratio_mass<= 0.37267646193504333 & sphere<= 0.5,rule,1.0840278204451776,0.02066115702479339,0.15419995154825256
ph> 4.25 & sphere> 0.5 & corona_mw_total<= 12760.52978515625 & corona_mw_total> 8941.41015625 & conc> 12.75 & ratio_mass<= 0.25161366164684296,rule,0.8176767091369321,0.03305785123966942,0.146190510820456
ratio_mass> 0.1027439758181572 & conc> 12.75 & core_mv_total> 269.5874938964844,rule,0.31960404552940636,0.2231404958677686,0.13306771719026472
conc> 12.75 & conc<= 16.5 & ratio_vol<= 0.2598588168621063 & dp_corona> 29.5,rule,0.4904480323090598,0.06611570247933884,0.12186860541970096
corona_mv_total> 17.21065044403076 & corona_mw_total> 5806.375,rule,-0.2833897835865276,0.768595041322314,0.1195141450787781
conc<= 22.75,rule,-0.3707189774175871,0.8842975206611571,0.11858106728104151
ratio_vol<= 0.2661999613046646 & mon_corona_psa> 64.99999046325684 & mon_corona_apol<= 58.23068809509277 & ratio_vol<= 0.24641400575637817 & clogp_corona> -5.230000019073486 & dp_core<= 1160.0 & mon_core_mw<= 144.48985290527344,rule,0.280561015931279,0.22727272727272727,0.11757476178916751
conc<= 21.25,rule,-0.36446054702209324,0.8925619834710744,0.11286225057759458
ph<= 3.8499999046325684 & ratio_mass<= 0.36692018806934357 & dp_corona<= 34.5,rule,0.5866340037877618,0.0371900826446281,0.11100718309061824
ratio_vol<= 0.24217402189970016 & corona_mw_total> 12760.52978515625 & conc<= 18.5 & mon_core_mw> 143.06749725341797 & corona_mv_total> 69.02535247802734,rule,-0.43838219857478583,0.05371900826446281,0.09883868569366801
conc<= 11.25 & ratio_vol<= 0.26037049293518066 & corona_mw_total> 8503.89013671875 & core_mv_total> 218.89075469970703,rule,-0.31552782633569076,0.09917355371900827,0.09430965742196101
core_mv_total<= 239.37000274658203 & ph> 4.25 & sphere<= 0.5 & mon_corona_psa<= 58.04500198364258,rule,-0.4728405668707564,0.04132231404958678,0.09411164308535498
ratio_mass> 0.26028554141521454 & mon_core_psa<= 46.575523376464844 & mon_corona_psa> 64.99999046325684 & ratio_mass<= 0.26621587574481964,rule,0.7155401420559925,0.01652892561983471,0.09122988156591229
dp_core> 216.5 & ratio_mass<= 0.24501153826713562 & ratio_mass> 0.14396072924137115 & clogp_corona> -5.230000019073486 & dp_corona<= 106.0,rule,0.22243700976623337,0.17355371900826447,0.08424251525730544
dp_corona<= 106.0 & dp_core> 216.5 & ratio_mass<= 0.14396072924137115 & clogp_corona> -5.230000019073486,rule,-0.2452101298350678,0.13636363636363635,0.08414981282300028
worm> 0.5 & conc<= 18.75 & conc> 6.25 & sphere<= 0.5,rule,-0.2590758313043647,0.10743801652892562,0.0802278370873963
corona_mv_total> 25.373250007629395 & ratio_mass> 0.04836334474384785 & ratio_vol<= 0.25877024233341217 & clogp_corona<= 0.25 & mon_core_mw> 143.06749725341797 & sphere<= 0.5,rule,0.15263239662891798,0.29338842975206614,0.06949580455496458
worm> 0.5 & ph> 3.125 & sphere<= 0.5,rule,-0.17424870351822544,0.19008264462809918,0.06836930119625256
sphere> 0.5 & ratio_mass<= 0.22923817485570908 & corona_mw_total> 2502.9550170898438 & conc> 12.75 & corona_mw_total> 10505.36474609375,rule,0.3365716899083105,0.04132231404958678,0.06698941878636154
ratio_vol<= 0.26631323993206024 & sphere> 0.5 & conc> 11.5 & mon_corona_psa> 64.99999046325684 & dp_corona> 28.5 & dp_core<= 1160.0 & mon_core_mw<= 151.90470123291016 & clogp_core> 0.6649999916553497 & ratio_vol<= 0.2232578992843628,rule,0.3506862309201051,0.0371900826446281,0.06635941727167752
ratio_mass<= 0.15410162508487701 & dp_corona> 106.5,rule,0.3064511464591208,0.045454545454545456,0.06383343524795089
ratio_mass<= 0.37267646193504333 & sphere<= 0.5 & clogp_core> 1.1175000071525574,rule,0.2306090437072656,0.07024793388429752,0.05893546149345469
conc<= 22.5,rule,-0.1888751283824928,0.8966942148760331,0.05748562769114482
corona_mw_total> 2502.9550170898438 & corona_mw_total> 5957.905029296875,rule,-0.1133614369456643,0.7520661157024794,0.04895096925719369
conc<= 23.75,rule,-0.11015366095646482,0.871900826446281,0.036813375787472076
ph<= 5.25 & ratio_mass<= 0.37448976933956146 & sphere<= 0.5 & core_mv_total<= 243.0165023803711,rule,0.13838393012128655,0.05371900826446281,0.031200367667253745
mon_corona_mv> 0.7838499844074249 & ratio_vol<= 0.24217402189970016 & corona_mv_total<= 69.02535247802734 & mon_core_mw> 143.06749725341797 & core_mw_total<= 151284.0 & sphere<= 0.5,rule,0.08866571121586787,0.1115702479338843,0.02791524527459558
core_mw_total<= 57932.169921875 & ratio_vol> 0.23150651156902313 & core_mv_total> 247.16400146484375,rule,-0.11735594181216037,0.04132231404958678,0.02335789541676652
clogp_core<= 1.1800000071525574 & ratio_mass<= 0.2776370942592621 & mon_corona_psa> 64.99999046325684 & clogp_corona> -5.230000019073486 & ratio_mass> 0.23328233510255814 & mon_core_mw> 144.07749938964844 & dp_corona> 54.5,rule,-0.06566865499507515,0.045454545454545456,0.013678708286403265
core_mw_total<= 180100.0 & clogp_core<= 1.3799999952316284 & ratio_vol<= 0.24269799888134003 & corona_mw_total> 2502.9550170898438 & clogp_corona> -5.230000019073486 & mon_corona_psa> 60.35000038146973 & clogp_core> 0.6649999916553497,rule,0.03144215394091523,0.23553719008264462,0.013341977862943343
clogp_corona> -4.870000123977661 & conc> 6.25 & clogp_corona> -5.230000019073486,rule,-0.03546166653832205,0.859504132231405,0.012322956109056692
core_mv_total<= 106.55249786376953 & ratio_vol<= 0.3722815066576004 & clogp_core<= 1.4000000357627869 & clogp_core> 1.1022250056266785 & mon_corona_mw<= 162.11580657958984,rule,0.0319143399316139,0.024793388429752067,0.004962518368118133
