rule,type,coef,support,importance
worm<= 0.5 & mon_core_mw> 142.81749725341797 & sphere<= 0.5 & core_mv_total<= 1374.5999755859375 & mon_corona_mv> 0.7838499844074249,rule,2.43213846341762,0.18067226890756302,0.9357565428889486
corona_mw_total<= 12760.52978515625 & temp> 65.0 & dp_corona> 27.5 & ratio_mass<= 0.27740293741226196 & clogp_core<= 1.1800000071525574,rule,1.656531151535234,0.39915966386554624,0.8112458191844876
dp_core> 224.5 & corona_mw_total> 5806.375 & mon_core_mw<= 151.08499908447266 & ratio_mass<= 0.22888994961977005 & conc> 11.5,rule,1.6368449622028556,0.16806722689075632,0.612058847006671
ratio_mass<= 0.25327782332897186 & clogp_core> 0.6649999916553497 & sphere<= 0.5 & clogp_core<= 1.1800000071525574 & salt<= 0.15000000596046448 & core_mv_total<= 477.168701171875,rule,1.219266728418969,0.22268907563025211,0.5072774590415651
ph> 4.0 & ratio_mass> 0.18685496598482132,rule,-0.9648235863956305,0.5840336134453782,0.4755497439802836
ratio_vol<= 0.24350963532924652 & mon_core_mw> 136.81749725341797 & core_mw_total<= 57902.3984375 & corona_mw_total> 8503.89013671875,rule,0.9108175493248224,0.19327731092436976,0.3596532283447255
clogp_corona<= 0.26204000413417816 & sphere<= 0.5 & ratio_vol<= 0.24641400575637817 & clogp_corona> -5.230000019073486 & dp_core<= 1060.0 & core_mw_total> 17249.220703125,rule,0.8005125232491469,0.226890756302521,0.3352717526816533
mon_core_psa<= 47.144775390625 & conc<= 21.25,rule,-0.9848178733571046,0.8739495798319328,0.3268671374831757
mon_corona_psa> 64.99999046325684 & core_mw_total<= 183132.796875 & ratio_mass<= 0.24669822305440903 & clogp_corona> -5.230000019073486,rule,0.6814697926970239,0.3235294117647059,0.3188070768827248
ratio_vol<= 0.23769263178110123 & conc<= 13.25,rule,-0.7823381206956103,0.20168067226890757,0.31391708620435943
ratio_vol> 0.18985190242528915,rule,-0.6142496391531402,0.6050420168067226,0.30027081712416065
clogp_corona<= 0.26204000413417816 & clogp_corona> -4.870000123977661 & ratio_vol<= 0.2444031909108162 & sphere<= 0.5 & mon_core_mv> 1.1009750366210938 & clogp_corona> -5.230000019073486 & clogp_core<= 1.362500011920929 & ratio_mass> 0.04744264669716358,rule,0.7389829387592305,0.14705882352941177,0.2617215573289161
mon_core_mw> 144.07749938964844 & sphere<= 0.5 & conc> 17.25 & clogp_corona> -5.230000019073486 & conc> 12.75,rule,-0.6930663176099958,0.1722689075630252,0.26171154267221486
dp_corona> 39.0,rule,-0.5399462995677956,0.6596638655462185,0.25583852805994167
mon_core_psa> 46.349998474121094 & corona_mw_total> 8883.884765625 & ratio_mass<= 0.2755418121814728 & conc> 11.25,rule,0.6369879657604577,0.18907563025210083,0.24942454110942128
sphere> 0.5 & mon_core_mw> 136.05999755859375 & corona_mw_total<= 10526.5048828125,rule,-0.5201221744847045,0.3487394957983193,0.24787533134897113
ratio_mass<= 0.37611378729343414 & corona_mw_total<= 5806.375 & sphere<= 0.5,rule,0.90313170348625,0.07983193277310924,0.2447783420334181
core_mw_total<= 57932.169921875 & mon_core_mw> 136.81749725341797 & ratio_vol<= 0.24641400575637817 & dp_corona> 42.5 & clogp_core<= 1.1800000071525574,rule,0.645009838997103,0.16806722689075632,0.24118593237641003
mon_core_mw> 142.81749725341797 & sphere<= 0.5 & ratio_vol<= 0.2598588168621063 & corona_mw_total<= 14063.41015625,rule,0.5268311307573492,0.25210084033613445,0.22876000588692358
mon_core_mw> 142.81749725341797 & ratio_mass> 0.1868055984377861 & ratio_mass<= 0.19164521992206573,rule,-1.2505988245048567,0.03361344537815126,0.22539795455210634
clogp_core> 0.6649999916553497 & mon_core_psa<= 47.144775390625 & sphere> 0.5,rule,-0.4467210652547386,0.5546218487394958,0.22202371920324213
corona_mw_total> 5806.375,rule,-0.5610370126965626,0.8319327731092437,0.20978631150075214
mon_corona_psa> 64.99999046325684 & dp_core<= 1453.0 & ratio_vol<= 0.22688067704439163 & clogp_corona> -5.230000019073486 & mon_core_apol> 21.180723190307617,rule,0.466012830860059,0.23949579831932774,0.1988829863840895
