rule,type,coef,support,importance
sphere> 0.5,rule,-3.3549353288950514,0.6050420168067226,1.6400321764859462
sphere<= 0.5,rule,0.6068105761395068,0.42016806722689076,0.29951303483348024
mon_core_psa<= 46.575523376464844 & clogp_corona<= 0.7300000041723251 & core_mw_total> 9081.4345703125 & mon_corona_mv> 0.7838499844074249 & salt<= 0.20000000670552254,rule,-0.8000109264372189,0.8445378151260504,0.28987973274823586
clogp_core> 1.110099971294403 & core_mv_total> 185.6259994506836 & clogp_corona<= -1.0450000166893005,rule,1.972263224430371,0.02100840336134454,0.2828465477639886
core_mw_total> 8663.7998046875 & clogp_corona<= 0.7300000041723251 & mon_corona_mv> 0.7838499844074249 & dp_corona<= 119.5 & mon_core_psa<= 46.59070014953613 & salt<= 0.20000000670552254 & mon_core_psa<= 46.54517364501953,rule,-0.7362131413988429,0.865546218487395,0.2511511711211012
clogp_corona<= 0.7300000041723251 & mon_corona_mv> 0.7838499844074249 & mon_core_psa<= 46.56034851074219 & salt<= 0.20000000670552254,rule,-0.8770590728668384,0.9201680672268907,0.23771180315449983
clogp_corona<= 0.7300000041723251 & mon_corona_mv> 0.7838499844074249 & salt<= 0.20000000670552254,rule,-0.7081441556056693,0.9117647058823529,0.20085573309115667
clogp_corona<= 0.7300000041723251 & mon_corona_mv> 0.7838499844074249 & mon_core_psa<= 46.575523376464844 & salt<= 0.20000000670552254,rule,-0.6928496604199678,0.907563025210084,0.20067823255034142
clogp_corona<= 0.7300000041723251 & corona_mw_total<= 14758.5302734375,rule,-0.5643651784802093,0.8823529411764706,0.18183266995531752
core_mw_total> 6294.070068359375 & mon_core_psa<= 46.56034851074219 & clogp_corona<= 0.7300000041723251 & conc> 7.5 & ratio_mass<= 0.5674163699150085 & core_mv_total> 69.17729949951172 & mon_corona_mv> 0.7838499844074249 & salt<= 0.20000000670552254,rule,-0.49564701507802744,0.8529411764705882,0.1755406002870047
clogp_corona<= 0.7300000041723251 & core_mw_total> 8379.31982421875 & conc> 7.5 & salt<= 0.20000000670552254,rule,-0.4482656554416199,0.8823529411764706,0.1444265948471845
clogp_corona<= 0.7300000041723251 & conc> 7.5 & salt<= 0.20000000670552254,rule,-0.4188457256457919,0.9369747899159664,0.10178298698359876
sphere<= 0.5 & dp_core> 125.0 & corona_mv_total> 117.32430267333984,rule,0.44203947980156044,0.012605042016806723,0.04931495720621443
clogp_corona<= 0.7300000041723251 & conc> 7.5 & corona_mv_total> 39.467599868774414 & mon_core_psa<= 46.567935943603516 & salt<= 0.20000000670552254,rule,-0.12382672089317114,0.8445378151260504,0.04486795814084384
clogp_corona<= 0.7300000041723251 & corona_mv_total> 38.402448654174805 & mon_core_psa<= 46.567935943603516 & salt<= 0.20000000670552254,rule,-0.09204068124548428,0.7983193277310925,0.036931783974883545
sphere<= 0.5 & mon_corona_mv> 0.7838499844074249 & core_mv_total> 148.125 & corona_mv_total> 117.32430267333984,rule,0.014057359110624421,0.008403361344537815,0.001283210137014173
