rule,type,coef,support,importance
ratio_mass<= 0.37267646193504333 & mon_core_mw<= 144.21502685546875 & clogp_core> 1.1100000143051147,rule,2.244083038372342,0.09876543209876543,0.6695150252152297
conc> 11.25 & dp_corona> 28.5 & dp_core> 104.5 & ratio_vol<= 0.24269799888134003 & temp> 65.0,rule,1.2913065271924502,0.21810699588477367,0.5332585260687277
clogp_corona> -5.230000019073486 & conc> 8.75,rule,-0.45966772677285583,0.934156378600823,0.11400152458896066
charged<= 0.5 & mon_core_mw<= 144.48985290527344 & mon_corona_psa> 64.99999046325684 & ratio_mass<= 0.27740293741226196 & ratio_vol> 0.04581556282937527 & ratio_mass> 0.11412268877029419 & ratio_mass<= 0.272342711687088 & corona_mw_total<= 12760.52978515625,rule,1.003365659317107,0.10699588477366255,0.31014836804634777
core_mv_total> 248.62889862060547 & dp_core> 399.0,rule,-0.1591486733411621,0.17695473251028807,0.060735970396304725
dp_corona<= 62.5 & core_mv_total> 186.63750457763672 & clogp_core<= 1.162500023841858,rule,0.2025133717093247,0.37448559670781895,0.09801440795762748
ratio_mass<= 0.249981127679348 & clogp_corona> 0.125 & core_mv_total> 225.1500015258789 & clogp_core<= 1.3499999642372131 & dp_corona> 28.5 & conc<= 18.75 & core_mw_total<= 58230.72265625,rule,0.711752313552856,0.04526748971193416,0.14796634593241037
mon_core_mw<= 144.21502685546875 & corona_mv_total<= 85.00909805297852,rule,0.07218622633958031,0.5555555555555556,0.03586962425210831
dp_corona> 27.5 & conc> 13.25 & clogp_core<= 1.1800000071525574 & ratio_vol<= 0.2661999613046646 & corona_mv_total> 71.51275253295898,rule,0.8214170177738621,0.12345679012345678,0.27021400324481104
dp_corona<= 66.0 & ratio_vol<= 0.24641400575637817 & clogp_core<= 1.1800000071525574 & mon_corona_mw<= 164.38485717773438 & corona_mw_total> 4241.85498046875,rule,0.7937362781085164,0.1522633744855967,0.28517038964085395
ph> 4.0 & conc<= 21.5,rule,-0.08606949397915026,0.7530864197530864,0.03711454545863748
mon_core_mw<= 144.48985290527344 & mon_corona_psa> 64.99999046325684 & ratio_mass<= 0.27740293741226196 & ratio_vol> 0.04581556282937527 & ratio_mass<= 0.11412268877029419 & ratio_mass<= 0.272342711687088 & corona_mw_total<= 12760.52978515625,rule,0.23404157194371994,0.024691358024691357,0.03631922150968247
corona_mv_total<= 71.51275253295898 & corona_mv_total<= 54.90934944152832 & dp_corona> 27.5 & conc> 13.25 & ratio_vol<= 0.2661999613046646 & clogp_core<= 1.1800000071525574 & core_mw_total> 17587.4404296875,rule,0.45519640240749637,0.06995884773662552,0.11611042846328895
corona_mv_total<= 71.51275253295898 & corona_mv_total> 54.90934944152832 & dp_corona> 27.5 & conc> 13.25 & ratio_vol<= 0.2661999613046646 & clogp_core<= 1.1800000071525574,rule,-0.4161007554417628,0.037037037037037035,0.07858169894882398
core_mv_total> 245.97900390625 & corona_mv_total> 54.56194877624512,rule,-0.7075892509555789,0.4074074074074074,0.3476752668308564
ratio_vol<= 0.24641400575637817 & mon_core_mv> 1.1777499914169312 & clogp_corona> -5.230000019073486 & mon_corona_psa> 64.99999046325684 & ratio_vol> 0.048236310482025146 & mon_core_mv<= 1.1874029636383057 & corona_mv_total> 32.95805072784424 & corona_mw_total> 3982.2750244140625,rule,1.1428494987624807,0.2139917695473251,0.4687066593586001
ratio_vol<= 0.2232578992843628 & dp_core<= 900.0 & clogp_core<= 1.3700000047683716 & mon_corona_mw<= 163.93566131591797 & core_mv_total> 219.2249984741211 & corona_mw_total> 2972.0750122070312,rule,0.7637157452498698,0.1934156378600823,0.3016493788991513
core_mv_total> 248.62889862060547 & ratio_vol<= 0.23150651156902313 & conc> 14.0 & dp_core<= 399.0 & temp> 47.0,rule,0.09994287344401517,0.1522633744855967,0.03590707511791449
core_mv_total> 266.4352569580078 & core_mv_total<= 469.8525085449219 & corona_mv_total<= 66.87565231323242 & dp_corona<= 57.0 & ratio_vol<= 0.23779740929603577 & core_mw_total<= 57920.158203125,rule,-0.7200626331930055,0.06584362139917696,0.17858168673239908
conc> 14.5 & dp_core<= 227.5 & ph> 4.25,rule,-0.5066632866229124,0.22633744855967078,0.2120183409196049
conc> 6.25,rule,-0.33669324485455415,0.9917695473251029,0.030419470392937534
conc> 13.25 & clogp_core<= 1.1800000071525574 & ratio_vol<= 0.24269799888134003 & corona_mv_total> 72.13460159301758 & corona_mw_total<= 12760.52978515625,rule,0.5471198859007027,0.12345679012345678,0.17998099798898207
dp_corona<= 63.0 & corona_mw_total> 3982.2750244140625 & ratio_vol<= 0.34474197030067444 & ph<= 4.0,rule,0.6632255134808797,0.06584362139917696,0.16448559531019347
