rule,type,coef,support,importance
feature_66 <= 0.3500000089406967 & feature_66 <= 0.20000000670552254 & corona_GMA<= 3.0075000524520874 & core_mw_total> 0.32500000298023224,rule,-0.03394057711718648,0.9094650205761317,0.009739135906959408
feature_66 <= 0.3500000089406967 & feature_59 <= 250.0 & feature_66 > 0.20000000670552254 & feature_60 > 21612.0,rule,1.6728990994256518,0.00823045267489712,0.151142636221685
feature_66 <= 0.20000000670552254 & corona_DMAPS<= 3.0075000524520874 & ratio_vol<= 0.5,rule,-0.43588555637266674,0.9506172839506173,0.09444148726293215
feature_66 <= 0.20000000670552254 & corona_DMAPS<= 3.0075000524520874 & core_BzMA<= 0.7300000041723251,rule,-0.5266045952053063,0.9094650205761317,0.1511074400481192
feature_63 <= 0.3612772226333618 & core_MEMA<= 39.6070499420166 & core_HPMA> 4561.994873046875 & corona_GMA<= 3.0112500190734863,rule,1.0212352642471008,0.08641975308641975,0.286949626632162
feature_66 <= 0.20000000670552254 & corona_GMA<= 3.0075000524520874 & core_BzMA<= 0.7300000041723251,rule,-0.31558617812573125,0.934156378600823,0.07826806919450059
feature_61 <= 262.94000244140625 & core_mv_total> 0.5 & feature_64 > 18.75,rule,0.048704917732476545,0.01646090534979424,0.006197199635409655
feature_61 > 262.4775085449219,rule,-0.6735244411064962,0.4732510288065844,0.33627996348543177
corona_GMA> 3.0075000524520874 & core_mw_total> 0.6489999890327454,rule,0.021723668102781764,0.00823045267489712,0.0019626841012626703
core_mw_total<= 0.6459999978542328,rule,-0.3013128038865097,0.7448559670781894,0.13135495059484595
feature_66 <= 0.20000000670552254 & corona_GMA<= 3.0075000524520874 & core_BzMA<= 0.7300000041723251 & feature_61 > 74.14200210571289,rule,-0.956266133913657,0.8641975308641975,0.3275963989873549
corona_QDMAEMA> 0.5719155967235565 & core_HEMA<= 120.0,rule,-0.0030602780766224463,0.04526748971193416,0.0006362018864042109
feature_66 <= 0.15000000596046448 & feature_63 > 0.34861548244953156 & corona_DMAPS<= 3.0075000524520874 & feature_62 > 0.35277819633483887,rule,-0.4577024865464735,0.11522633744855967,0.1461420664038064
feature_66 <= 0.20000000670552254 & core_MEMA> 39.6070499420166 & corona_GMA<= 3.0112500190734863,rule,-0.21122609328525832,0.8148148148148148,0.08205029466740472
feature_66 <= 0.20000000670552254 & corona_DMAPS<= 3.0112500190734863 & core_BzMA<= 0.7300000041723251,rule,-0.36975499960742136,0.9423868312757202,0.08615679606937565
feature_64 > 17.5 & corona_GMA<= 3.0075000524520874 & corona_DMAPS<= 3.0112500190734863 & feature_61 > 191.6322479248047 & mon_corona_mw<= 7.0 & feature_63 > 0.12725790590047836,rule,2.0695036647717053,0.012345679012345678,0.22852103082046765
corona_QDMAEMA<= 0.5708961188793182 & corona_DMAPS> 3.0075000524520874,rule,0.011554187220029545,0.012345679012345678,0.0012758492863577968
corona_GMA> 3.0075000524520874 & corona_QDMAEMA<= 0.5708961188793182,rule,0.010111258531826716,0.012345679012345678,0.0011165166130982348
corona_DMAPS> 3.0075000524520874 & charged<= -0.4437200129032135,rule,0.3413551887330629,0.01646090534979424,0.04343393541451662
salt> 11.5 & corona_GMA> 3.0075000524520874,rule,0.009142530519554872,0.00411522633744856,0.0005852855852132052
corona_DMAPS<= 3.0075000524520874 & feature_66 <= 0.15000000596046448,rule,-0.0003530056339382467,0.9547325102880658,7.338641933830193e-05
corona_QDMAEMA> 0.5719155967235565 & core_mw_total> 0.32500000298023224,rule,-0.05037952387142155,0.01646090534979424,0.006410276035840669
feature_66 <= 0.20000000670552254 & corona_DMAPS<= 3.0075000524520874 & core_mw_total> 0.32500000298023224,rule,-0.05110377135587423,0.9423868312757202,0.01190771514045455
feature_66 <= 0.20000000670552254 & corona_GMA<= 3.0112500190734863,rule,-0.10034075578079003,0.9753086419753086,0.015571157317845271
corona_GMA> 3.0075000524520874 & core_DAAM> 227.59500122070312,rule,1.1422273872122324,0.01646090534979424,0.14533668214917314
corona_DMAPS> 3.0075000524520874 & temp> 53.38050079345703,rule,9.38145841340497e-05,0.012345679012345678,1.035929814343745e-05
corona_DMAPS> 3.0075000524520874 & corona_QDMAEMA<= 0.5719155967235565,rule,0.008592454654591252,0.00411522633744856,0.00055007088466085
corona_GMA> 3.0075000524520874 & corona_QDMAEMA<= 0.5719155967235565,rule,0.2571516166987911,0.01646090534979424,0.03271989728027243
corona_DMAPS> 3.0075000524520874 & feature_57 <= 1.1927714943885803,rule,0.00687888784106172,0.012345679012345678,0.0007595881887511493
corona_GMA> 3.0075000524520874 & mon_core_mv> 2.5,rule,0.014113379271050577,0.00411522633744856,0.0009035088729892403
corona_DMAPS> 3.0075000524520874 & mon_corona_psa> 5.0,rule,0.03803530832647887,0.00823045267489712,0.0034364037687283798
corona_DMAPS<= 3.0075000524520874 & core_mv_total<= 0.5 & feature_62 <= 0.35277819633483887,rule,-0.46420003248688396,0.7407407407407407,0.203425513148877
mon_core_apol> 28.5 & corona_DMAPS> 3.0075000524520874,rule,0.02980307596313698,0.00823045267489712,0.0026926402615257373
corona_QDMAEMA> 0.5719155967235565 & corona_DMAPS<= 3.0112500190734863,rule,-0.0051750337486346585,0.04526748971193416,0.0010758389109268554
other> 3.995000123977661 & corona_DMAPS> 3.0075000524520874 & core_mw_total> 0.32500000298023224,rule,0.010818191219299153,0.00823045267489712,0.0009773990198192624
feature_61 <= 262.94000244140625 & core_mv_total> 0.5 & corona_DMAPS<= 3.0075000524520874 & feature_64 > 18.75,rule,0.8229573187619341,0.01646090534979424,0.10471285104724556
corona_DMAPS> 3.0075000524520874 & feature_60 > 49103.95703125,rule,0.000534090508211651,0.00411522633744856,3.419135161614903e-05
